type,subject,format,question,answer
toss-up,biology,Short Answer,"Recently, the number of American bee colonies has been seriously diminished due to sudden, massive, unexplained die-offs. The agent of this epidemic has not yet been conclusively identified. What is the name of this disease?",COLONY COLLAPSE DISORDER (ACCEPT: CCD)
bonus,biology,Multiple Choice,"While hiking in Arizona, you come over a rise, hear a rattling sound and see a western diamondback rattlesnake coiled and ready to strike. Indicate which of the following physiological responses would NOT occur in you? W) Gluconeogenesis would occur in the liver X) Blood vessels in the gut and skin would constrict Y) Heart rate and blood pressure would increase Z) Adipose tissue would release fatty acids to the blood stream",W) GLUCONEOGENESIS WOULD OCCUR IN THE LIVER
toss-up,physics,Multiple Choice,"Which of the following best describes why arches and domes are more stable than flat roofed structures? W) They transmit compressive forces along their length to the ground, uniformly bearing the load of gravity upon the structure X) Each section is under great tension, using the stronger dimension of the components Y) Torsional resistance to sideways swaying ensures that such structures are stable, even in high winds Z) The surface tension of the arched shape allows the building components to be hollowed out, saving weight","W) THEY TRANSMIT COMPRESSIVE FORCES ALONG THEIR LENGTH TO THE
GROUND, UNIFORMLY BEARING THE LOAD OF GRAVITY UPON THE STRUCTURE"
bonus,physics,Short Answer,"Given a piece of glass with an index refraction of 2, what is the optimal index of refraction, to one decimal place, for an antireflection coating?",1.4
toss-up,chemistry,Short Answer,"Providing your answer as a decimal, what is the bond order for the oxygen-oxygen bonds in ozone?",1.5
bonus,chemistry,Short Answer,Which of the following is the local VSEPR geometry of a triply- bonded alkyne carbon? W) Tetrahedral X) Trigonal planar Y) Linear Z) Bent,Y) LINEAR
toss-up,,Multiple Choice,4) EARTH AND SPACE Multiple Choice Which of the following best describes the absorption characteristics of dust in the interstellar medium? W) Its effects are strongest in radio wavelengths X) It absorbs light at all wavelengths with about the same efficiency Y) It preferentially absorbs optical light at redder wavelengths Z) It preferentially absorbs optical light at bluer wavelengths,Z) IT PREFERENTIALLY ABSORBS OPTICAL LIGHT AT BLUER WAVELENGTHS
bonus,,Short Answer,4) EARTH AND SPACE Short Answer A binary star system has one star with an apparent magnitude of 5 and a brown dwarf companion with an apparent magnitude of 15. The first star is how many times as luminous as the brown dwarf?,"10,000"
toss-up,math,Short Answer,"If b c [log base b of 5 equals c], then what does b c[b to the power of 4 c] equal? 4 log (5) =",625
bonus,math,Short Answer,"The three sides of a triangle are 5 centimeters, 6 centimeters, and 8 centimeters. What is the cosine of the smallest angle in reduced fractional form?",25/32
toss-up,energy,Short Answer,"Gasoline is sold as “unleaded gas,” which is a misnomer because gasoline does not naturally contain lead. Lead was added to gasoline from the 1940s to 1980s. What was the reason for adding lead to gasoline?","STOP ENGINE KNOCK (ACCEPT: KNOCKING, AUTOIGNITION, INCREASE
OCTANE RATING)"
bonus,energy,Short Answer,"Given g as 10 meters per second squared, how much power in megawatts can a perfectly efficient dam 100 meters high produce if 2000 kilograms of water pass through its turbines every second?",2
toss-up,biology,Multiple Choice,Horseshoe crabs are most closely related to which of the following organisms? W) Spiders X) Millipedes Y) Centipedes Z) Insects,W) SPIDERS
bonus,biology,Multiple Choice,"Cloning a gene into a plasmid often requires you to amplify the target DNA sequence, then digest and paste the target sequence into the plasmid. Several purified enzymes are important in this process. Which of the following enzymes would act LAST in the cloning process? W) Polymerase [POL-uh-muh-rays] X) Ligase [LY-gays] Y) Exonuclease [eks-uh-NOO-klee-ays] Z) Restriction endonuclease [en-duh-NOO-klee-ays]",X) LIGASE
toss-up,physics,Multiple Choice,"A nubbin-on-a-spring keeps a door from hitting the wall. If the nubbin is flicked, such that the nubbin passes its rest point more than once before coming to rest, which of the following is true? W) It is undamped X) It is underdamped Y) It is criticially damped Z) It is overdamped",X) IT IS UNDERDAMPED
bonus,physics,Short Answer,A potential of 10 volts is applied to a parallel plate capacitor with capacitance of 1 microfarad and a plate separation of 10 micrometers. What is the electrical force in newtons between the plates?,10
toss-up,chemistry,Multiple Choice,Which of the following is NOT an aliphatic hydrocarbon? W) Benzene X) Propane Y) Cyclopropane Z) Cyclopentene,W) BENZENE
bonus,chemistry,Short Answer,"Determine the entropy, in calories per mole Kelvin, of a system that is at 27° Celsius and which has undergone a 1500 calorie per mole decrease in Gibbs free energy accompanied by a negligible change in enthalpy.",-5
toss-up,,Multiple Choice,"10) EARTH AND SPACE Multiple Choice In special relativity, Lorentz contraction states that for an object moving relative to an observer, the observer will measure the object’s length to be which of the following? W) Longer X) Shorter Y) Exactly the same Z) Impossible to tell",X) SHORTER
