type,subject,format,question,answer
toss-up,chemistry,Multiple Choice,Which of the following transition metals has the smallest atomic radius? W) Nickel X) Iron Y) Scandium Z) Cadmium,W) NICKEL
bonus,chemistry,Short Answer,"Consisting of a fatty acid chain attached through an amide linkage to sphingosine [SFING-guh-seen], what is the fundamental structural unit common to all sphingolipids?",CERAMIDE
toss-up,,Short Answer,2) EARTH AND SPACE Short Answer What is the naturally occurring radioactive isotope of carbon called?,CARBON-14 (ACCEPT: C-14)
bonus,,Short Answer,"2) EARTH AND SPACE Short Answer Based on the Spitzer Space Telescope observatory program, infrared emission from most galaxies comes primarily from three sources. Name two of them.","STARS, INTERSTELLAR GAS, DUST (ACCEPT: INTERSTELLAR DUST)
Round 4 Page 1"
toss-up,physics,Short Answer,An alpha particle consists of what types and numbers of subatomic particles?,TWO PROTONS AND TWO NEUTRONS
bonus,physics,Multiple Choice,"The rotor of a helicopter blade turns at an angular speed of 5 revolutions per second, which is approximately which of the following in radians per second? W) 22 X) 31 Y) 35 Z) 40",X) 31
toss-up,energy,Multiple Choice,"In 1859, drilling first began in the U.S. for which of the following energy resources? W) Coal X) Oil Y) Natural gas Z) Geothermal energy",X) OIL
bonus,energy,Short Answer,In what kind of electrochemical cell would copper and zinc plates be lowered into a sulfuric acid solution in order to generate an electric current?,"VOLTAIC (ACCEPT: GALVANIC; DO NOT ACCEPT BATTERY)
Round 4 Page 2"
toss-up,biology,Multiple Choice,"Which of the following terms is used to describe a structure that is similar in different species of organisms, because the species share a common ancestor that was the source of the structure? W) Homologous [huh-MOL-uh-guhs] X) Convergent Y) Analogous [uh-NAL-uh-guhs] Z) Divergent",W) HOMOLOGOUS
bonus,biology,Multiple Choice,Which of the following is an example of an ectoparasite [ek-toh- PAR-uh-syt]? W) Tapeworm X) Hookworm Y) Nematode Z) Louse,Z) LOUSE
toss-up,math,Multiple Choice,"A certain radioactive element decays over time according to the equation [y equals R times one half to the power of the quantity x over 300], where equals the number of grams that were present initially and x equals time in years. If 1000 grams were present initially, how many grams will remain after900 years? R W) 62.5 X) 125 Y) 250 Z) 500",X) 125
bonus,math,Short Answer,"If x y z and a b , then what is b z y x a? -4 – 9 – 3 = -10 -5 – 9 = -6 -9 – 15 – 45 – 20 A– N5SWER: -56 Round 4 Page 3 TOSS-UP 7) CHEMISTRY Short Answer In carbon dioxide, what is the formal charge on the central atom?",0
bonus,chemistry,Multiple Choice,"Good nucleophiles [noo-klee-uh-FYLS], which promote substitution instead of elimination reactions, tend to be which of the following? W) Weak bases X) Strong bases Y) Weak acids Z) Strong acids",W) WEAK BASES
toss-up,,Short Answer,8) EARTH AND SPACE Short Answer The presence of what molecule causes temperatures to increase with increasing altitude in the stratosphere?,"OZONE (ACCEPT: O )
3"
bonus,,Multiple Choice,8) EARTH AND SPACE Multiple Choice At which of the following locations would an observer find the greatest force due to the Earth's gravity? W) North Pole X) Tropic of Cancer Y) Tropic of Capricorn Z) Equator,"W) NORTH POLE
Round 4 Page 4"
toss-up,physics,Multiple Choice,Which of the following wave types does not exhibit polarization? W) Gravitational X) X-ray Y) Acoustic Z) Visible light,Y) ACOUSTIC
bonus,physics,Short Answer,"Identify all of the following three choices that may define the phase velocity of a wave: 1) frequency, 2) period, 3) wavelength.","ALL (ACCEPT: 1, 2, 3)"
toss-up,energy,Multiple Choice,Nuclear power plants and coal fired plants have which of the following operations in common? W) Both give off smoke from a stack X) Both heat water to become steam Y) Both use moderators to control energy output Z) Both use water to control heat build-up,X) BOTH HEAT WATER TO BECOME STEAM
bonus,energy,Multiple Choice,Which of the following types of coal is metamorphic? W) Lignite X) Anthracite [AN-thruh-syt] Y) Bituminous [by-TOO-muh-nuhs] Z) Sub-bituminous,"X) ANTHRACITE
Round 4 Page 5"
toss-up,biology,Multiple Choice,The proboscis [proh-BOS-kis] is used primarily by invertebrates to perform which of the following functions? W) Egg fertilization X) Excavation Y) Feeding Z) Defense,Y) FEEDING
bonus,biology,Multiple Choice,Which of the following pollinators is a member of the order Lepidoptera [lep-i-DOP-ter-uh]? W) Lesser long-nosed bats X) Fritillary butterflies [FRIT-l-er-ee] Y) Green bottle flies Z) Blue orchard bees,X) FRITILLARY BUTTERFLIES
toss-up,math,Short Answer,The perimeters of two similar figures have a ratio of . What is the ratio of their areas? 5:7,"ACCEPT
25:49 ( : 25/49)"
bonus,math,Short Answer,"After 40 times at bat, BJ has 9 hits. What is the least number of hits he would need in his next 30 times at bat so that he has hits in at least 31% of his total at-bats?","13
Round 4 Page 6"
toss-up,,Short Answer,13) EARTH AND SPACE Short Answer Which two planets in our solar system are considered ice giants?,URANUS AND NEPTUNE
bonus,,Short Answer,"13) EARTH AND SPACE Short Answer Cellulases [sel-yuh-LAY-ses], a group of enzymes that break down cellulose, such as is found in the walls of plants, are being used in the production of which alternative fuel?",ETHANOL
