type,subject,format,question,answer
toss-up,physics,Short Answer,"What is the resulting electrical potential, in volts, when a charge of 12 coulombs is applied to a 1 farad capacitor?",12
bonus,physics,Multiple Choice,"Which of the following is NOT true: W) the magnetic field associated with the current on a straight long wire is inversely proportional to the distance from the wire X) Kirchhoff’s first rule has to do with the accounting of total charges entering and leaving a junction per unit time Y) superconducting quantum interference devices, or SQUID’s, are based on the Josephson Effect Z) resistance and voltage are the two most common parameters used to characterize a resistor","Z) RESISTANCE AND VOLTAGE ARE THE TWO MOST COMMON
PARAMETERS USED TO CHARACTERIZE A RESISTOR"
toss-up,chemistry,Multiple Choice,Which of the following is NOT a colligative property: W) vapor pressure lowering X) osmotic pressure Y) boiling point elevation Z) color of solution,Z) COLOR OF SOLUTION
bonus,chemistry,Multiple Choice,Which of the following is a type of colloid that is classified as a sol at room temperature: W) gelatin X) milk Y) whipped cream Z) marshmallow,"W) GELATIN
(Solution: sol is a solid dispersed in a liquid)"
toss-up,biology,Multiple Choice,Which of the following tissues is MOST directly responsible for the increased diameter of a tree trunk from year to year: W) apical meristem X) pericycle Y) vascular cambium Z) pith,Y) VASCULAR CAMBIUM
bonus,biology,Short Answer,Name all of the following 3 metabolic processes which directly require oxygen: glycolysis; alcohol fermentation; electron transport system,ELECTRON TRANSPORT SYSTEM
toss-up,math,Short Answer,Convert log base 4 of 53 into a base 10 expression: log53 log 53,"(ACCEPT: 10 )
log4 log 4
10"
bonus,math,Short Answer,"Consider a 6-sided irregular polygon whose perimeter is 100 centimeters. If 4 of the sides have a length of 7 centimeters each, what is the length, in centimeters, of each of the remaining two sides if they are congruent?","36
(Solution: 100 – 28 = 72; 72/2 = 36cm)"
toss-up,earth science,Multiple Choice,Which of the following is a man-made coastal structure that causes coastal erosion by blocking oceanic longshore drift: W) jetty X) barrier island Y) atoll Z) fringing reef,W) JETTY
bonus,earth science,Short Answer,"Used as a way to categorize rivers and streams, what is the term for the volume of water flowing through the cross-section of a channel over a given period of time?",DISCHARGE (ACCEPT: DISCHARGE RATE)
toss-up,,Multiple Choice,6) GENERAL SCIENCE Multiple Choice Case hardening is a process through which: W) the surface of a metal is hardened X) the metal is hardened completely through Y) the hardness of a metal is determined Z) metals are shaped or formed,W) THE SURFACE OF A METAL IS HARDENED
bonus,,Multiple Choice,6) GENERAL SCIENCE Multiple Choice The oil used with an oil-immersion objective in compound light microscopes takes advantage of what optical phenomenon to improve magnification: W) chromatic coherence X) index of refraction Y) polarization Z) dispersion,X) INDEX OF REFRACTION
toss-up,,Multiple Choice,7) ASTRONOMY Multiple Choice Which of the following is NOT true: W) the rotation of the Sun’s surface is faster at the equator than at the poles X) the apparent magnitude of an RR Lyrae depends most on its distance from the Earth Y) Venus appears its largest to nighttime observers when it is in its full phase Z) a star’s light curve typically plots brightness verses time,"Y) VENUS APPEARS ITS LARGEST TO NIGHTTIME OBSERVERS WHEN IT IS
IN ITS FULL PHASE"
bonus,,Multiple Choice,7) ASTRONOMY Multiple Choice Which of the following techniques would you most directly be using if you were analyzing a Balmer and Lyman series: W) astrolabe measurements X) spectroscopy Y) nuclear fission Z) bolometric analysis,X) SPECTROSCOPY
toss-up,physics,Multiple Choice,Which of the following is the strongest spectral line in the visible region of the hydrogen spectrum: W) red Balmer line X) orange Lyman line Y) green Paschen line Z) blue Brackett line,W) RED BALMER LINE
bonus,physics,Multiple Choice,Which of the following has the highest vapor pressure at standard temperature and pressure: W) mercury X) ethyl alcohol Y) methyl alcohol Z) acetone,Z) ACETONE
toss-up,chemistry,Multiple Choice,"According to the Arrhenius theory, an Arrhenius acid is any substance that does which of the following in a chemical reaction: W) donates a pair of electrons X) accepts a pair of electrons Y) produces H+ ions in aqueous solution Z) produces OH– ions in aqueous solution",Y) PRODUCES H+ IONS IN AQUEOUS SOLUTION
bonus,chemistry,Short Answer,"If you were to evaporate 1 liter or kilogram of water, how many calories of latent heat are stored in the vapor?","540,000 (ACCEPT: 5.4 × 105)
(Solution: lat heat = 540cal/g)
vap"
toss-up,biology,Short Answer,"During meiosis, how many chromatids are in a chromosomal tetrad?",4
bonus,biology,Multiple Choice,Which of the following is NOT true of nucleated mammalian cells: W) mast cells contain large amounts of histamine X) the golgi apparatus processes proteins for exocytosis Y) microtubules are components in cilia Z) all the DNA in a nucleated cell is in the nucleus,"Z) ALL THE DNA IN A HUMAN NUCLEATED CELL IS IN THE NUCLEUS
(Solution: mitochondrial DNA is present)"
toss-up,math,Short Answer,Solve the following equation for x: x2 – 20x + 19 = 0,19 AND 1
bonus,math,Short Answer,Express the following radical in its simplest radical form: !2 (80a2b4c3),!8ab2c 5c
toss-up,earth science,Multiple Choice,"Which of the following is NOT true about Earth’s history: W) the Ordovician Period predates the Silurian Period X) we currently live in the Cenozoic Era Y) we currently live in the Pleistocene Epoch Z) the Holocene Epoch began about 10,000 years ago",Y) WE CURRENTLY LIVE IN THE PLEISTOCENE EPOCH
bonus,earth science,Multiple Choice,Which of the following is the global wind system that most influences weather in the U.S.: W) prevailing westerlies X) tropical easterlies Y) trade winds Z) polar easterlies,W) PREVAILING WESTERLIES
toss-up,,Short Answer,13) GENERAL SCIENCE Short Answer One metric ton equals how many grams?,ONE MILLION (ACCEPT: 1 × 106 or 106)
bonus,,Short Answer,13) GENERAL SCIENCE Short Answer Gout in humans is the result of the precipitation of what substance in joints?,URIC ACID (ACCEPT: LITHIC ACID or TRIKETOPURINE)
toss-up,,Short Answer,"14) ASTRONOMY Short Answer With reference to the Sun’s position in the sky, when does a full Moon set?",WHEN THE SUN RISES
bonus,,Short Answer,"14) ASTRONOMY Short Answer In a Newtonian telescope, how many degrees is the secondary mirror tilted in reference to the primary?",45
toss-up,physics,Multiple Choice,"If 1000 pounds is applied to a spring with spring constant of 100 pounds per inch on top of a hydraulic piston, how many pounds of force is transferred to the piston: W) 1,000 X) 900 Y) 100 Z) zero","W) 1,000"
bonus,physics,Multiple Choice,"If the atomic mass of carbon-12 is exactly 12 atomic mass units, why is the atomic mass of carbon not exactly 12 when listed on the Periodic Table: W) the mass deficit X) neutrons are not the same mass as protons Y) it adds the mass of the electrons Z) the presence in nature of about 1.1% carbon-13",Z) THE PRESENCE IN NATURE OF ABOUT 1.1% CARBON-13
toss-up,chemistry,Short Answer,How many carbon and hydrogen atoms are in a cyclopentane molecule?,CARBON = 5; HYDROGEN = 10
bonus,chemistry,Short Answer,What is the systematic IUPAC name for the following acid: HClO,HYPOCHLOROUS ACID
toss-up,biology,Short Answer,What specific part of any member of the Anthophyta produces pollen?,STAMEN (ACCEPT: ANTHER)
bonus,biology,Short Answer,Which one of the following 4 plant groups is phenotypically and phylogenetically LEAST related to the others: ferns; liverworts; hornworts; mosses,FERNS
toss-up,math,Short Answer,"Subtract the following complex numbers, giving your answer in standard form: (11 – 4i) – (–3 + 3i)",14 – 7i
