type,subject,format,question,answer
toss-up,chemistry,Short Answer,"When chemists do flame tests, they often view the flame through a colored transparent piece of glass to filter out any sodium contamination. What color glass do they use?","COBALT BLUE (ACCEPT: BLUE, COBALT)"
bonus,chemistry,Short Answer,"Specifying the sign, what is the oxidation state of phosphorus in Na P O ? 2 2 6","+5 (DO NOT ACCEPT: 5)
_______________________________________________________"
toss-up,math,Short Answer,What is magnitude of the phase shift of the function y = sinx to y = 2sin(3x – π) – 4 (read as: 2 sine of open parenthesis 3x minus pi close parenthesis minus 4)?,π/3
bonus,math,Short Answer,"An isosceles triangle has a base of 30 feet and height of 15 feet. In feet, how far apart are the legs 10 feet above the base?","10
Round 1 Page 1"
toss-up,physics,Multiple Choice,A charged particle moves through an area of space at a constant speed and direction. Which of the following statements is TRUE? W) There is no magnetic field X) There could be magnetic and electric fields oriented in the same direction Y) There could be magnetic and electric fields oriented perpendicularly to one another Z) There could be magnetic and electric fields oriented opposite to one another,"Y) THERE COULD BE MAGNETIC AND ELECTRIC FIELDS ORIENTED
PERPENDICULARLY TO ONE ANOTHER"
bonus,physics,Short Answer,"A household appliance runs on 120 volts and has an internal resistance of 100 ohms. Providing your answer to the nearest integer, how much power, in watts, does this appliance use?","144
_______________________________________________________"
toss-up,biology,Short Answer,What is the name of the hormone that controls metamorphosis in amphibians?,THYROXINE (ACCEPT: T4)
bonus,biology,Short Answer,"In glycolysis (read as: gly-KOH-li-sis), what is the net yield of ATP molecules generated per glucose molecule?","2
Round 1 Page 2"
toss-up,chemistry,Short Answer,What element has the lowest boiling point?,HELIUM
bonus,chemistry,Multiple Choice,Which of the following bonds is the MOST polar? W) B-C X) B-N Y) B-O Z) B-F,"Z) B-F
_______________________________________________________"
toss-up,physics,Multiple Choice,Which of the following is TRUE of beta particles? W) They have a charge equal and opposite to alpha particles X) They are more penetrating than gamma particles of the same energy Y) They are common decay products of alpha particles Z) They can be electrons or positrons,Z) THEY CAN BE ELECTRONS OR POSITRONS
bonus,physics,Short Answer,The resistance of a certain wire is 10 ohms. What would be the resistance in ohms if the radius of the wire were doubled?,"2.5
Round 1 Page 3"
toss-up,,Multiple Choice,"7) EARTH AND SPACE Multiple Choice America’s first satellite, Explorer I, had all of the following technology aboard, EXCEPT: W) Internal and external temperature sensors X) Data transmitting antennas Y) Solar panels Z) Micrometeorite impact microphone",Y) SOLAR PANELS
bonus,,Short Answer,"7) EARTH AND SPACE Short Answer Lightning is most likely to occur at what time of day: morning, afternoon, evening, or night?","AFTERNOON
_______________________________________________________"
toss-up,physics,Short Answer,"Given g as 10 meters per second squared, if a ball is tossed upward at an initial velocity of 20 meters per second, what will be its velocity in meters per second at 2.5 seconds?",-5 (ACCEPT: 5 DOWN; DO NOT ACCEPT: 5)
bonus,physics,Short Answer,"The frequency of light from a laser radiation source is 6 X 1014 hertz. Using 3 X 108 meters per second as the speed of light, what is the wavelength of this light in nanometers?","500
Round 1 Page 4"
toss-up,energy,Multiple Choice,"In terms of energy, which of the following happens after a skydiver reaches terminal velocity? W) Kinetic energy increases exponentially with distance X) Gravitational potential energy ceases to be present Y) Gravitational potential energy is converted into thermal energy Z) Kinetic energy increases linearly with distance","Y) GRAVITATIONAL POTENTIAL ENERGY IS CONVERTED INTO THERMAL
ENERGY"
bonus,energy,Short Answer,Non-hydraulic elevators typically use very small motors and block and tackle pulleys. What system component helps reduce the amount of the car’s weight that the motor has to lift?,"COUNTERBALANCE (ACCEPT: COUNTERWEIGHT)
_______________________________________________________"
toss-up,math,Short Answer,"If f(x) = x2 – 3 and g(x) = 6 − x, what is the value of f(g(16)) (read as: f of g of 16)?",1
