type,subject,format,question,answer
toss-up,chemistry,Short Answer,"To identify the chemical compounds dissolved in a sample, a student dips a clean piece of nichrome wire into the sample and burns it in a flame. The flame burns red. What metal does the mixture probably contain?","CALCIUM (ACCEPT: LITHIUM, STRONTIUM, RUBIDIUM)"
bonus,chemistry,Short Answer,"What are the decay mode and the daughter nuclide, respectively, of potassium-37?","ELECTRON CAPTURE, ARGON-37
_______________________________________________________"
toss-up,math,Short Answer,What is the maximum number of spheres with a radius of 1 that can fit inside a cube with edge lengths of 6?,27
bonus,math,Short Answer,"Find all points of inflection and extrema, including type, of the function ex+ e (cid:0)x f(x) = . 2","RELATIVE MINIMUM (ACCEPT: MINIMUM) AT (0, 1)
[DO NOT ACCEPT: (0, 1) ALONE]
Round 14 Page 1"
toss-up,physics,Short Answer,"What is the phrase that describes the process of producing an electron and a positron when a high-energy photon travels through matter, directly converting radiant energy into matter?",PAIR PRODUCTION
bonus,physics,Short Answer,"A living room has floor dimensions of 3.5 meters by 4.2 meters and a height of 2.4 meters. Given air density of 1.2 kilograms per cubic meter, g of 10 meters per second squared, and providing your answer to the nearest ten, what does the air in the room weigh in newtons?","420
_______________________________________________________"
toss-up,biology,Multiple Choice,Which of the following are NOT found in the thylakoid membranes of the chloroplast? W) Carotenoids X) Rubisco Y) Water Z) ADP,X) RUBISCO
bonus,biology,Short Answer,"By name or number, order the following five cell layers in a eudicot (read as: yuh-DY-koht) root from most lateral to most medial: 1) pericycle, 2) epidermis, 3) endodermis, 4) phloem, 5) cortex.","EPIDERMIS, CORTEX, ENDODERMIS, PERICYCLE, PHLOEM (ACCEPT: 2, 5, 3,
1, 4)
Round 14 Page 2"
toss-up,chemistry,Short Answer,Give the specific name for the following functional group: a nitrogen atom bonded to two carbon chains and a hydrogen atom?,SECONDARY AMINE
bonus,chemistry,Short Answer,"At 25° Celsius, the vapor pressure of water is about 3 kilopascals and the vapor pressure of methanol is about 15 kilopascals. Assuming no deviation from Raoult’s law, determine the vapor pressure, in kilopascals, of a mixture of 1 mole of methanol and 2 moles of water.","7
_______________________________________________________"
toss-up,physics,Short Answer,The period of revolution of a particle traveling in uniform circular motion is a function of what two variables?,"VELOCITY (ACCEPT: CENTRIPETAL FORCE) AND RADIUS (ACCEPT:
CIRCUMFERENCE, DIAMETER)"
bonus,physics,Short Answer,"You are asked to determine whether a king’s crown is really made of gold. You weigh the crown; it weighs 8 newtons in air and 7 newtons in water. Its volume is 0.0001 cubic meters. Given that the density of gold is 19,000 kilograms per cubic meter, the density of lead is 11,000 kilograms per cubic meter, and the density of iron is 8,000 kilograms per cubic meter, the king’s crown is made of which material?","IRON
Round 14 Page 3"
toss-up,,Short Answer,"7) EARTH AND SPACE Short Answer The freshwater and saltwater zones within coastal aquifers are separated by a transition zone, also called the zone of dispersion, within which there is mixing between freshwater and saltwater. Which state of the Northern Atlantic Coastal Plain Aquifer System has the shallowest depth to the top of the transition zone?",NORTH CAROLINA
bonus,,Short Answer,"7) EARTH AND SPACE Short Answer In a stratified period of a lake, oxygen supplied directly by the atmosphere and photosynthetic organisms replenishes the dissolved oxygen of which of the following three choices: 1) epilimnion (read as: eh-pi-LIM-nee-ohn), 2) hypolimnion (read as: hy-pōe-LIM-nee-ohn), or 3) thermocline?","EPILIMNION (ACCEPT: 2)
_______________________________________________________"
toss-up,physics,Short Answer,"Neglecting friction, a 33-kilogram cart rolls down a slope that is 20 meters high and 60 meters long. Using 10 meters per second squared for g, what is the velocity in meters per second at the base of the slope?",20
bonus,physics,Short Answer,A long straight wire carries a 10 ampere current north. Give the magnitude in teslas and the direction of the magnetic field induced at a point 10 centimeters directly under the wire?,"2 x 105 WEST
−
Round 14 Page 4"
toss-up,energy,Multiple Choice,Approximately how much energy does the Sun generate in joules per hour if it converts about 4 billion kilograms of mass into pure energy every second? W) 109 X) 1018 Y) 1030 Z) 1033,Y) 1030
bonus,energy,Multiple Choice,"In the presence of alcohol dehydrogenase, the rate of reduction of acetaldehyde to ethanol increases as you increase the concentration of acetaldehyde. Eventually, the rate of reaction reaches a maximum, where further increases in the concentration of acetaldehyde have no effect. Which of the following BEST explains this result? W) All of the alcohol dehydrogenase molecules are bound to acetaldehyde molecules X) At high concentrations of acetaldehyde, the activation energy of the reaction decreases Y) The enzyme is no longer specific for acetaldehyde Z) At high concentrations of acetaldehyde, the change in free energy of the reaction decreases","W) ALL OF THE ALCOHOL DEHYDROGENASE MOLECULES ARE BOUND TO
ACETALDEHYDE MOLECULES
_______________________________________________________"
toss-up,math,Multiple Choice,"Populations P1 and P2 are normally distributed and have identical means; however, the standard deviation of P1 is twice the standard deviation of P2. Which of the following is TRUE about the percentage of observations falling within two standard deviations of the mean for each population? W) The percentage for P1 is twice the percentage for P2 X) The percentage for P1 is greater, but not twice as great, as the percentage for P2 Y) The percentage for P2 is twice the percentage for P1 Z) The percentages are identical",Z) THE PERCENTAGES ARE IDENTICAL
bonus,math,Short Answer,Find the second derivative of the function f(x) = (3 + 2x)e3x. −,"3(6x + 5)e3x [ACCEPT: (18x + 15)e3x]
− −
Round 14 Page 5"
toss-up,,Multiple Choice,11) EARTH AND SPACE Multiple Choice Which of the following compounds is NOT a common cement in sedimentary rocks? W) SiO 2 X) Fe O 2 3 Y) Mg SiO 2 3 Z) CaCO 3,"Y) Mg SiO
2 3"
bonus,,Short Answer,11) EARTH AND SPACE Short Answer The Ghyben-Herzberg relation characterizes the relationship between the depth of freshwater occurring above and below sea level in the presence of a saltwater intrusion. What physical property determines this relationship?,"DENSITY
_______________________________________________________"
toss-up,physics,Multiple Choice,"If the coulomb constant is 9 × 109 newton meters squared per coulomb squared, what force, in newtons, will two particles with charges of +2 and -2 coulombs kept 2 meters apart exert on each other? W) 4.5 × 109 away from each other X) 4.5 × 109 toward each other Y) 9.0 × 109 toward each other Z) 1.8 × 1010 toward each other",Y) 9.0 × 109 TOWARD EACH OTHER
bonus,physics,Short Answer,"Pam buys a pendulum clock at a discount store and discovers when she gets home that it loses 6 minutes each day. If the pendulum has a period of 2 seconds, by how much must the length be changed, to the nearest centimeter, so that the clock keeps accurate time?","1
Round 14 Page 6"
toss-up,,Multiple Choice,"13) EARTH AND SPACE Multiple Choice Which of the following statements is TRUE about Population I stars and II stars? W) Population I stars tend to be older than Population II stars X) Population I stars of a given mass tend to be more luminous than Population II stars of the same mass Y) Population I stars tend to be found in the spiral arms of galaxies, while Population II stars tend to be found in globular clusters Z) Population I stars tend to have fewer heavy elements than Population II stars","Y) POPULATION I STARS TEND TO BE FOUND IN THE SPIRAL ARMS OF
GALAXIES, WHILE POPULATION II STARS TEND TO BE FOUND IN GLOBULAR
CLUSTERS"
bonus,,Short Answer,"13) EARTH AND SPACE Short Answer Eclipsing binaries are binary star systems whose members eclipse each other, blocking one another’s light and thereby causing the system to look fainter to observers on Earth. Assuming that the eclipsing binary stars are spherical with circular orbits, by number, identify all of the following 5 choices which could influence the light curve of an eclipsing binary: 1) orbital inclination, 2) luminosities of the stars, 3) orbital period, 4) radii of the stars, 5) spectral type of the stars.","1, 2, 3 AND 4
_______________________________________________________"
toss-up,energy,Short Answer,"What is the term for a kind of landfill technology, currently in research and development, that accelerates the biological decomposition of organic wastes in a landfill by promoting the conditions necessary for the microorganisms that degrade the waste?",BIOREACTOR
bonus,energy,Short Answer,"When water levels drop in a spent nuclear fuel pool, temperatures in the fuel assembly rise, accelerating the oxidation of the material that encases uranium oxide pellets. If the oxidation reactions become self-sustaining, a fire can form that proceeds as a burn front along the axis of the fuel rod toward the source of the oxidant. What is the name of the encasing material that is burning?","ZIRCONIUM CLADDING (ACCEPT: ZIRCONIUM)
Round 14 Page 7"
toss-up,biology,Short Answer,"Cowbirds, common cuckoos, and African honeyguides lay their eggs in the nests of other birds. As a result, what term is typically used to describe these birds?",BROOD PARASITE
bonus,biology,Short Answer,"By name or number, identify all of the following five choices that are NOT essential amino acids for humans: 1) phenylalanine, 2) alanine, 3) tryptophan, 4) histidine, 5) aspartate?","ALANINE AND ASPARTATE (ACCEPT: 2 AND 5)
_______________________________________________________"
toss-up,math,Short Answer,"dy 16) MATH Short Answer If x2 + y2 = 52, find in terms of x and y in simplest form. dx -x",y
bonus,math,Short Answer,"A rectangle has both a changing height and a changing width, but the height and width change so that the area of the rectangle is always 200 square feet. What is the rate of change of the width of the rectangle in feet per second when the height is 5 feet, if the height is decreasing at that moment at the rate of 0.5 feet per second?","4
Round 14 Page 8"
