type,subject,format,question,answer
toss-up,physics,Multiple Choice,Resonance in a musical instrument is MOST directly exemplified by: W) sympathetic harmonic vibration X) destructive interference Y) dissonance in the standing wave Z) diffraction,W) SYMPATHETIC HARMONIC VIBRATION
bonus,physics,Short Answer,"The specific heat of a certain metal is 0.750 joules per gram kelvin. How much heat, in joules to the nearest whole number, will it take to increase the temperature of 0.50 kilograms of the metal from 25ºC to 50ºC?","9,375
(Solution: ΔH = (0.75 J/g·K)(500g)(25K) = 9,375J)"
toss-up,chemistry,Multiple Choice,"Solvents, such as water, that can both donate and accept protons are typically described as: W) resonant X) metalloid Y) amphoteric Z) polyprotic",Y) AMPHOTERIC
bonus,chemistry,Multiple Choice,"When going from left to right, elements in the same period of the Periodic Table have progressively smaller atomic radii because of: W) increased effective nuclear charge X) decreased effective nuclear charge Y) addition of electrons Z) addition of neutrons","W) INCREASED EFFECTIVE NUCLEAR CHARGE
2007 Regional Science Bowl – Page 1"
toss-up,biology,Multiple Choice,Which of the following is missing in bryophytes and is an evolutionary advancement of higher plants: W) vascular tissue X) epidermal tissue Y) chloroplasts Z) plasmodesmata (read as: PLAS-mo-dez-MAH-tah),W) VASCULAR TISSUE
bonus,biology,Short Answer,"If the flower color red is dominant and white is recessive, what will be the expected phenotypic ratio of red to white flowers in the first generation of a cross between parent plants both heterozygous for flower color?",3 TO 1
toss-up,math,Short Answer,"What is the domain and range for the function defined by the following set of three ordered pairs: {(–2, 6), (0, 9), (3, 7)}","DOMAIN = –2, 0, 3; RANGE = 6, 9, 7"
bonus,math,Short Answer,"Giving your answer in centimeters to the nearest whole number, what is the perimeter of a closed quarter-circle whose radius is 12 centimeters?","43
(Solution: curve of circle = ¼ πd = 6π = 18.84; sides = 12 + 12 = 24; 24 + 18.84 = 42.8cm)
2007 Regional Science Bowl – Page 2"
toss-up,earth science,Multiple Choice,What type of stream only bears water during and immediately after a rainstorm: W) ephemeral X) intermittent Y) perennial Z) dendritic,W) EPHEMERAL
bonus,earth science,Multiple Choice,Which of the following is NOT true about ocean tides: W) the Moon’s influence on Earth’s tides is about 2-times greater than the Sun’s influence X) a complete tidal day is about 24 hours 50 minutes long Y) some coastlines have 2 high tides and 2 low tides each lunar day whereas some have only have 1 high tide and 1 low tide each lunar day Z) spring high tides typically have greater ranges in the Northern Hemisphere during summer than during winter,"Z) SPRING HIGH TIDES TYPICALLY HAVE GREATER RANGES IN THE
NORTHERN HEMISPHERE DURING SUMMER THAN DURING WINTER
(Solution: during winter at perihelion, Earth is closer to the Sun)"
