type,subject,format,question,answer
toss-up,chemistry,Short Answer,What is the most reduced symmetry operation symbol for a molecule that has a rotation angle of 240°?,"C 2
3"
bonus,chemistry,Short Answer,"How many translational, rotational, and vibrational modes, respectively, are there for the molecule beryllium fluoride?",TRANSLATIONAL = 3; ROTATIONAL = 2; VIBRATIONAL = 4
toss-up,math,Short Answer,Find the sum of the two solutions for the quadratic equation: x x . 2 A2N S–W 4E +R 8: 2= 0 BONUS 2) MATH Short Answer Find the following limit: [the limit as x approaches 2 of 5 𝑥 − 32 the fraction with numerator x to the fifth minluims 𝑥3→22 a𝑥 4n−d 1 6denominator x to the fourth minus 16].,5/2 (ACCEPT: 2 ½ OR 2.5)
toss-up,,Multiple Choice,3) EARTH AND SPACE Multiple Choice Which of the following is nearest the percentage of the Earth’s surface that is covered by glaciers? W) 1% X) 5% Y) 10% Z) 20%,Y) 10%
bonus,,Multiple Choice,3) EARTH AND SPACE Multiple Choice Which of the following organisms was NOT present in the Jurassic? W) Triceratops X) Ichthyosaurs [IK-thee-uh-sawrs] Y) Dinoflagellates [din-uh-FLAJ-uh-layts] Z) Ginkgoes [GING-kohs],W) TRICERATOPS
toss-up,physics,Short Answer,"If it takes 60 pounds-force to loosen a lug nut with a 5 inch wrench, how much force in pounds-force would it take if you used a 12 inch wrench instead?",25
bonus,physics,Multiple Choice,"On a sunny clear day, the sky seems to be bluer directly overhead than it does toward the horizon. Which of the following is the reason? W) Light from the Sun undergoes more scattering with distance X) The atmosphere has higher density at the zenith versus closer to the Earth’s surface Y) There is more oxygen in the air closer to the Earth’s surface than high in the atmosphere Z) The upper atmosphere is colder than the Earth’s surface",W) LIGHT FROM THE SUN UNDERGOES MORE SCATTERING WITH DISTANCE
toss-up,energy,Multiple Choice,By what process is gasoline separated from crude oil? W) Distillation X) Digestion Y) Fracking Z) Filtering,W) DISTILLATION
bonus,energy,Short Answer,"What property of water allows it to have surface tension, and what is the intermolecular force responsible?",COHESION AND HYDROGEN BONDING
toss-up,biology,Short Answer,What is the process by which bacterial genes can be transferred from one bacterium to another via bacteriophages [bak-TEER-ee-uh-FAY-juhs]?,TRANSDUCTION
bonus,biology,Short Answer,"In Labrador retrievers, coat color is determined by two sets of genes on different loci [LOH-sy]. At one locus, the upper case B allele [uh-LEEL] codes for black coat color, and the lower case b allele codes for brown coat pigment. At the second locus, the upper case E allele codes for the presence of a transporter to carry pigment to the hair shaft and the lower case e allele codes for the absence of the transporter. In the presence of transporter, the dog is black or brown; in the absence of transporter, the dog is yellow. What is the genotype of a yellow dog that is heterozygous for the brown allele?",Bbee (ACCEPT: bBee)
toss-up,chemistry,Multiple Choice,Which of the following statements about visible energy transitions in electronic spectroscopy is NOT true? W) They are low energy transitions X) They occur between d-orbitals of transition metals Y) They occur between metal and ligand orbitals Z) They occur between ligand orbitals,Z) THEY OCCUR BETWEEN LIGAND ORBITALS
bonus,chemistry,Multiple Choice,"Propranolol [proh-PRAN-uh-lol] hydrochloride is a stable solid that belongs to a class of molecules known as beta blockers, and is prescribed as a racemic [ray-SEE-mik] mixture. Which of the following is NOT true with respect to propranolol hydrochloride? W) It will not rotate plane-polarized light X) It is optically pure Y) It is achiral [ay-KY-ruhl] Z) It includes equal amounts of each enantiomer [i-NAN-tee-uh-mer]",X) IT IS OPTICALLY PURE
toss-up,math,Short Answer,"Starting with point (4, 2) in the coordinate plane, reflect it across the x- axis, then rotate it 180o around the origin, and finally, translate it vertically up by 2 units. What are the coordinates of the point’s final location?","(-4, 4)"
bonus,math,Short Answer,"If z iandz i , find the product of z , z , and the conjugate of z . 3 1 2 1 2 = 4 + 3 = 1","i
-25"
toss-up,,Multiple Choice,9) EARTH AND SPACE Multiple Choice The San Andreas Fault and collision of India with Asia occurred in what geologic period? W) Cambrian X) Permian Y) Cretaceous [kri-TAY-shuhs] Z) Oligocene [OL-i-goh-seen],Z) OLIGOCENE
bonus,,Short Answer,9) EARTH AND SPACE Short Answer What is the name of the largest aquifer [AK-wuh-fer] in the United States that underlies most of the Midwest?,OGALLALA AQUIFER
toss-up,physics,Multiple Choice,"The messenger particles of weak interaction are which of the following? W) Z bosons only X) W+ and W- bosons only Y) Z, W+, and W- bosons Z) Virtual photons","Y) Z, W+, AND W- BOSONS"
bonus,physics,Multiple Choice,"A transformer has a primary coil with 10 loops and a secondary coil with 100 loops. If the primary coil is supplied with a household voltage of 100 volts and current of 10 amperes, what is the maximum voltage, in volts, across an open circuit produced in the secondary circuit? W) 10 X) 100 Y) 1000 Z) 10,000",Y) 1000
toss-up,biology,Short Answer,"The following four terms would apply to what group of organisms: primaries, axillars, coverts, scapulars?",BIRDS
bonus,biology,Multiple Choice,"When a gene is duplicated within an organism to generate a second copy of that gene, what term in genomics would describe the relationship between the genes? W) Paralogous X) Orthologous Y) Syntologous Z) Heterologous",W) PARALOGOUS
toss-up,chemistry,Short Answer,"Providing your answer as a whole number, what is the overall order of the reaction governed by the rate law R = k[NO 2 ]2[Br 2 ] [R equals k times the concentration of N-O-2 squared times the concentration of bromine]?",3 (ACCEPT: THIRD OR THIRD ORDER)
bonus,chemistry,Short Answer,"Hydrogen and chlorine are reacted in a 500 milliliter flask to form hydrogen chloride. It takes 0.08 seconds for the amount of chlorine to change by -0.005 moles. Providing your answers as decimals, determine the rate of conversion, in moles per second, and the rate of reaction, in molarity per second.",RATE OF CONVERSION = 0.0625; RATE OF REACTION = 0.125
toss-up,physics,Multiple Choice,"If object A and object B are in thermal equilibrium, and object B and object C are in thermal equilibrium, then object A and object C are also in thermal equilibrium. This situation is an example of what law of thermodynamics? W) Zeroth X) First Y) Second Z) Third",W) ZEROTH
bonus,physics,Multiple Choice,"Which of the following is nearest escape velocity on the surface of the Earth, in miles per hour? W) 1000 X) 25,000 Y) 66,000 Z) 670 million","X) 25,000"
toss-up,math,Short Answer,What is the area of the region bounded by the curve: y x[y equals sine of x] and the x-axis from x to x π? = sin,2 = 0 =
bonus,math,Short Answer,What is the largest possible real domain for the function [f of x equals the fraction with numerator 4 x squared and denominato2r the squ2are root of the quantity 4 minus x squared]? 𝑓(𝑥) = (4𝑥 )/√4−𝑥,"(-2, 2) (ACCEPT: -2 < x < 2)"
toss-up,,Multiple Choice,"15) EARTH AND SPACE Multiple Choice The Volcanic Explosivity Index rated the Toba eruption as an 8, the highest rating. Which of the following environments was the most likely tectonic setting for this eruption? W) Hot spot X) Subduction zone Y) Triple junction Z) Mid-ocean ridge",X) SUBDUCTION ZONE
bonus,,Multiple Choice,15) EARTH AND SPACE Multiple Choice Which of the following minerals is NOT a polymorph of Al SiO ? 2 5 W) Andalusite [an-dl-OO-syt] X) Aragonite [uh-RAG-uh-nyt] Y) Sillimanite [SIL-uh-muh-nyt] Z) Kyanite [KAY-uh-nyt],X) ARAGONITE
toss-up,energy,Multiple Choice,Which of the following processes is currently used commercially to enrich uranium in the United States? W) Gaseous diffusion X) Gaseous centrifugation Y) Metal plating Z) Electrolysis,W) GASEOUS DIFFUSION
bonus,energy,Multiple Choice,"Solvent-based techniques best capture carbon dioxide under which of the following relative conditions? W) High temperature, high pressure X) High temperature, low pressure Y) Low temperature, high pressure Z) Low temperature, low pressure","Y) LOW TEMPERATURE, HIGH PRESSURE"
toss-up,physics,Multiple Choice,Fluid pressure is caused by which of the following? W) Gravitational interactions among atoms and molecules of the fluid X) Collisions of fast moving atoms and molecules of the fluid Y) Strong nuclear force among nucleons Z) Weak forces among particles,X) COLLISIONS OF FAST MOVING ATOMS AND MOLECULES OF THE FLUID
bonus,physics,Short Answer,"A projectile is launched with a speed of 10 meters per second from the top of a 30 meter tall cliff at an angle of 30° above the horizontal. Assuming that g is 10 meters per second squared, how many seconds after launch will it take this particle to strike the ground at the bottom of the cliff?",3
toss-up,biology,Short Answer,In what taxonomic phylum [FY-luhm] can you find an indeterminate species in the genus Marchantia [mar-CHANT-ee-uh]?,HEPATOPHYTA
bonus,biology,Short Answer,"For a DNA template that reads 3’ [3 prime] TAC AAA ATC 5’ [5 prime], give the sequence of the RNA transcribed from it with appropriate polarity.",5’ AUG UUU UAG 3’
toss-up,chemistry,Multiple Choice,Which of the following gases would deviate most from ideal gas behavior? W) Helium X) Hydrogen Y) Oxygen Z) Neon,Y) OXYGEN
bonus,chemistry,Short Answer,How many different structural isomers are there for heptane?,NINE
toss-up,math,Multiple Choice,"What is [the derivative with respect to x of the integral from 4 to x of t squared dt]? 𝑑 𝑥 2 𝑑𝑥∫4 𝑡 𝑑𝑡 W) x X) 2 x Y) 3x (1/3) Z) x (64/3) 2 AN 1 S 6 WER: W) x 2 BONUS 20) MATH Short Answer What are the vertical and horizontal asymptotes, respectively, of f x x x x [f of x equals the fraction with numerator x squared minus the square r2o ot of 3 2a nd denominator x squared minus 2x minus 15]? ( ) = ( - √3)/( – 2 - 15)","VERTICAL: x x ; HORIZONTAL: y
= -3, = 5 = 1"
toss-up,biology,Multiple Choice,Which of the following anatomical adjectives is NOT correctly described? W) Celiac-abdominal X) Anterior-front end Y) Rostral-near the tail Z) Pedal-relating to the foot,Y) ROSTRAL-NEAR THE TAIL
bonus,biology,Short Answer,"During the early stages of the Human Genome Project, fragments of human DNA were placed into vectors called yeast artificial chromosomes (YACs). What replication enzyme would be needed in the test tube to connect the two DNA fragments together, creating recombinant DNA?",LIGASE (ACCEPT: DNA LIGASE)
toss-up,,Multiple Choice,22) EARTH AND SPACE Multiple Choice Which of the following desert landforms is NOT formed through the process of abrasion? W) Yardang X) Wind bridge Y) Desert pavement Z) Inselberg,Y) DESERT PAVEMENT
bonus,,Multiple Choice,22) EARTH AND SPACE Multiple Choice Which of the following types of terrace is carved into bedrock? W) Fill X) Strath Y) Alluvium [uh-LOO-vee-uhm] Z) Accretion,X) STRATH
toss-up,physics,Multiple Choice,A proton initially at rest is accelerated through a potential difference of 1 megavolt. What is its final kinetic energy in electronvolts? W) 103 X) 1.6 × 106 Y) 106 Z) 1.6 × 106,Y) 106
bonus,physics,Short Answer,"A 2 kilogram ball experiences a force according to the relation , where F is the force in newtons and t is the time in seconds. Assuming that the ball started2 from rest, how fast in meters per second is the ball moving after experiencing this force 𝐹for= 56 s𝑡econds?",125
toss-up,energy,Multiple Choice,What is the major potential benefit of electric propulsion systems for the NASA space program? W) They are lighter than traditional fuels X) They are less toxic than traditional fuels Y) They contribute to an artificial gravity environment Z) They require less research and development,W) THEY ARE LIGHTER THAN TRADITIONAL FUELS
bonus,energy,Multiple Choice,Which of the following advantages is offered by mid- and deep- ocean sequestration that is not possible at shallower depths? W) Faster mineralization of carbon dioxide X) Easier injection of carbon dioxide Y) Buoyant carbon dioxide hydrates Z) Longer residence time,Z) LONGER RESIDENCE TIME
toss-up,biology,Multiple Choice,Which of the following pairs includes a toothed whale and a baleen whale? W) Bowhead whale and blue whale X) Grey whale and beluga whale Y) Sperm whale and narwhal Z) Northern right whale and minke,X) GREY WHALE AND BELUGA WHALE
bonus,biology,Multiple Choice,"At a 4th of July picnic, Uncle Vernon was munching down on his ear of yellow corn when he exclaimed, “Why do some of these corn kernels have purple spots? Is the corn toxic?” You quickly explain that the corn is not toxic and that the spots were caused by what? W) Transcription start variation X) Transposition of a jumping gene Y) Random X-inactivation Z) Genetic modifications",X) TRANSPOSITION OF A JUMPING GENE
