type,subject,format,question,answer
toss-up,chemistry,Short Answer,What is the scientific term for the ratio between the density of a given substance to that of water when both are at the same temperature?,SPECIFIC GRAVITY (ACCEPT: RELATIVE DENSITY)
bonus,chemistry,Multiple Choice,Which of the following pure substances has the highest melting point at 1 atmosphere of pressure: W) magnesium oxide X) diamond Y) sodium chloride Z) cesium chloride,"X) DIAMOND
(Solution: MgO = 2800ºC; diamond = 3550ºC; NaCl = 801ºC; Cs = 645ºC)"
toss-up,biology,Short Answer,"What is the MOST common anatomical synonym for ventral, when locating a part of the human body in relation to another part?",ANTERIOR
bonus,biology,Short Answer,What are the names for the pyrimidine bases found in DNA?,"CYTOSINE; THYMINE
High School Round 2 Page 1"
toss-up,physics,Short Answer,"According to one of the most common color triangles, if blue and green are primary colors, what is the third primary color?",RED
bonus,physics,Short Answer,"What is the most common name for the pattern of light and dark lines produced when coherent light is passed through two horizontal slits in a thin opaque sheet, causing superposition of waves projected on a wall?",INTERFERENCE PATTERN (ACCEPT: INTERFERENCE)
toss-up,math,Short Answer,What is the smaller of two integers whose sum is 19 and whose product is 48?,"3
(Solution: 16 + 3 = 19; 16 × 3 = 48)"
bonus,math,Multiple Choice,Which of the following numbers is evenly divisible by both 11 and 3: W) 7791 X) 7553 Y) 5181 Z) 8769,"Y) 5181
High School Round 2 Page 2"
toss-up,earth science,Multiple Choice,Which of the following is best classified as a plutonic intrusive rock: W) obsidian X) granite Y) basalt Z) pumice,X) GRANITE
bonus,earth science,Multiple Choice,The principle constituent of most granites is: W) feldspar X) muscovite Y) calcite Z) dolomite,W) FELDSPAR
toss-up,,Multiple Choice,6) GENERAL SCIENCE Multiple Choice The related quantities charted on a line graph are most often called: W) results X) lines Y) sets Z) variables,Z) VARIABLES
bonus,,Short Answer,"6) GENERAL SCIENCE Short Answer How many grams of sodium chloride is in 2,000 milliliters of 0.9% NaCl solution?","18
(Solution: 0.9g/100 mL × 2000 mL = 18.0 g)
High School Round 2 Page 3"
toss-up,,Short Answer,7) ASTRONOMY Short Answer What basic force of the universe is most responsible for holding the planets of our solar system in their orbits?,GRAVITY
bonus,,Short Answer,7) ASTRONOMY Short Answer What are the proper names of the 5 celestial bodies called wanderers by Greek astronomers because they had unusual paths in the sky throughout the year?,MERCURY; VENUS; MARS; JUPITER; SATURN (in any order)
