type,subject,format,question,answer
toss-up,biology,Short Answer,What is the purpose of cones in gymnosperms?,SEXUAL REPRODUCTION
bonus,biology,Short Answer,"Name the plant type that has one seed leaf when it germinates, leaf veins that are parallel to each other, and includes plants such as corn, wheat, lilies, daffodils, and palms.","MONOCOTS [ACCEPT: MONOCOTYLEDON (read as: moh-noh-koh-ti-LEE-dohn)]
________________________________________________________________________"
toss-up,math,Short Answer,"The lengths of two sides of a triangle are 4 and 9. If the triangle is isosceles, what is the length of the third side?",9
bonus,math,Short Answer,"Rebekah wants to fill a spherical piñata with candy. If the radius of her piñata is 6 inches, what is the volume in cubic inches of her piñata in terms of pi?","288π
Round 7 Page 1"
toss-up,,Short Answer,3) EARTH AND SPACE Short Answer What ice sheet on Earth contains the largest volume of ice?,EAST ANTARCTIC ICE SHEET
bonus,,Multiple Choice,3) EARTH AND SPACE Multiple Choice The West Antarctic Ice Sheet and the East Antarctic Ice Sheet are separated by what mountain range? W) Transantarctic Mountains X) Admiralty Mountains Y) Shackleton Range Z) East Antarctic Ranges,"W) TRANSANTARCTIC MOUNTAINS
________________________________________________________________________"
toss-up,math,Short Answer,"If the volume of a cube is 64 cubic centimeters, then what is the surface area of the cube in square centimeters?",96
bonus,math,Multiple Choice,"Which of the following categories of statistical plots displays the first, second, and third quartiles for the data that it represents? W) Box plot X) Scatter plot Y) Histogram Z) Pie chart","W) BOX PLOT
Round 7 Page 2"
toss-up,chemistry,Multiple Choice,What are the products for the complete combustion of methane? W) Carbon and hydrogen X) Carbon dioxide and hydrogen Y) Carbon monoxide and water Z) Carbon dioxide and water,Z) CARBON DIOXIDE AND WATER
bonus,chemistry,Short Answer,"For the complete combustion of butane, butane plus oxygen produces carbon dioxide and water vapor. What is the balanced equation for the combustion of butane?","2C H + 13O à (read as: yields) 8CO + 10H O
4 10 2 2 2
________________________________________________________________________"
toss-up,physics,Multiple Choice,The mass of a raindrop is 4 milligrams. Which of the following represents the correct mass in grams of the raindrop? W) 4 × 10-3 X) 4 × 10-1 Y) 4 × 103 Z) 4 × 106,W) 4 × 10-3
bonus,physics,Multiple Choice,A freely falling object has a constant acceleration of 9.8 meters per second squared. Which of the following is correct? W) The object’s displacement changes by 9.8 meters every second squared X) The object’s acceleration increases by 9.8 meters per second squared each second Y) The object travels 9.8 meters each second Z) The object’s speed increases by 9.8 meters per second each second,"Z) THE OBJECT’S SPEED INCREASES BY 9.8 METERS PER SECOND EACH
SECOND
Round 7 Page 3"
toss-up,,Multiple Choice,"7) EARTH AND SPACE Multiple Choice In which sphere is the “bad” ozone, a volatile compound that contributes to smog, located? W) Stratosphere X) Biosphere Y) Troposphere Z) Lithosphere",Y) TROPOSPHERE
bonus,,Short Answer,7) EARTH AND SPACE Short Answer In which sphere is the “good” ozone that absorbs harmful ultraviolet rays located?,"STRATOSPHERE
________________________________________________________________________"
toss-up,biology,Multiple Choice,"Ducklings learn to recognize and follow the first moving object that they see, usually their mother. What is this behavior called? W) Instinct X) Imprinting Y) Remote sensing Z) Classical conditioning",X) IMPRINTING
bonus,biology,Multiple Choice,"A pigeon is placed in a box. Sooner or later, the pigeon accidentally presses a button or lever that releases food. Eventually, the pigeon learns how to press the button whenever it wants food. This kind of learning is called: W) Habituation X) Classical conditioning Y) Insight learning Z) Operant conditioning","Z) OPERANT CONDITIONING
Round 7 Page 4"
toss-up,chemistry,Multiple Choice,"Determine the solubility product constant (or K ) of silver sp bromide, given that its molar solubility is 5.71 10-7 moles per liter. W) 3.26 10-13 X) 5.71 10-7 Y) 1.14 10-6 Z) 2.14 10-4",W) 3.26 10-13
bonus,chemistry,Short Answer,"Which of the following are strong bases in aqueous solution: 1) potassium hydroxide, 2) ammonia, 3) sodium chloride, 4) calcium hydroxide, or 5) beryllium hydroxide?","POTASSIUM HYDROXIDE AND CALCIUM HYDROXIDE (ACCEPT: 1 AND 4)
________________________________________________________________________"
toss-up,biology,Multiple Choice,Which of the following is most likely a descendent of dinosaurs? W) Frog X) Cockroach Y) Turtle Z) Robin,Z) ROBIN
bonus,biology,Short Answer,Oxygen-rich blood leaves the left ventricle to enter the largest blood vessel in the body. What is this blood vessel called?,"AORTA
Round 7 Page 5"
toss-up,physics,Multiple Choice,A poorly designed fishing bob does not float in a sucrose solution. Which of the following actions could be taken so the fishing bob would float? W) Increase the volume of the solution X) Decrease the volume of the solution Y) Increase the concentration of the solution Z) Decrease the concentration of the solution,Y) INCREASE THE CONCENTRATION OF THE SOLUTION
bonus,physics,Multiple Choice,"Water tank A has width W1 and tank B has width W2, where W1 > W2. The two water tanks are the same height, H. If both tanks are completely filled with water, which of the following is true about the water pressure at the bottom of the tank? W) Pressure cannot be determined X) The pressure is greater in tank A Y) The pressure is greater in tank B Z) Both tanks have the same pressure","Z) BOTH TANKS HAVE THE SAME PRESSURE
________________________________________________________________________"
toss-up,,Short Answer,12) EARTH AND SPACE Short Answer What is the most abundant element in the universe?,HYDROGEN
bonus,,Multiple Choice,12) EARTH AND SPACE Multiple Choice Our solar system formed approximately how many billion years ago? W) 2 X) 3 Y) 5 Z) 7,"Y) 5
Round 7 Page 6"
toss-up,math,Short Answer,"Given the function , what is the largest possible value for y?",4
bonus,math,Short Answer,Express the following in standard polynomial form: (read as: the quantity 3x plus 2 cubed),________________________________________________________________________
toss-up,biology,Multiple Choice,"In the 1980s, Europeans began to be diagnosed with mad cow disease, a disease which affects the brain. What is the type of infectious agent that causes this disease? W) Virus X) Bacteria Y) Fungi Z) Prion",Z) PRION
bonus,biology,Short Answer,The prions that cause mad cow disease lack DNA. What does current research suggest that prions are?,"ABNORMAL ISOFORM PROTEINS (ACCEPT: MISSHAPED ISOFORM
PROTEINS, ABNORMAL PROTEINS)
Round 7 Page 7"
toss-up,chemistry,Multiple Choice,What is the mass of an electron relative to a proton? W) 9.1 x 10-31 X) 8.2 x 10-14 Y) 1/1836 Z) 0.51,Y) 1/1836
bonus,chemistry,Short Answer,Sulfuric acid is used to neutralize a solution of sodium hydroxide. Calculate the number of moles of sodium hydroxide required to completely neutralize two moles of sulfuric acid.,"4
________________________________________________________________________"
toss-up,physics,Multiple Choice,Which of the following describes an electromagnet? W) Straight wire carrying a current X) Current-carrying wire wrapped around a core Y) Permanent bar magnet Z) Rock that is iron attracting,X) CURRENT-CARRYING WIRE WRAPPED AROUND A CORE
bonus,physics,Short Answer,"A voltage difference of 10 volts delivers how much power, in watts, to a 1-ohm resistor?","100
Round 7 Page 8"
toss-up,chemistry,Multiple Choice,Which of the following is NOT a strong acid? W) Hydrofluoric acid X) Hydrochloric acid Y) Hydrobromic acid Z) Hydroiodic acid,W) HYDROFLUORIC ACID
bonus,chemistry,Multiple Choice,Which of the following would be the resulting pH from the reaction of equal amounts of a strong acid with a strong base? W) Less than 7 X) Equal to 7 Y) More than 7 Z) The reaction is independent of the pH,"X) EQUAL TO 7
________________________________________________________________________"
toss-up,math,Short Answer,Where do the lines y = (2x/3) + 5 and 3y = 2x - 21 intersect?,"THEY DON’T (ACCEPT: THEY’RE PARALLEL, NULL SET, EMPTY SET)"
bonus,math,Short Answer,Where do the lines 3x - 4y =12 and 5x + 4y =20 intersect?,"(4,0) ALSO ACCEPT: X = 4 AND Y = 0
Round 7 Page 9"
toss-up,energy,Multiple Choice,The largest reserve of energy in the United States is in which of the following? W) Natural gas X) Coal Y) Nuclear Z) Offshore oil,X) COAL
bonus,energy,Multiple Choice,The Organization of the Petroleum Exporting Countries (OPEC) produces about what percentage of the world’s crude oil? W) 20% X) 40% Y) 60% Z) 80%,"X) 40%
________________________________________________________________________"
toss-up,,Short Answer,20) EARTH AND SPACE Short Answer The world’s largest desert is on which continent?,ANTARCTICA
bonus,,Short Answer,20) EARTH AND SPACE Short Answer What property of many meteors makes Antarctica a good place to go meteor hunting?,"DARK COLOR
Round 7 Page 10"
