type,subject,format,question,answer
toss-up,chemistry,Multiple Choice,Which of the following ionic salts has the LARGEST lattice dissociation energy? W) Sodium chloride X) Magnesium oxide Y) Magnesium chloride Z) Lithium fluoride,X) MAGNESIUM OXIDE
bonus,chemistry,Short Answer,"If 30 milliliters of 0.10 molar sulfuric acid is titrated with 0.03 molar sodium hydroxide, how many milliliters of sodium hydroxide are required to reach the equivalence point?","200
_______________________________________________________"
toss-up,math,Short Answer,"In a group of 16 students, 12 take science and 8 take math. One student takes neither science nor math. How many students take both?",5
bonus,math,Short Answer,"If a * b = ab ÷ (a + b) [a star b equals a times b divided by the quantity a plus b], then find the value of 4 * (4 * 4) [four star open parenthesis four star four close parenthesis]","4/3 (ACCEPT: 1 1/3)
High School Round 15A Page 1"
toss-up,physics,Multiple Choice,"An electromagnetic wave goes into a block of glass with an index of refraction of n = 1.1. In terms of the speed of light C, which of the following is closest to the speed at which the wave propagates inside the glass medium? W) C X) 0.1C Y) 0.9C Z) 1.1C",Y) 0.9C
bonus,physics,Multiple Choice,"Water is warmed by an immersed coil that generates 1000 joules of heat per second when an electric potential difference of 10 volts is applied across its ends. What is the resistance, in ohms, of the heater wire? W) 0.1 X) 1 Y) 10 Z) 100","W) 0.1
_______________________________________________________"
toss-up,,Short Answer,"4) EARTH AND SPACE Short Answer If a galaxy is observed to have a recessional velocity of 150 km/s, what is its distance, in megaparsecs, to one significant figure?",2
bonus,,Multiple Choice,4) EARTH AND SPACE Multiple Choice Which of the following best represents the maximum possible change in thickness of a single clay particle between its condition during hydration compared to dehydration? W) Less than 20% X) Approximately 50% Y) Approximately 70% Z) Nearly 100%,"Z) NEARLY 100%
High School Round 15A Page 2"
toss-up,chemistry,Multiple Choice,"Which of the following statements does NOT describe a molecule in an octahedral arrangement? W) Two-fold, three-fold, and four-fold rotation axes can all be found X) Two different types of improper rotations can be found Y) Exactly eight different mirror planes can be found Z) An inversion center is present",Y) EXACTLY EIGHT DIFFERENT MIRROR PLANES CAN BE FOUND
bonus,chemistry,Short Answer,"An airtight chamber contains 4 moles of nitrogen and an unknown amount of oxygen. If the partial pressure of oxygen is 150 torr, and the total pressure is 350 torr, how many moles of oxygen are present?","3
_______________________________________________________"
toss-up,biology,Multiple Choice,Which of the following is an example of commensalism? W) A hummingbird drinking from a flower X) A tapeworm living in a host intestine Y) A clown fish living in a sea anemone [uh-NEM-uh-nee] Z) Egrets foraging among cattle fields,Z) EGRETS FORAGING AMONG CATTLE FIELDS
bonus,biology,Multiple Choice,You are walking in July when you come across a hedgehog. The animal does not stir when you pick it up; it is breathing and is not injured. What is the best explanation for the animal’s lack of responsiveness? W) It is hibernating X) It is in a state of torpor Y) It is estivating Z) It is in a state of suspended animation,"Y) IT IS ESTIVATING
High School Round 15A Page 3"
toss-up,energy,Multiple Choice,Which of the following is NOT an oil product? W) Gasoline X) Syngas Y) Kerosene Z) Asphalt,X) SYNGAS
bonus,energy,Short Answer,"The battery in your laptop is 4 volts and has a resistance of 10 ohms. In amp-hours, if your laptop charges to 100 percent in an 8 hour workday, what is the initial capacity, assuming perfect efficiency?","3.2
_______________________________________________________"
toss-up,,Multiple Choice,8) EARTH AND SPACE Multiple Choice Which of the following volcanoes in the Cascade Volcanic Arc is a shield volcano? W) Mt Rainier X) Mt St Helens Y) Newberry Volcano Z) Glacier Peak,Y) NEWBERRY VOLCANO
bonus,,Short Answer,8) EARTH AND SPACE Short Answer What is the name of the graben that has the highest recorded temperature on Earth?,"DEATH VALLEY
High School Round 15A Page 4"
toss-up,math,Multiple Choice,"For the expression 5(cid:3051) (cid:3404) 4(cid:3053), [five to the power of x equals four to the power of z] if x and z are positive, which of the following is true? W) (cid:1876)(cid:3053) (cid:3404) log (cid:2873) [x to the power of z equals log of five-fourths] (cid:2872) (cid:3053) X) (cid:3404) log (cid:4666)(cid:1876)(cid:4667) [z divided by four equals log base five of x] (cid:2873) (cid:2872) Y) (cid:1878) (cid:3407) (cid:1876) (cid:3051) Z) (cid:3407) 1 [x divided by z is less than one] (cid:3053) (cid:3051)","Z) (cid:3407) 1
(cid:3053)"
bonus,math,Short Answer,(cid:2868) 9) MATH Short Answer Evaluate the following definite integral: (cid:1516) (cid:3493)(cid:4666)9(cid:3398)(cid:1876)(cid:2870)(cid:4667)(cid:1856)(cid:1876) [the integral (cid:2879)(cid:2871) from negative three to zero of the square root of open parenthesis nine minus x squared close parenthesis d x] (cid:2877)(cid:3095),"(cid:2872)
_______________________________________________________"
toss-up,biology,Multiple Choice,"If the average fur thickness of wild foxes in the northern hemisphere increased with increasing latitude, this variation would be an example of which of the following. W) Directional selection X) Genetic drift Y) Balancing selection Z) Polymorphism",W) DIRECTIONAL SELECTION
bonus,biology,Multiple Choice,"Compared to a seawater acclimated fish, a freshwater acclimated fish would be expected to have which of the following? W) Higher glomerular filtration rates [gloh-MER-you-lur] X) Increased drinking rates Y) Decreased water gain Z) Increased ion loss","W) HIGHER GLOMERULAR FILTRATION RATES
High School Round 15A Page 5"
toss-up,chemistry,Short Answer,"How many sigma and pi bonds, respectively, are in ethyne [ETH-yn], commonly known as acetylene [uh-SET-l-een]?",3 SIGMA AND 2 PI
bonus,chemistry,Multiple Choice,"Consider an arbitrary acid HA [H- A], where A can be any group. Which of the following facts would allow one to directly infer that it is a stronger acid than acetic acid? W) H-A has the ability to protonate water in high yield X) Acetic acid has the ability to protonate H-A in high yield Y) H-A has the ability to protonate acetate in high yield Z) Acetic acid has the ability to protonate A- in high yield","Y) H-A HAS THE ABILITY TO PROTONATE ACETATE IN HIGH YIELD
_______________________________________________________"
toss-up,physics,Short Answer,What physical quantity does the reciprocal of the square root of the product of vacuum magnetic permeability and electric susceptibility represent?,THE SPEED OF LIGHT
bonus,physics,Multiple Choice,The compressibility of an object’s volume is dependent on which of the following? W) Young’s modulus X) Bulk modulus Y) Volume stress Z) Tensile stress,"X) BULK MODULUS
High School Round 15A Page 6"
toss-up,,Short Answer,13) EARTH AND SPACE Short Answer What competing model lost out to the Big Bang theory in the 1960s due to the discovery of the cosmic microwave background?,"STEADY-STATE (ACCEPT: STEADY-STATE MODEL, STEADY-STATE THEORY,
STEADY-STATE UNIVERSE)"
