type,subject,format,question,answer
toss-up,,Multiple Choice,1) Earth and Space – Multiple Choice Which of the following elements most often limits primary production in freshwater lakes? W) Oxygen X) Calcium Y) Carbon Z) Phosphorus,Z) PHOSPHORUS
bonus,,Short Answer,1) Earth and Space – Short Answer Identify all of the following three statements that are true of wooly mammoths: 1) They once lived in North America; 2) They had ivory tusks; 3) They evolved in the Devonian Period.,"1 AND 2
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,biology,Multiple Choice,2) Biology – Multiple Choice One species resembles another species that is poisonous. What is this phenomenon called? W) Commensalism [kah-MEN-sul-ism] X) Mutualism Y) Batesian mimicry [BAIT-see-in MIM-ih-kree] Z) Mullerian mimicry [muhl-AIR-ee-an MIM-ih-kree],Y) BATESIAN MIMICRY
bonus,biology,Multiple Choice,2) Biology – Multiple Choice What human organ utilizes the most glucose in the body? W) Liver X) Heart Y) Lungs Z) Brain,"Z) BRAIN
2016 NSB® Regional High School Questions Page 1"
toss-up,physics,Short Answer,"3) Physics – Short Answer To three significant figures, at what temperature, in kelvins, does pure water boil at sea level?",373
bonus,physics,Short Answer,"3) Physics – Short Answer In a several step production process, the efficiency of Stage 1 is 45 percent, the efficiency of Stage 2 is 85 percent, and the efficiency of Stage 3 is 15 percent. To the nearest whole number percent, what is the overall efficiency of process?","6
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,4) Math – Short Answer What is the degree measure of each interior angle in a regular hexagon?,120
bonus,math,Multiple Choice,4) Math – Multiple Choice Which of the following is true regarding the graph of y = –x3 at x = –2? W) increasing and concave up X) increasing and concave down Y) decreasing and concave up Z) decreasing and concave down,"Y) DECREASING AND CONCAVE UP
2016 NSB® Regional High School Questions Page 2"
toss-up,chemistry,Multiple Choice,5) Chemistry – Multiple Choice What is the maximum number of electrons that the 3d level can hold? W) 2 X) 6 Y) 10 Z) 14,Y) 10
bonus,chemistry,Multiple Choice,"5) Chemistry – Multiple Choice Under aqueous conditions, which of the following reactions would generate a precipitate? W) Ammonium chloride mixed with potassium hydroxide X) Calcium chloride mixed with potassium nitrate Y) Calcium carbonate mixed with hydrochloric acid Z) Barium chloride mixed with potassium sulfate","Z) BARIUM CHLORIDE MIXED WITH POTASSIUM SULFATE
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,6) Energy – Short Answer What refinery process is used to separate components of petroleum based on their boiling points?,DISTILLATION (ACCEPT: FRACTIONAL DISTILLATION)
bonus,energy,Short Answer,"6) Energy – Short Answer Landfill gas, a potential source of energy, is mostly composed of what specific hydrocarbon?","METHANE
2016 NSB® Regional High School Questions Page 3"
toss-up,chemistry,Short Answer,7) Chemistry – Short Answer The +3 oxide of what element is added to molten silicate to generate a glass with a low thermal expansion coefficient that is used for lab glassware?,BORON
bonus,chemistry,Short Answer,7) Chemistry – Short Answer Rank the following three gaseous phase monatomic elements in ascending order of electron affinity: 1) Boron; 2) Silicon; 3) Chlorine.,"1, 2, 3
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,physics,Short Answer,"8) Physics – Short Answer Measured in newtons, what is the magnitude of the centripetal force on a 10-kilogram object traveling along a circular path with a radius of 50 meters at a velocity of 20 meters per second?",80
bonus,physics,Short Answer,"8) Physics – Short Answer A large block of ice is placed in a water bath maintained at 80 degrees Celsius. After some time, one half of the mass of the ice block has melted. What is the temperature, in degrees Celsius, of the surface of the remaining ice?","0
2016 NSB® Regional High School Questions Page 4"
toss-up,biology,Multiple Choice,"9) Biology – Multiple Choice Plant cells are distinguished from animal cells by having: W) A large central vacuole, chloroplasts, and a cell wall made of cellulose X) A large central vacuole, mitochondria, and a nucleus Y) A cell wall made of cellulose, Golgi apparatus, and chloroplasts Z) Chloroplasts, mitochondria, and a nucleus","W) A LARGE CENTRAL VACUOLE, CHLOROPLASTS, AND A CELL WALL
MADE OF CELLULOSE"
bonus,biology,Multiple Choice,9) Biology – Multiple Choice Which of the following plant hormones plays the largest role in the germination of a seed? W) Cytokinin [sye-toh-KYE-nin] X) Zeatin [ZEE-ah-tin] Y) Gibberellins [jib-er-ELL-ins] Z) Ethylene,"Y) GIBBERELLINS
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Multiple Choice,10) Math – Multiple Choice Which of the following equations is that of a line perpendicular to the line with equation 4x – 5y = 10? W) 4x – 5y = 12 X) 4x + 5y = 12 Y) 5x – 4y = 10 Z) 5x + 4y = 10,Z) 5x + 4y = 10
bonus,math,Short Answer,10) Math – Short Answer Identify all of the following four properties that are preserved under a translation: 1) Distance; 2) Collinearity; 3) Midpoint; 4) Angle measure.,"1, 2, 3, 4 (ACCEPT: ALL)
2016 NSB® Regional High School Questions Page 5"
toss-up,,Short Answer,"11) Earth and Space – Short Answer When subjected to intense heat and pressure, limestone becomes which non-foliated metamorphic rock?",MARBLE
