type,subject,format,question,answer
toss-up,biology,Multiple Choice,1) Biology – Multiple Choice The three-dimensional or folded shape of a protein is what hierarchical structure level? W) Primary X) Secondary Y) Tertiary Z) Quaternary,Y) TERTIARY
bonus,biology,Multiple Choice,1) Biology – Multiple Choice Which of the following is NOT a basis for assays to measure cell numbers or cell proliferation? W) Presence of cell proliferation antigens X) Rate of DNA replication Y) Rate of RNA replication Z) Measurement of ATP concentration,"Y) RATE OF RNA REPLICATON
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,2) Energy – Multiple Choice Which of the following does not perform a chemical reaction during operation? W) Combustion engine X) Rocket engine Y) Batteries Z) Wind turbine,Z) WIND TURBINE
bonus,energy,Multiple Choice,2) Energy – Multiple Choice Which of the following best explains why propane is stored in liquid form rather than as a gas? W) It is less flammable as a liquid X) It takes up much less space as a liquid Y) It is easier to burn as a liquid Z) It is a liquid at room temperature,"X) IT TAKES UP MUCH LESS SPACE AS A LIQUID
2017 Regional High School NSB® PAGE 1"
toss-up,physics,Multiple Choice,3) Physics – Multiple Choice Which of the following thermodynamic properties is not a state function? W) Energy X) Enthalpy [EN-thul-pee] Y) Heat Z) Entropy [EN-troh-pee],Y) HEAT
bonus,physics,Short Answer,"3) Physics – Short Answer What principle in physics states that pressure changes on an incompressible, enclosed, static fluid are evenly distributed?","PASCAL'S LAW (ACCEPT: PASCAL’S OR PASCAL’S PRINCIPLE)
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Multiple Choice,4) Earth and Space – Multiple Choice What type of metamorphism occurs when magma is injected into crustal rock and the heat of the intrusion causes the crustal rock to metamorphose? W) Contact X) Regional Y) Burial Z) Hydrothermal,W) CONTACT
bonus,,Short Answer,"4) Earth and Space – Short Answer The volume of Lake Michigan is 5 times 10 to the 12 cubic meters. If the flow rate of water into Lake Michigan is 5 times 10 to the 10 cubic meters per year, how long, in years to one significant digit, is the residence time of water in lake Michigan?","100
2017 Regional High School NSB® PAGE 2"
toss-up,chemistry,Multiple Choice,5) Chemistry – Multiple Choice Which of the following elements is the most electronegative? W) Beryllium X) Sodium Y) Calcium Z) Cesium,W) BERYLLIUM
bonus,chemistry,Multiple Choice,5) Chemistry – Multiple Choice Which of the following is an assumption of the ideal gas law? W) The volume of individual molecules is negligible compared to the volume of the container X) All molecules travel at the same velocity Y) Molecules only interact through dipole [DYE-pole]-dipole forces Z) Molecules do not collide with each other,"W) THE VOLUME OF INDIVIDUAL MOLECULES IS NEGLIGIBLE COMPARED TO THE VOLUME
OF THE CONTAINER
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,"6) Math – Short Answer In a room of 12 people, two meet for a handshake. How many different such meetings could take place?",66
bonus,math,Short Answer,"6) Math – Short Answer If x is inversely proportional to y2 and if x = 3 when y = 4, what is the value of x when y = 6?","4/3 (ACCEPT: 1 1/3)
2017 Regional High School NSB® PAGE 3"
