type,subject,format,question,answer
toss-up,,Short Answer,"1) Earth & Space – Short Answer As red giant stars evolve, they undergo a rapid runaway reaction when they begin to fuse what element in the core?",HELIUM
bonus,,Multiple Choice,1) Earth & Space – Multiple Choice The highest-albedo asteroids primarily belong to what asteroid class? W) S X) X Y) M Z) C,"W) S
******************"
toss-up,math,Multiple Choice,2) Math – Multiple Choice Let f of x be a continuous and differentiable function on the closed interval from 4 to 8. Which of the following could be the x-value guaranteed by the mean value theorem for this situation? W) 4 X) 7 Y) 10 Z) 13,X) 7
bonus,math,Short Answer,2) Math – Short Answer Consider an infinite geometric series with sum equal to 13/3 and first term 7/5. What is the value of the common ratio r for this series?,44/65
toss-up,chemistry,Short Answer,3) Chemistry – Short Answer What theory of chemical kinetics states that molecules must come into contact with each other to react?,COLLISION THEORY
bonus,chemistry,Short Answer,"3) Chemistry – Short Answer Identify all of the following three properties that are typically exhibited by network solids, but not atomic solids: 1) They are soft; 2) They have high conductivity; 3) They have high melting points.","3
******************"
toss-up,physics,Short Answer,"4) Physics – Short Answer A photon can lose energy in matter via Compton scattering. If a photon is sufficiently high in energy, what process will occur instead?",PAIR PRODUCTION
bonus,physics,Short Answer,"4) Physics – Short Answer A musical instrument is made from a 2-meter tube that is open on one end and closed at the other. In meters, what is the wavelength of the first overtone of this instrument?",8/3 (ACCEPT: 2 2/3)
toss-up,biology,Multiple Choice,5) Biology – Multiple Choice Which of the following best describes what will occur to a tadpole if it is fed pieces of a thyroid gland? W) It will be unable to undergo metamorphosis X) It will immediately undergo metamorphosis Y) It will begin to suffer from adrenal [Ah-DREE-nul] insufficiency Z) It will suffer iodine poisoning,X) IT WILL IMMEDIATELY UNDERGO METAMORPHOSIS
bonus,biology,Multiple Choice,5) Biology – Multiple Choice Which of the following groups of protists is most closely related to plants? W) Dinoflagellates [DYE-no-FLAJ-ill-ates] X) Unikonts [YOU-nih-konts] Y) Diatoms Z) Red algae,"Z) RED ALGAE
******************"
toss-up,energy,Short Answer,6) Energy – Short Answer Pacific Northwest National Lab scientists are studying atmospheric aerosols. Some of the particles in these aerosols serve as substrates for cloud formation. What is the term for these particles?,CONDENSATION NUCLEI (ACCEPT: CLOUD SEEDS)
bonus,energy,Short Answer,"6) Energy – Short Answer Researchers at Fermilab are working with CERN to detect long-lived particles in the Large Hadron Collider. One potential source of these particles is the decay of what particle, whose field is thought to give mass to other particles?","HIGGS BOSON (ACCEPT: HIGGS PARTICLE, HIGGS; DO NOT ACCEPT: GOD
PARTICLE)"
toss-up,,Short Answer,7) Earth & Space – Short Answer What atmospheric gas was NOT a significant component of Earth’s atmosphere until about 2.4 billion years ago?,"OXYGEN (ACCEPT: DIOXYGEN, O )
2"
bonus,,Short Answer,7) Earth & Space – Short Answer What mass extinction event led to the most significant percentage decrease in global diversity?,"PERMIAN (ACCEPT: END-PERMIAN, PERMIAN-TRIASSIC,
PERMO-TRIASSIC)
******************"
toss-up,biology,Multiple Choice,8) Biology – Multiple Choice The triple response in a growing seedling is typically triggered by which of the following stresses? W) Mechanical contact X) Excessive flooding Y) Drought Z) Excessive salt,W) MECHANICAL CONTACT
bonus,biology,Short Answer,8) Biology – Short Answer Identify all of the following three developments that are analogous features between bats and birds: 1) Flight; 2) Amnion [AM-nee-awn]; 3) Endothermy [EN-doh-thermee].,"1, 3"
toss-up,energy,Multiple Choice,9) Energy – Multiple Choice Department of Energy-supported scientists are using DNA as a molecular wire to transport electrons between organic molecules. What specific moieties [MOY-eh-teez] in the DNA exchange the electrons in these reactions? W) Phosphoesters [faws-fo-ES-turs] X) Deoxyribose [dee-oxee-RYE-bose] sugars Y) Nucleobases Z) Ribose sugars,Y) NUCLEOBASES
bonus,energy,Short Answer,9) Energy – Short Answer The Department of Energy supports scientists studying the high thermal conductivity of boron arsenide. This high thermal conductivity is due to heat transmission within boron arsenide being mediated by quantized collective vibrations in its crystal structure. This is an example of what quasiparticle [KWAH-zye-particle]?,"PHONON (DO NOT ACCEPT: PHOTON)
******************"
toss-up,math,Multiple Choice,"10) Math – Multiple Choice In the conversion of the rectangular coordinates (–5, 3) to polar coordinates, to the nearest degree, what is the measure of the angle? W) 121 X) 149 Y) 301 Z) 329",X) 149
bonus,math,Short Answer,"10) Math – Short Answer What are the coordinates of the image of the point (5, 6) when it is rotated about the point (1, 3) by 90 degrees counterclockwise?","(–2, 7) (ACCEPT: x = –2 AND y = 7)"
toss-up,physics,Short Answer,"11) Physics – Short Answer The voltage of an RLC circuit is analogous to the position of a damped harmonic oscillator. Continuing this analogy, what aspect of the RLC circuit is most analogous to the mass of the harmonic oscillator?",INDUCTANCE
bonus,physics,Short Answer,"11) Physics – Short Answer A point charge of one coulomb is enclosed in a shell-like spherical conductor with a radius of four meters. In SI base units, what is the product of the permittivity [purr-mih-TIV-it-ee] of free space with the electric flux through the conductor?","ONE (ACCEPT: 1 COULOMB)
******************"
toss-up,chemistry,Short Answer,12) Chemistry – Short Answer Identify all of the following three species that have increasing solubility in water with increasing temperature: 1) Carbon dioxide; 2) Sucrose; 3) Silver nitrate.,"2, 3"
bonus,chemistry,Multiple Choice,"12) Chemistry – Multiple Choice Melissa is attempting to dissolve a solid in water to form a solution. After vigorous agitation, she can no longer visibly see particles of solid. Which of the following steps should she take next to determine if the solid has completely dissolved? W) If she sees no visible particles, the solid has dissolved completely X) She should shine a beam of light through the sample Y) She should determine if the freezing point of the sample has changed Z) She should measure the vapor pressure of the sample",X) SHE SHOULD SHINE A BEAM OF LIGHT THROUGH THE SAMPLE
toss-up,biology,Short Answer,"13) Biology – Short Answer In eukaryotic DNA, what named sequence is located 25 nucleotides upstream of the transcription start site in the core promoter region?",TATA BOX (ACCEPT: GOLDBERG-HOGNESS BOX)
bonus,biology,Short Answer,13) Biology – Short Answer Identify all of the following three substances whose reabsorption is increased in the kidneys in response to aldosterone [al-DOSS-ter-own]: 1) Sodium; 2) Potassium; 3) Water.,"1, 3
******************"
toss-up,physics,Short Answer,"14) Physics – Short Answer Consider an infinitely long line of uniformly dense charge, which has an electric field strength of E at a certain distance R from the line. In terms of E, what is the electric field strength at a distance 3R from the line?",E/3 (ACCEPT: 1/3 E)
bonus,physics,Short Answer,14) Physics – Short Answer An electric dipole is placed in a uniform electric field. Identify all of the following three statements that are always true: 1) There is no net electric force on the dipole; 2) There is no net torque [tork] on the dipole; 3) The dipole has minimum electrical potential energy when the dipole moment is parallel to the electric field.,"1, 3"
toss-up,energy,Multiple Choice,"15) Energy – Multiple Choice Brookhaven National Lab researchers are using electron diffraction to image structural details of crystalline materials. Which of the following is closest to the ratio of the wavelength of these electrons to that of x-rays used in x-ray diffraction? W) 100,000 X) 1,000 Y) 10 Z) 0.1",Z) 0.1
bonus,energy,Short Answer,15) Energy – Short Answer Fermilab researchers are developing computational techniques to model the interactions of various quantum particles. One of the first theoretical considerations they made is to use an operator that is the sum of the kinetic and potential energies of all the particles in their system. What is the name of this operator?,"HAMILTONIAN
******************"
toss-up,chemistry,Multiple Choice,"16) Chemistry – Multiple Choice Which of the following best explains why the atomic radius of the lanthanide [LAN-tha-nide] elements decreases significantly going across the period from lanthanum [LAN-tha-num] to lutetium [loo-TEE-shum]? W) Shielding decreases leading to a greater effective nuclear charge X) 5d orbitals start to fill, decreasing shielding Y) Extra neutrons stabilize the smaller atomic radii Z) 4f orbitals are diffuse, so effective nuclear charge increases relative to shielding","Z) 4F ORBITALS ARE DIFFUSE, SO EFFECTIVE NUCLEAR CHARGE INCREASES
RELATIVE TO SHIELDING"
