type,subject,format,question,answer
toss-up,biology,Multiple Choice,Human skin pigmentation and height may vary greatly and are probably controlled by multiple genes. This is an example most specifically of: W) pleiotropy X) polygenic inheritance Y) epistasis (read as: ep-ee-STAY-sis) Z) incomplete codominance,X) POLYGENIC INHERITANCE
bonus,biology,Multiple Choice,There are more possible antibodies to antigens than there are genes that code for these antibodies in the human genome. Which of the following BEST accounts for this: W) genes mutate constantly in B cells X) genes for antibodies are spliced together from different chromosomal loci Y) antibodies have large amounts of cross reactivity with various antigens Z) antibodies are only specific for certain parts of an antigen,"X) GENES FOR ANTIBODIES ARE SPLICED TOGETHER FROM DIFFERENT
CHROMOSOMAL LOCI"
toss-up,chemistry,Multiple Choice,Which of the following is NOT true about amino acids: W) amino acids exist primarily as zwitterions X) amino acid are amphoteric Y) an amino acid becomes neutral at its isoelectric point Z) tryptophan and cysteine contain sulfur atoms in their side chains,"Z) TRYPTOPHAN AND CYSTEINE CONTAIN SULFUR ATOMS IN THEIR SIDE
CHAINS
(Solution: tryptophan contains a nitrogen atom)"
bonus,chemistry,Short Answer,Arrange the following 4 bonds in order of INCREASING bond lengths: C−C (read as: C single bond C); C=C (read as: C double bond C); C≡C (read as: C triple bond C); C–H (read as: C single bond H),"C–H; C≡C; C=C; C−C
2007 Regional Science Bowl – Page 1"
toss-up,physics,Multiple Choice,The discovery of the cosmic background radiation was originally done with: W) the Hubble space telescope X) the Arecibo radio telescope Y) a ground-based horn-shaped microwave antenna Z) a microwave receiver in a high altitude hot air balloon,Y) A GROUND-BASED HORN-SHAPED MICROWAVE ANTENNA
bonus,physics,Multiple Choice,Which of the following recently gave what many think as irrefutable evidence for the existence of dark matter: W) the discovery of gravitational waves at the LIGO facility at Pacific Northwest National Lab X) Chandra X-ray images of hot gases during a violent merger of the “bullet cluster” of galaxies Y) creation of quark-gluon plasma at the Relativistic Heavy Ion Collider Z) the finding that neutrinos account for more mass of the universe than all the stars in the universe,"X) CHANDRA X-RAY IMAGES OF HOT GASES DURING A VIOLET MERGER
OF THE “BULLET CLUSTER” OF GALAXIES"
toss-up,math,Short Answer,Differentiate the following trigonometric function: f(x) = sin x2,2x cos x2
bonus,math,Multiple Choice,"Which of the following is closest to the area of a triangle whose sides are a = 10, b = 12 and c = 18: W) 57 X) 81 Y) 90 Z) 108","W) 57
(Solution: s = (10+12+18)/2; K = s(s−a)(s−b)(s−c) = 20(20−10)(20−12)(20−18)=
3200= 56.6)
2007 Regional Science Bowl – Page 2"
toss-up,earth science,Multiple Choice,Reverse faults commonly form as a result of which of the following tectonic forces: W) tensional X) transform Y) shear Z) compressive,Z) COMPRESSIVE
bonus,earth science,Multiple Choice,Which of the following is an ocean current that predominately travels in an EASTERLY direction: W) the Labrador Current X) the North Equatorial Current Y) the Antarctic Circumpolar Current Z) the South Equatorial Current,Y) THE ANTARCTIC CIRCUMPOLAR CURRENT
toss-up,,Multiple Choice,6) GENERAL SCIENCE Multiple Choice Which of the following is TRUE: W) neutrinos released from Fermi National Lab in Illinois have been detected by an underground facility in Minnesota X) the European Space Agency’s Planck Surveyor recently confirmed a critical postulate of string theory Y) baryonic matter accounts for most of the mass of the universe Z) the LISA detector recently detected gravitational waves from 2 colliding black holes,"W) NEUTRINOS RELEASED FROM FERMI NATIONAL LAB IN ILLINOIS
HAVE BEEN DETECTED BY AN UNDERGROUND FACILITY IN MINNESOTA"
bonus,,Short Answer,"6) GENERAL SCIENCE Short Answer Your boat has a true course of 88º, the variation is 18º west, and the deviation is 12º west. What is your compass course, in degrees?","118
(Solution: 88 + 18 + 12 = 118º)
2007 Regional Science Bowl – Page 3"
toss-up,,Multiple Choice,7) ASTRONOMY Multiple Choice Which of the following is TRUE: W) the far side of the Moon from Earth has more large maria than the near side X) the next sunspot minimum is expected in 2008 Y) the declination of the Sun during the winter solstice is 23.5 degrees north Z) B-type stars have strong absorption lines for neutral helium,"Z) B-TYPE STARS HAVE STRONG ABSORPTION LINES FOR NEUTRAL
HELIUM"
