type,subject,format,question,answer
toss-up,physics,Multiple Choice,The slope of a velocity versus time graph represents: W) acceleration X) velocity Y) position Z) displacement,W) ACCELERATION
bonus,physics,Multiple Choice,Under which of the following conditions is the average velocity equal to the average of an object’s initial and final velocity: W) always X) never Y) only when the acceleration changes Z) only when the acceleration is constant,Z) ONLY WHEN THE ACCELERATION IS CONSTANT
toss-up,chemistry,Multiple Choice,Which of the following is an EXTENSIVE property of matter: W) temperature X) density Y) mass Z) viscosity,"Y) MASS
(Solution: extensive properties depend on the amount of substance present)"
bonus,chemistry,Short Answer,"What is the name for the phenomenon that occurs when a light beam becomes visible after passing through a colloid, an example of which is a beam of light passing through fog at night?",THE TYNDALL EFFECT
toss-up,biology,Short Answer,How many autosomes are in a normal nucleated human nerve cell in G-zero of the cell cycle?,44
bonus,biology,Multiple Choice,Which of the following is NOT true of the human body: W) there are substantial numbers of lymph nodes in the wall of the large intestine X) veins have comparatively thick walls with more muscle than arteries Y) there are two layers of smooth muscle in the walls of the small intestine Z) the small intestine is longer than the large intestine,"X) VEINS HAVE COMPARATIVELY THICK WALLS WITH MORE MUSCLE
THAN ARTERIES"
toss-up,math,Short Answer,"What is the side of a square, in centimeters to the nearest whole number, given that its diagonal is 16 centimeters?","11
(Solution: s = 16/ 2 = 11.3 cm)"
bonus,math,Short Answer,"Solve the following equation for x: –10 |(x + 2)| = –50 (read as: negative 10 times the absolute value of, open parenthesis, x + 2, close parenthesis, equals negative 50)",3 AND –7
toss-up,earth science,Short Answer,What is the percent relative humidity if the vapor content is one-half the amount of vapor the mass of air can hold?,50%
bonus,earth science,Multiple Choice,Which of the following MOST directly modulates the intensity of incoming solar radiation through the course of a year: W) the eccentricity of Earth’s orbit X) the time for 1 orbit of Earth around the Sun Y) Earth’s rapid rotation about its axis Z) the tilt of Earth’s axis,Z) THE TILT OF EARTH’S AXIS
toss-up,,Multiple Choice,6) GENERAL SCIENCE Multiple Choice Which of the following is closest to the conversion of 900 millibars into atmospheres: W) 0.09 X) 0.9 Y) 9.0 Z) 90.0,X) 0.9
bonus,,Short Answer,"6) GENERAL SCIENCE Short Answer Convert 2,000 meters per second into kilometers per hour:","7,200"
toss-up,,Multiple Choice,"7) ASTRONOMY Multiple Choice At about 10 PM in late summer of 2006, an observer at about 35 degrees north latitude would most likely see the stars Altair, Deneb and Vega in which of the following places in the sky: W) low in the east X) low in the west Y) about half way up in the northern sky Z) almost directly overhead",Z) ALMOST DIRECTLY OVERHEAD
bonus,,Short Answer,7) ASTRONOMY Short Answer What is the most common astronomical term for the interval of time between two successive passages of the Sun through the vernal equinox?,TROPICAL YEAR (ACCEPT: SOLAR YEAR)
toss-up,physics,Short Answer,Stories have been told about opera singers breaking crystal glass by singing a certain tone loud enough. What is the most common term for the property that would account for this happening?,RESONANCE
bonus,physics,Short Answer,"What is the wavelength, in meters, of a sound wave that has a frequency of 600 hertz and a speed in a certain medium of 360 meters per second?","0.6
(Solution: wavelength = speed/f = 360/600 = 0.6 meters)"
toss-up,chemistry,Multiple Choice,Which of the following techniques employs a moving phase and a stationary phase to separate components of a mixture: W) filtration X) centrifugation Y) distillation Z) chromatography,Z) CHROMATOGRAPHY
