type,subject,format,question,answer
toss-up,physics,Short Answer,"1) Physics – Short Answer For a closed curve on a pressure-volume diagram, what specific thermodynamic quantity is best represented by the enclosed area inside the curve?",WORK (DO NOT ACCEPT: HEAT OR ENERGY)
bonus,physics,Short Answer,1) Physics – Short Answer Identify all of the following three changes that would increase the capacitance of a parallel plate capacitor in a circuit: 1) Increasing the potential difference in the circuit; 2) Increasing the plate area; 3) Increasing the distance between plates.,"2
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,"2) Energy – Short Answer Scientists at Oak Ridge National Lab have developed a method to use nanoscale spikes of carbon atoms to reduce gaseous nitrogen to ammonia. In nitrogen-fixing bacteria, what molybdenum- [muh-LIB-den-um] and iron-containing enzyme catalyzes this same reaction?",NITROGENASE
bonus,energy,Short Answer,"2) Energy – Short Answer Researchers at Fermi National Accelerator Lab were the first to observe the production of the top quark. In the decay pathway that produced the first-observed top quark, the decay was mediated by what fundamental force?","STRONG (ACCEPT: STRONG NUCLEAR FORCE)
2019 Regional Science Bowl – Round 11A Page 1"
toss-up,biology,Short Answer,"3) Biology – Short Answer Two groups of the same species of monkey develop different mating rituals and eventually become reproductively incompatible. If this occurs while they occupy the same geographic region, what is the adjective for the type of speciation that has occurred?",SYMPATRIC
bonus,biology,Short Answer,3) Biology – Short Answer What zipper-like protein structure holds homologs together during synapsis?,"SYNAPTONEMAL COMPLEX
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,chemistry,Multiple Choice,4) Chemistry – Multiple Choice Which of the following elements has the largest first ionization energy? W) Sodium X) Aluminum Y) Argon Z) Chlorine,Y) ARGON
bonus,chemistry,Short Answer,"4) Chemistry – Short Answer Identify all of the following three numbers of pi [pie] electrons that, according to Huckel's [HAH-kulz] rule, can occupy an aromatic system: 1) 4; 2) 8; 3) 10.","3
2019 Regional Science Bowl – Round 11A Page 2"
toss-up,math,Short Answer,5) Math – Short Answer What is the 5/3 power of –8?,–32
bonus,math,Short Answer,"5) Math – Short Answer A jar contains 9 coins: 8 fair coins and 1 double-headed coin. If a random coin is selected from the jar, is flipped, and comes up heads, what is the probability that the double-headed coin was the one selected?","1/5 (ACCEPT: 0.20, 20%)
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Multiple Choice,6) Earth and Space – Multiple Choice Where on the H-R diagram can one find red dwarf stars? W) Top right X) Bottom right Y) Bottom left Z) Top left,X) BOTTOM RIGHT
bonus,,Short Answer,6) Earth and Space – Short Answer Identify all of the following three positions on the celestial sphere that have a declination of zero: 1) Summer solstice; 2) Autumnal equinox; 3) Winter solstice.,"2
2019 Regional Science Bowl – Round 11A Page 3"
toss-up,physics,Multiple Choice,7) Physics – Multiple Choice Which of the following best describes the shape of the graph of potential energy as a function of position for a constant force? W) Linear X) Quadratic Y) Logarithmic Z) Exponential,W) LINEAR
bonus,physics,Short Answer,"7) Physics – Short Answer Identify all of the following three statements that are always true regarding motion in a closed path: 1) If no displacement occurs, zero work was done; 2) Going around a closed path requires negative work; 3) Mechanical energy is conserved.","NONE OF THEM
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,chemistry,Short Answer,8) Chemistry – Short Answer Cyclohexene undergoes hydrogenation with hydrogen gas. What is the molecular formula of the product of the reaction?,"C H
6 12"
bonus,chemistry,Short Answer,8) Chemistry – Short Answer Rank the following three electronic transitions in monatomic hydrogen in terms of increasing change in energy: 1) Electron jumps from 1s to 2p; 2) Electron is ionized from the 3s orbital; 3) Electron jumps from 2s to 4p.,"2, 3, 1
2019 Regional Science Bowl – Round 11A Page 4"
toss-up,energy,Multiple Choice,9) Energy – Multiple Choice Oak Ridge National Lab scientists are studying bacteria that have penicillin resistance. Penicillin and similar drugs inhibit what process in the bacteria? W) DNA replication X) Translation Y) Cell wall biosynthesis Z) Ribosome assembly,Y) CELL WALL BIOSYNTHESIS
bonus,energy,Short Answer,9) Energy – Short Answer Scientists at Pacific Northwest National Lab are studying the production of lipid metabolites by fungi. These metabolites are produced by the oxidation of simpler lipids by cytochrome [SIGH-tow-krohm] P450 enzymes in what double-membrane- bound organelle?,"SMOOTH ENDOPLASMIC RETICULUM (ACCEPT: ENDOPLASMIC
RETICULUM, ER; DO NOT ACCEPT: ROUGH ER)
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,biology,Multiple Choice,10) Biology – Multiple Choice What mammalian characteristic do Echidnas [eh-KID-nahs] lack? W) Hair X) Milk production Y) Nipples Z) Temporal fenestra,Y) NIPPLES
bonus,biology,Multiple Choice,10) Biology – Multiple Choice Spiracles on the surface of insects function as part of which of the following organ systems? W) Circulatory X) Digestive Y) Reproductive Z) Respiratory,"Z) RESPIRATORY
2019 Regional Science Bowl – Round 11A Page 5"
toss-up,,Multiple Choice,11) Earth and Space – Multiple Choice Increasing the silica content in rock melts results in an increase in the melt viscosity. Which of the following SI derived units would be used to describe melt viscosity? W) Newtons per meter X) Pascal seconds Y) Newton meters Z) Pascals per second,X) PASCAL SECONDS
bonus,,Short Answer,11) Earth and Space – Short Answer Identify all of the following three metamorphic rocks that are considered foliated: 1) Phyllite [FILL-lite]; 2) Quartzite; 3) Schist.,"1, 3
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Multiple Choice,12) Math – Multiple Choice Which of the following types of figures must have line symmetry but not necessarily turn symmetry? W) Isosceles triangle X) Parallelogram Y) Rectangle Z) Rhombus,W) ISOSCELES TRIANGLE
bonus,math,Short Answer,"12) Math – Short Answer Jack is asked by his teacher to subtract 4 from a number and multiply the result by 3. Instead, he subtracts 3 and then multiplies the result by 4, giving him 176. What is the correct answer to the teacher’s question?","129
2019 Regional Science Bowl – Round 11A Page 6"
toss-up,physics,Short Answer,"13) Physics – Short Answer If a given artery requires a pressure P to sustain a flow rate, then, in terms of P, how much pressure is required to maintain the flow rate if the artery shrinks to half of its original radius?",16P
bonus,physics,Short Answer,13) Physics – Short Answer Identify all of the following three changes that would increase the distance between intensity maxima in a single-slit diffraction setup: 1) Increasing the wavelength of light; 2) Increasing the width of the single slit; 3) Increasing the distance to the screen.,"1, 3
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,"14) Math – Short Answer If f of x equals the fifth root of open parenthesis x + 10 close parenthesis, what is f inverse of 2?",22
bonus,math,Short Answer,"14) Math – Short Answer For integers a and b, define the binary operation “star” by a “star” b is equal to 2 less than the product of a and b. What is 3 “star” open parenthesis 4 “star” 5 close parenthesis?","52
2019 Regional Science Bowl – Round 11A Page 7"
