type,subject,format,question,answer
toss-up,chemistry,Multiple Choice,Which of the following molecules has an electron pair geometry that matches its molecular geometry: W) H O 2 X) NH 3 Y) SO 2 Z) PCl 5,"Z) PCl
5"
bonus,chemistry,Multiple Choice,Which of the following is NOT a constitutional isomer of the organic compound whose molecular formula is C H : 4 8 W) 1-butene X) 2-butene Y) 2-methyl-1-butene Z) 2-methyl-1-propene,"Y) 2-METHYL-1-BUTENE
(Solution: 2-methyl-1-butene has a molecular formula of C H )
5 10"
toss-up,physics,Short Answer,Within the Standard Model of Particle Physics what particle is responsible for carrying the strong nuclear force?,GLUON
bonus,physics,Short Answer,What is the principle or law that fundamentally limits the accuracy of specifying at the same time the momentum and position of a particle?,"HEISENBERG UNCERTAINTY PRINCIPLE (ACCEPT: UNCERTAINTY
PRINCIPLE)
2007 Regional Science Bowl – Page 1"
toss-up,biology,Multiple Choice,Which of the following occurs during synapsis of meiosis: W) non-sister chromatids of homologous chromosomes cross over X) sister chromatids of homologous chromosomes cross over Y) non-sister chromatids of non-homologous chromosomes cross over Z) sister chromatids of non-homologous chromosomes cross over,"W) NON-SISTER CHROMATIDS OF HOMOLOGOUS CHROMOSOMES CROSS
OVER"
bonus,biology,Short Answer,"If 2n is the number of chromosomes and 2s is the DNA content of a diploid human cell in G1 of the cell cycle, what are the n and s values, respectively, of a human spermatogonia at the end of telophase one of meiosis?",1N AND 2S
toss-up,math,Short Answer,"In simplest radical form, give the cosecant of a 135º angle:",2
bonus,math,Short Answer,"Find the value of k that will result in a unique, real solution for the following equation: kx2 + 10x + 25 = 0","1
(Solution: b2 - 4ac = 0; 100 – 4(k)(25) = 0; k = 1)
2007 Regional Science Bowl – Page 2"
toss-up,earth science,Multiple Choice,"Groundwater flows according to what law that, in its simplest form, is given by the equation Q = kIA: W) Darcy’s Law X) Law of Superposition Y) Law of Original Horizontality Z) Ekman’s Law",W) DARCY’S LAW
bonus,earth science,Multiple Choice,"Which of the following is a type of inland fog that occurs more often in spring when warm, moist air is cooled below its dew point as it moves over a cooler surface: W) advection fog X) radiation fog Y) reflection fog Z) steam fog",W) ADVECTION FOG
toss-up,,Multiple Choice,6) GENERAL SCIENCE Multiple Choice A primary consequence of acid rain in the northeast U.S. has been: W) salt-water intrusion in coastal wells X) the leaching out of toxic heavy metals in lakes and streams Y) increase in radioactive decay of parent bedrock Z) increased algal growth to cause eutrophication in lakes,"X) THE LEACHING OUT OF TOXIC HEAVY METALS IN LAKES AND
STREAMS"
bonus,,Short Answer,6) GENERAL SCIENCE Short Answer About two-thirds of the cause of acid precipitation is the production of sulfuric acid in the atmosphere. The production of what acid accounts for about the other one-third of acid rain?,"NITRIC ACID (ACCEPT: NITROUS)
2007 Regional Science Bowl – Page 3"
toss-up,,Multiple Choice,"7) ASTRONOMY Multiple Choice If an astronomer photographed a massive cloud of ionized hydrogen in space that was emitting all of the Balmer wavelengths, what color would it typically appear to us: W) white X) green Y) pink Z) blue",Y) PINK
bonus,,Multiple Choice,7) ASTRONOMY Multiple Choice Which of the following was discovered in the 1600’s about Venus that was strong evidence that the planets orbited the Sun: W) Venus’s cloud cover reverses its direction in the sky at certain times of the year X) Venus has phases varying from crescent to full Y) Venus has an axial motion opposite to that of the Earth Z) Venus is the brightest planet in the sky only part of the year,X) VENUS HAS PHASES VARYING FROM CRESCENT TO FULL
toss-up,chemistry,Multiple Choice,"For a given chemical reaction at constant temperature and pressure, if the value for Gibbs free-energy change is a negative, the reaction is always: W) endothermic X) exothermic Y) spontaneous Z) nonspontaneous",Y) SPONTANEOUS
bonus,chemistry,Multiple Choice,"In a phase diagram, the solid-liquid line has a negative slope for which of the following pure substances: W) carbon dioxide X) water Y) ammonia Z) argon","X) WATER
(Solution: solid water is less dense than liquid water)
2007 Regional Science Bowl – Page 4"
toss-up,physics,Multiple Choice,"Which of the following was the big surprise in the classic gold foil experiments of Rutherford, Geiger and Marsden: W) alpha particles sometimes disappeared X) electrons would not penetrate the nucleus Y) the atom was mostly space as supported by the finding that most alpha particles continued on a straight path and hit the rear of the detection screen Z) some alpha particles left evidence of having returned almost straight back to hit the front part of the detection screen","Z) SOME ALPHA PARTICLES LEFT EVIDENCE OF HAVING RETURNED
ALMOST STRAIGHT BACK TO HIT THE FRONT PART OF THE DETECTION SCREEN"
bonus,physics,Short Answer,"Most of the early classical experiments with alpha particles were done by Rutherford and co-workers using a simple scintillation detector, which was a screen most commonly coated with what substance?",ZINC SULFIDE (ACCEPT: ZnS)
toss-up,biology,Multiple Choice,Which of the following is NOT true of chloroplasts: W) they are relatively large organelles and can exceed 3 microns long X) thay have smaller ribosomes than are found in the plant cytosol Y) they contain thylakoid (read as: THY-la-koid) stacks Z) their numbers are controlled primarily by the cell’s nuclear genes that control division,"Z) THEIR NUMBERS ARE CONTROLLED PRIMARILY BY THE CELL’S
NUCLEAR GENES THAT CONTROL DIVISION"
bonus,biology,Short Answer,"By number or name, identify all of the following 4 areas of plants where you would be MOST likely to see meristematic tissue: 1) longitudinal section of a terminal bud 2) cross-section of the pith of a sunflower stem 3) transverse section of a lateral root tip 4) cross-section of central parenchymal cells of a corn stem","1 AND 3 (ACCEPT: 1 - LONGITUDINAL SECTION OF A TERMINAL BUD AND
3 - TRANSVERSE SECTION OF A LATERAL ROOT TIP)
2007 Regional Science Bowl – Page 5"
toss-up,math,Short Answer,"Giving your answer as one, two, three, or four, in what quadrant will theta terminate if sine θ and secant θ are both negative?",3
bonus,math,Short Answer,Differentiate and simplify the following with respect to x: y = ln x (read as: y = natural log of absolute value of x) 1,x
toss-up,earth science,Multiple Choice,Which of the following is the global wind system that most influences weather in the West Indies and Central America: W) northeast trade winds X) prevailing westerlies Y) southeast trade winds Z) polar westerlies,W) NORTHEAST TRADE WINDS
bonus,earth science,Multiple Choice,Which of the following is the soil horizon that contains a mixture of organic matter and highly altered mineral matter and is dark in color: W) O-horizon X) A-horizon Y) C-horizon Z) R-horizon,"X) A-HORIZON
2007 Regional Science Bowl – Page 6"
