type,subject,format,question,answer
toss-up,math,Short Answer,1) Math – Short Answer What is the square of the complex number 1 – 3i?,–8 – 6i
bonus,math,Multiple Choice,"1) Math – Multiple Choice A differentiable function f of x has domain the closed interval from –5 to 4 and range the closed interval from 3 to 12. If f prime of x is less than 0 for all x in the domain, what is f of –5? W) –5 X) 3 Y) 4 Z) 12","Z) 12
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,biology,Short Answer,"2) Biology – Short Answer What stain, performed with crystal violet dye, provides the most common way of classifying bacteria?",GRAM
bonus,biology,Short Answer,2) Biology – Short Answer What is the term for mobile genetic elements that can move from one location to another in a cell's genome?,TRANSPOSONS (ACCEPT: JUMPING GENE)
toss-up,,Multiple Choice,3) Earth and Space – Multiple Choice Which of the following surface reservoirs on Earth contains the most carbon? W) Soil X) Atmosphere Y) Vegetation Z) Ocean,Z) OCEAN
bonus,,Multiple Choice,3) Earth and Space – Multiple Choice Which of the following pairs of metamorphic rocks can both form from shale? W) Slate and phyllite [FILL-lite] X) Schist and marble Y) Quartzite and migmatite Z) Gneiss [nice] and anthracite,"W) SLATE AND PHYLLITE
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,physics,Short Answer,"4) Physics – Short Answer An astronaut weighs 500 newtons on planet X, which has a gravitational acceleration of 4 meters per second squared. If he travels to planet Y, which has a gravitational acceleration of 12 meters per second squared, then in newtons, what is his new weight?",1500
bonus,physics,Short Answer,"4) Physics – Short Answer Jan heats a kilogram of an unknown solid at a rate of 25 kilojoules per minute. The solid rises in temperature for 2 minutes, melts for a minute and a half, then rises in temperature for 6 minutes until Jan ends the experiment. In kilojoules per kilogram, what is the heat of fusion for this substance?","37.5 (ACCEPT: 37½, 75/2)"
toss-up,chemistry,Short Answer,5) Chemistry – Short Answer What intermolecular force is responsible for the secondary structure of proteins?,HYDROGEN BONDING
bonus,chemistry,Short Answer,5) Chemistry – Short Answer Rank the following three straight-chained alkanes in increasing order of their carbon-chain lengths: 1) Propane; 2) Butane; 3) Methane.,"3, 1, 2
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,"6) Energy – Short Answer Scientists at Oak Ridge National Lab are using the Titan supercomputer to model diesel engines. Unlike the Otto cycle, the Diesel cycle relies on what to ignite the fuel?",COMPRESSION
bonus,energy,Short Answer,6) Energy – Short Answer Chemists at SLAC National Lab have developed a copper catalyst with a large surface area that converts carbon dioxide to ethanol in an acidic environment. Identify all of the following three statements that are TRUE of this process: 1) Carbon dioxide is oxidized in this reaction; 2) This is an example of homogenous catalysis; 3) The reaction has many side products.,3
toss-up,physics,Multiple Choice,7) Physics – Multiple Choice A torque [tork] integrated over an angle describes which of the following quantities? W) Force X) Work Y) Angular momentum Z) Linear momentum,X) WORK
bonus,physics,Short Answer,7) Physics – Short Answer Consider a box containing an unknown number of charges with unknown magnitude. Identify all of the following three quantities that can be determined by performing a test with a known charge at a single point in space outside the box: 1) Number of charges inside the box; 2) Net charge inside the box; 3) Sign of each charge in the box.,"2
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,"8) Math – Short Answer If exactly 14 diagonals of a particular convex polygon contain the same vertex, how many total sides does the polygon have?",17
bonus,math,Short Answer,"8) Math – Short Answer Evaluate the summation, from n = 1 to infinity, of the fraction with numerator 40 and denominator 5n.",10
toss-up,,Multiple Choice,9) Earth and Space – Multiple Choice A waning gibbous [JIH-bus] moon describes which of the following parts of the lunar cycle? W) Third quarter moon to new moon X) Full moon to third quarter moon Y) First quarter moon to full moon Z) New moon to first quarter moon,X) FULL MOON TO THIRD QUARTER MOON
