type,subject,format,question,answer
toss-up,math,Short Answer,What is the inverse function of f(x) = x5 + 1 (read as: f of x equals x to the fifth plus 1)?,"f
−
1(x) = 5 x (cid:0)1"
bonus,math,Multiple Choice,"For a function, f(x) (read as: f of x), suppose that f is continuous on the closed interval [-1, 3], differentiable on the open interval (-1, 3), and that f(-1) = -2 and f(3) = 2. Which of the following is the value of the derivative for at least one value, c, on the open interval (-1, 3)? W) -1 X) 0 Y) 1 Z) 2","Y) 1
_______________________________________________________"
toss-up,chemistry,Short Answer,A solution is prepared by mixing 1 gram of ethanol with 100 grams of water to give a final volume of 101 milliliters. Calculate to the nearest integer the mass percent of ethanol in the solution.,1
bonus,chemistry,Short Answer,What is the conjugate acid in the reaction of sulfuric acid and sodium hydroxide?,"WATER (ACCEPT: H O)
2
Round 8 Page 1"
toss-up,,Multiple Choice,"3) EARTH AND SPACE Multiple Choice There is an igneous rock where all crystals are visible and the same size. Knowing only these two facts, what can be said about the cooling history of this rock? W) It cooled in stages, at different levels within the crust X) It cooled rapidly near the surface Y) It cooled on the surface and was quenched Z) It cooled slowly, at one time, at depth","Z) IT COOLED SLOWLY, AT ONE TIME, AT DEPTH"
bonus,,Short Answer,3) EARTH AND SPACE Short Answer What type of fault occurs if the hanging wall moves downward relative to the footwall?,"REVERSE
_______________________________________________________"
toss-up,chemistry,Multiple Choice,Which of the following is a covalent bond formed by orbitals overlapping end to end? W) Alpha X) Beta Y) Sigma Z) Pi,Y) SIGMA
bonus,chemistry,Short Answer,The radius of a gold atom is 144 picometers and its density is 19.32 grams per cubic centimeter. What kind of crystal structure does the unit cell of elemental gold have?,"FACE-CENTERED CUBIC (ACCEPT: FCC)
Round 8 Page 2"
toss-up,biology,Short Answer,"What is the technical term, rarely used by the general public, by which scientists designate the sense used by moths to find mates?",CHEMORECEPTION (DO NOT ACCEPT: SMELL)
bonus,biology,Multiple Choice,"The fat body of insects is an important organ for metabolism. Which of the following is NOT a function of the fat body? W) Metabolize fat, sugar, and protein X) Store fat, sugar, and protein Y) Filter water from the hemolymph (read as: HEE-moh-lim(p)f) Z) Synthesize hemolymph (read as: HEE-moh-lim(p)f) proteins","Y) FILTER WATER FROM THE HEMOLYMPH
_______________________________________________________"
toss-up,chemistry,Multiple Choice,The convex meniscus of mercury in a capillary tube indicates which of the following? W) Mercury is highly attracted to glass X) Mercury is polar Y) Mercury’s cohesion is greater than its adhesion Z) Mercury is soluble in water,Y) MERCURY’S COHESION IS GREATER THAN ITS ADHESION
bonus,chemistry,Short Answer,What compound is the reducing agent in the reaction: CH + 2O → (read as: yields) CO + 2H O. 4 2 2 2,"CH
4
Round 8 Page 3"
toss-up,math,Short Answer,x (cid:0) 2 7) MATH Short Answer If f(x) = (read as: f of x equals open parenthesis x minus 2 close x2 (cid:0) 4 parenthesis over open parenthesis x squared minus 4 close parenthesis) at which value or values of x does the graph of f(x) have a vertical asymptote?,-2
bonus,math,Short Answer,"Given: u(4) = -2 and u’(4) = 3 (read as: u of 4 equals negative 2, and u prime of 4 equals 3). If f(x) = xu(x) (read as: f of x equals x u of x), then evaluate f’(4) (read as: f prime of 4).","10
_______________________________________________________"
toss-up,physics,Multiple Choice,A 2 meter by 2 meter raft sinks 10 centimeters into the water. Which of the following approximates its weight in newtons? W) 5000 X) 3900 Y) 2500 Z) 1600,X) 3900
bonus,physics,Short Answer,"Suppose a bat emits sound waves at a frequency of 83 kilohertz while flying with a velocity of 9.0 meters per second as it chases a moth that flies with a velocity of 8.0 meters per second. Given the speed of sound as 343 meters per second, to the nearest integer, what frequency in kilohertz does the moth detect?","83
Round 8 Page 4"
toss-up,biology,Short Answer,What is the common name for a mechanical and electrically conductive link between two abutting neurons?,GAP JUNCTION (ACCEPT: NEXUS)
bonus,biology,Short Answer,How many horizontal layers are classically identified in the neocortex?,"6
_______________________________________________________"
toss-up,chemistry,Multiple Choice,Which of the following series of spectral line emissions of the hydrogen atom is in the visible spectrum? W) Paschen X) Balmer Y) Brackett Z) Lyman,X) BALMER
bonus,chemistry,Multiple Choice,"To check the accuracy of a graduated cylinder, a student repeatedly filled the cylinder to the 25-milliliter mark using water delivered from a buret and then read the volume delivered. The results of the trials in milliliters were as follows: 1) 26.54, 2) 26.51, 3) 26.60, 4) 26.49, and 5) 26.57. What type of error do these results primarily demonstrate? W) Systematic X) Random Y) Conceptual Z) Observational","W) SYSTEMATIC
Round 8 Page 5"
toss-up,physics,Short Answer,What is the family name for composite particles made from quarks?,HADRONS
bonus,physics,Short Answer,A 1.0-kilogram block is fastened to a spring whose spring constant is 16 newtons per meter. The block is pulled a distance of 11 centimeters from its equilibrium position at x = 0 on a frictionless surface and released from rest at t = 0. What is the period rounded to the nearest tenth of the oscillation?,"1.6
_______________________________________________________"
toss-up,,Multiple Choice,12) EARTH AND SPACE Multiple Choice Which of the following is NOT a discovery attributed to Edwin Hubble? W) The existence of galactic redshifts X) The redshift observed in light spectra from distant galaxies is proportional to their distance from Earth Y) The Andromeda nebula is a separate galaxy from the Milky Way Z) The existence of the asteroid 1373 Cincinnati,W) THE EXISTENCE OF GALACTIC REDSHIFTS
bonus,,Multiple Choice,12) EARTH AND SPACE Multiple Choice Which of the following is NOT consistent with the Cenozoic rock record? W) Flowering plants X) Foraminifera Y) Dominance of reptiles increases with time Z) Dominance of mammals increases with time,"Y) DOMINANCE OF REPTILES INCREASES WITH TIME
Round 8 Page 6"
toss-up,physics,Short Answer,"The potential voltage difference between two points is 100 volts. If a particle with a charge of 2 coulombs is transported from one of these points to the other, what is the magnitude of the work done in joules?",200
