type,subject,format,question,answer
toss-up,physics,Multiple Choice,Which of the following conditions is necessary and sufficient for an object in equilibrium? W) It is at rest X) It is moving with constant velocity Y) It is either moving with constant velocity or with constant acceleration Z) It is moving with constant acceleration,X) IT IS MOVING WITH CONSTANT VELOCITY
bonus,physics,Short Answer,"An object with a mass of 1 gram is whirled in a horizontal circle with a radius of 0.5 meters at a constant speed of 2 meters per second. What is the work done on the object, in joules, during one revolution?","0
_______________________________________________________"
toss-up,,Short Answer,"2) EARTH AND SPACE Short Answer What theory states that our solar system formed from the compression of a giant, swirling cloud of gas and dust?",NEBULAR
bonus,,Short Answer,"2) EARTH AND SPACE Short Answer By name or number, order the following three events from earliest to latest as two air masses of different densities develop into a mid-latitude cyclone: 1) cyclonic circulation, 2) wave development, 3) front development.","FRONT DEVELOPMENT, WAVE DEVELOPMENT, CYCLONIC CIRCULATION
(ACCEPT: 3, 2, 1)
Round 4 Page 1"
toss-up,physics,Multiple Choice,Which of the following will INCREASE the current from a solar panel? W) Using a lead acid cell in series with the solar cells X) Using a wet cell in series with the solar cells Y) Connecting the solar cells in series Z) Connecting the solar cells in parallel,Z) CONNECTING THE SOLAR CELLS IN PARALLEL
bonus,physics,Short Answer,"Given a DC circuit with a voltage source delivering 20 volts and a circuit resistance of 5 kiloohms, what is the value of the current in amperes?","0.004
_______________________________________________________"
toss-up,energy,Multiple Choice,"An RLC circuit must contain of all of the following, EXCEPT: W) A capacitor X) An inductor Y) A diode Z) A resistor",Y) A DIODE
bonus,energy,Short Answer,"By name or number, identify all of the following four factors that directly affect the amount of electricity generated from hydroelectric dams: 1) water temperature, 2) flow, 3) head, 4) time of day.","FLOW AND HEAD (ACCEPT: 2 AND 3)
Round 4 Page 2"
toss-up,math,Multiple Choice,"A line with the equation y = cx + c, where c is a non-zero real number, must intersect which of the following? W) Positive x-axis X) Positive y-axis Y) Negative x-axis Z) Negative y-axis",Y) NEGATIVE x-AXIS
bonus,math,Short Answer,"Find the slope of the line tangent to the parametric curve at the given point: x = et, and y = lnt (read as: y equals the natural log of t) at t = 1.","1/e
_______________________________________________________"
toss-up,,Short Answer,6) EARTH AND SPACE Short Answer Name the three layers of the Sun’s atmosphere.,"PHOTOSPHERE, CHROMOSPHERE, CORONA"
bonus,,Short Answer,"6) EARTH AND SPACE Short Answer The region around Sweden has undergone elastic strain due to pressure from ancient ice cover. What will happen to the elevation of this region over the next 10,000 years?","INCREASE
Round 4 Page 3"
toss-up,physics,Multiple Choice,"Neglecting the effect of air resistance, a stone dropped off of a 197-meter high building lands on the ground at which of the following approximate times in seconds? W) 3 X) 4 Y) 6 Z) 18",Y) 6
bonus,physics,Short Answer,A capacitor has a very large capacitance of 10 farads and is charged by placing a potential difference of 2 volts between its plates. How much energy in joules is stored in the capacitor?,"20
_______________________________________________________"
toss-up,,Multiple Choice,8) EARTH AND SPACE Multiple Choice Which of the following BEST describes how planets are distinguishable from stars in the night sky? W) Planets appear brighter than stars X) Planets appear redder than stars Y) Planets appear bigger than stars Z) Planets have periods of retrograde motion while stars do not,"Z) PLANETS HAVE PERIODS OF RETROGRADE MOTION WHILE STARS DO
NOT"
bonus,,Short Answer,8) EARTH AND SPACE Short Answer What unit equal to 0.01 millimeters thickness at STP is used to measure Earth’s atmospheric ozone layer?,"DOBSON UNIT
Round 4 Page 4"
toss-up,energy,Multiple Choice,"Which of the following statements is NOT true about the current electricity system in the United States? W) It is 99.7% reliable X) It consists of more than 9,000 electric generating units Y) It has more than 1,000,000 megawatts of generating capacity Z) It is largely decentralized",Z) IT IS LARGELY DECENTRALIZED
bonus,energy,Short Answer,"Taking the latent heat of fusion to be 80 calories per gram, how much energy, in kilocalories, does it take to bring 10 grams of ice at 0° Celsius to liquid water at 20° Celsius?","1
_______________________________________________________"
toss-up,biology,Short Answer,"Insect symbionts are represented in all EXCEPT which of the following three groups: 1) bacteria, 2) fungi, or 3) animals?",ANIMALS (ACCEPT: 3)
bonus,biology,Short Answer,"By name or number, list all of the following four pollinators that are members of the order Hymenoptera (read as: hy-meh-NOHP-teh-rah): 1) ruby-throated hummingbird, 2) monarch butterfly, 3) green bottle fly, 4) honey bee.","HONEY BEE (ACCEPT: 4)
Round 4 Page 5"
toss-up,math,Short Answer,What is the numerical value of 1152?,13225
bonus,math,Short Answer,What is the coefficient corresponding to x3 in the binomial expansion of (x + 2)5 (read as: the quantity x plus 2 to the power of 5)?,"40
_______________________________________________________"
toss-up,biology,Multiple Choice,Which of the following is NOT synthesized by the human liver? W) Hemoglobin X) Fibrinogen (read as; fy-BRI-noh-jehn) Y) Albumin Z) Lipoprotein,W) HEMOGLOBIN
bonus,biology,Short Answer,"By name or number, give all of the following five choices that are components of bile in vertebrates: 1) water, 2) cholesterol, 3) lymph, 4) bilirubin, 5) amylase.","WATER, CHOLESTEROL, BILIRUBIN (ACCEPT: 1, 2, AND 4)
Round 4 Page 6"
toss-up,energy,Short Answer,"As the grade of coal increases, how do the concentrations of carbon and sulfur change, respectively?",CARBON INCREASES AND SULFUR DECREASES
bonus,energy,Short Answer,"If burned over the course of a minute, providing your answer to the nearest ten, about how many kilowatts of power would a pound of human fat release?","240 (ACCEPT: 250, 260, 270, 280, 290)
_______________________________________________________"
toss-up,physics,Short Answer,What is the phrase that refers to the energy required by an incident photon to cause the photoelectric effect?,WORK FUNCTION
bonus,physics,Short Answer,"By name or number, identify all of the following four household items that make use of the Bernoulli principle: 1) refrigerator, 2) can opener, 3) washing machine, 4) vacuum cleaner.","VACUUM CLEANER (ACCEPT: 4)
Round 4 Page 7"
toss-up,biology,Short Answer,Name the plant tissue beneath the epidermis that makes up the cells that surround a stoma.,PARENCHYMA
