type,subject,format,question,answer
bonus,chemistry,Multiple Choice,1. CHEMISTRY Multiple Choice Which of the following group 6A hydrides has the highest boiling point? W) H O 2 X) H S 2 Y) H Se 2 Z) H Te 2,"W) H O
2
TOSS UP
2. BIOLOGY Multiple Choice Which of the following pairs of baleen whales lacks a dorsal fin?
W) Northern right whale and bowhead whale
X) Narwhal and blue whale
Y) Fin whale and sei [SAY] whale
Z) Bryde’s whale and minke whale
ANSWER: W) NORTHERN RIGHT WHALE AND BOWHEAD WHALE"
bonus,biology,Short Answer,"2. BIOLOGY Short Answer In Sanger and cycle DNA sequencing, the absence of a hydroxyl on which position of the ribose ring in a dideoxyribonucleoside [dy-dee-ok-si-ry-boh-NOO- klee-uh-syd] triphosphate, or ddNTP, is responsible for nucleotide chain termination?","3 PRIME (ACCEPT: THREE OR 3RD)
Round Robin ~ Round 2 Page 1
TOSS UP
3. ENERGY Multiple Choice Which of the following substances contains the most Btus per
pound?
W) Peat
X) Gasoline
Y) Hydrogen
Z) Charcoal
ANSWER: Y) HYDROGEN"
bonus,energy,Multiple Choice,"3. ENERGY Multiple Choice Approximately how much power in watts is consumed by, respectively, five 120 volt incandescent light bulbs consuming 0.5 amperes each compared to five compact fluorescent lamp bulbs producing the equivalent lumens? W) 120 versus 25 X) 300 versus 65 Y) 330 versus 220 Z) 600 versus 300","X) 300 VERSUS 65
TOSS UP
4. EARTH AND SPACE Multiple Choice Which of the following types of sand dunes form
under winds that blow in one direction?
W) Barchan [bahr-KAHN]
X) Linear
Y) Star
Z) Parabolic
ANSWER: W) BARCHAN"
bonus,,Multiple Choice,4. EARTH AND SPACE Multiple Choice Which of the following is the most direct proof that the Earth is NOT stationary? W) The existence of ocean tides X) Kepler's third law Y) The increased accuracy of the Copernican model over the Ptolemaic model Z) The Coriolis force,"Z) THE CORIOLIS FORCE
Round Robin ~ Round 2 Page 2
TOSS UP
5. PHYSICS Multiple Choice A plane wave of red light goes from the air into a glass block.
Which of the following describes how the wave changes?
W) The frequency decreases
X) The speed increases
Y) The wavelength decreases
Z) The amplitude increases
ANSWER: Y) THE WAVELENGTH DECREASES"
bonus,physics,Short Answer,"5. PHYSICS Short Answer Imagine a uniform meter stick supported on a knife edge at the 40 centimeter mark. The right end of the meter stick with the 100 centimeter mark swings down. To balance the meter stick, at what centimeter mark should you hang an object with mass equal to that of the meter stick?","30
TOSS UP
6. MATH Short Answer If one exterior angle of a regular convex polygon measures , how
many sides does the polygon have?
40°
ANSWER:
9"
bonus,math,Short Answer,"6. MATH Short Answer A circle is inscribed within a square. The diagonal of the square has a length of 6 centimeters. Providing your answer in simplest form, what is the circumference of the circle in centimeters?","3𝜋𝜋√2
Round Robin ~ Round 2 Page 3
TOSS UP
7. CHEMISTRY Multiple Choice Blue light has a frequency of about 7.0 x 1014 hertz. Which of
the following is the wavelength of this light in centimeters?
W) 4.3 x 10-5
X) 8.4 x 10-8
Y) 3.1 x 10-12
Z) 2.0 x 10-24
ANSWER: W) 4.3 x 10-5"
bonus,chemistry,Short Answer,"7. CHEMISTRY Short Answer Your teacher wants you to use the Clausius-Clapeyron equation to determine the vapor pressure at a particular temperature. Assuming you know the value for the gas constant, what other two values must you be given?","TEMPERATURE CHANGE AND ENTHALPY OF VAPORIZATION (ACCEPT: HEAT
OF VAPORIZATION)
TOSS UP
8. BIOLOGY Multiple Choice Which of the following is NOT an even-toed ungulate [UHNG-
gyuh-lit]?
W) Hippopotamus
X) Rhinoceros
Y) Kudu
Z) Klipspringer
ANSWER: X) RHINOCEROS"
bonus,biology,Short Answer,"8. BIOLOGY Short Answer Name all of the following four trees that have an alternate branching pattern rather than an opposite pattern: 1) box elder, 2) Paulownia, 3) white oak, 4) ash.","3 (ACCEPT: WHITE OAK)
Round Robin ~ Round 2 Page 4
TOSS UP
9. ENERGY Short Answer If a water heater uses 20 cubic feet of natural gas in 30 minutes and
natural gas contains 1,000 Btus [B-T-USE] per cubic foot, what is the hourly input rating of the
water heater in Btu per hour?
ANSWER: 40,000"
bonus,energy,Short Answer,9. ENERGY Short Answer What physical property is used to rate building insulation?,"THERMAL RESISTANCE (ACCEPT: R-VALUE, RESISTANCE; DO NOT ACCEPT:
HEAT RESISTANCE)
TOSS UP
10. EARTH AND SPACE Multiple Choice The end of which of the following time periods
marked the greatest mass extinction event in Earth’s history?
W) Precambrian
X) Cambrian
Y) Permian
Z) Cretaceous [kri-TAY-shuhs]
ANSWER: Y) PERMIAN"
bonus,,Multiple Choice,10. EARTH AND SPACE Multiple Choice Which of the following does NOT accurately describe the Hawaiian islands? W) They were formed by undersea volcanoes X) They are mostly made up of basalts Y) They are associated with a mid-Pacific convergent plate boundary Z) They are the projecting tops of the tallest mountain range in the world,"Y) THEY ARE ASSOCIATED WITH A MID-PACIFIC CONVERGENT PLATE
BOUNDARY
Round Robin ~ Round 2 Page 5
TOSS UP
11. PHYSICS Multiple Choice Two identical positively charged spheres are separated by a
distance much bigger than their radii so that electric and gravitational forces are balanced. If the
mass of each object is multiplied by 4, by what factor should the charge on each be multiplied
so that the two forces still balance?
W) 2
X) 4
Y) 8
Z) 16
ANSWER: X) 4"
bonus,physics,Short Answer,"11. PHYSICS Short Answer A car is travelling at a constant 30 meters per second for 10 seconds. The car then undergoes constant deceleration for 5 seconds, coming to a stop. How far in meters did the car travel during the entire 15 second time interval?","375
TOSS UP
12. MATH Multiple Choice The values of a, b, c, and d are and , although not
necessarily in that order. What is the maximum value of c a – d [c times a to the power of b
minus d]? 0 b , 1, 2, 3
∙
W)
X)
Y) 6
Z) 8
9
AN1S2WER: Y)
9"
bonus,math,Short Answer,12. MATH Short Answer Find the coordinates of all points of intersection between the graphs of y x x and [y equals the absolute value of the quantity 3x plus 3]. 2 ANS =W -E R+: NONE 𝑦𝑦 = |3𝑥𝑥+3| Round Robin ~ Round 2 Page 6 TOSS UP 13. CHEMISTRY Multiple Choice Which of the following statements is NOT true? W) Liquids with weak intermolecular forces tend to have high surface tension X) Liquids with strong intermolecular forces tend to have high surface tension Y) Liquids with weak intermolecular forces tend to have high vapor pressures Z) Cohesion forces refer to intermolecular attractions between like molecules,"W) LIQUIDS WITH WEAK INTERMOLECULAR FORCES TEND TO HAVE HIGH
SURFACE TENSION"
bonus,chemistry,Multiple Choice,13. CHEMISTRY Multiple Choice Which of the following gases will exhibit the greatest deviation from ideal gas behavior? W) Carbon dioxide X) Methane Y) Sulfur dioxide Z) Molecular oxygen,"Y) SULFUR DIOXIDE
TOSS UP
14. BIOLOGY Multiple Choice The Ampullae [am-PUHL-ee] of Lorenzini are used to sense
which of the following stimuli?
W) Mechanical vibrations
X) Chemicals
Y) Electrical currents
Z) Light
ANSWER: Y) ELECTRICAL CURRENTS"
bonus,biology,Short Answer,"14. BIOLOGY Short Answer Name all of the following four organisms that are members of the phylum Platyhelminthes [FY-luhm plat-ee-hel-MIN-theez]: 1) tapeworms, 2) nematodes, 3) blood flukes, 4) sea slugs.","1, 3 (ACCEPT: TAPEWORMS, BLOOD FLUKES)
Round Robin ~ Round 2 Page 7
TOSS UP
15. EARTH AND SPACE Multiple Choice Which of the following types of lava is the sole lava
erupted on the island of Hawaii?
W) Komatiite [koh-MAHD-ee-YT]
X) Basalt
Y) Andesite [AN-duh-syt]
Z) Rhyolite [RAY-uh-lyt]
ANSWER: X) BASALT"
bonus,,Multiple Choice,15. EARTH AND SPACE Multiple Choice Which of the following planets has the longest day? W) Mercury X) Venus Y) Mars Z) Jupiter,"X) VENUS
TOSS UP
16. PHYSICS Multiple Choice Which of the following is the effect on the resistance of a wire if
it is replaced with an equally thick wire of a material of higher resistivity and longer length?
W) The effect cannot be predicted without knowing the actual value of the resistivities of the
materials
X) Resistance increases
Y) Resistance decreases
Z) Resistance is unchanged
ANSWER: X) RESISTANCE INCREASES"
bonus,physics,Short Answer,"16. PHYSICS Short Answer A 2 henry inductance coil is connected in series to a 100 ohm resistor to create an LR circuit. If this circuit is connected to a 12 volt power supply, what are, respectively, the initial current in the circuit and the final current in the circuit after it has been connected for a long time, both measured in amperes?","INITIAL CURRENT = 0, FINAL CURRENT = 0.12
Round Robin ~ Round 2 Page 8
TOSS UP
17. MATH Short Answer What are the coordinates of the vertex of the parabola with equation
y x x [y equals 8 plus open parenthesis x plus 5 close parenthesis times the
quantity x minus 3]?
= 8 + ( + 5)( - 3)
ANSWER:
(-1, -8)"
bonus,math,Short Answer,17. MATH Short Answer Determine the coordinates of each inflection point for the graph of 1 3 2 𝑓𝑓(𝑥𝑥) = 3𝑥𝑥 −𝑥𝑥 −35𝑥𝑥 2,"( , ) [ACCEPT: (1, -35 )]
3
−107
1 3
TOSS UP
18. CHEMISTRY Multiple Choice Assuming each of the following is in an aqueous solution
with a 1 molar concentration, which of the following solutions would have the highest
conductivity at room temperature?
W) Potassium hydroxide
X) Aluminum nitrate
Y) Magnesium chloride
Z) Iron (II) sulfate
ANSWER: X) ALUMINUM NITRATE"
bonus,chemistry,Multiple Choice,18. CHEMISTRY Multiple Choice The pH of aqueous hydrogen cyanide most accurately represents which of the following? W) The negative base-10 logarithm of the initial molar hydronium ion concentration X) The negative base-10 logarithm of the equilibrium molar hydronium ion concentration Y) The negative base-10 logarithm of the initial molar hydrogen cyanide concentration Z) The negative base-10 logarithm of the equilibrium molar hydrogen cyanide concentration,"X) THE NEGATIVE BASE-10 LOGARITHM OF THE EQUILIBRIUM MOLAR
HYDRONIUM ION CONCENTRATION
Round Robin ~ Round 2 Page 9
TOSS UP
19. BIOLOGY Multiple Choice Hatchetfish control their luminescence using which of the
following specialized organs?
W) Photophores
X) Chromophores
Y) Siphonophores [SY-fuh-nuh-fohrs]
Z) Sipunculids [sy-PUHNG-kyuh-lids]
ANSWER: W) PHOTOPHORES"
bonus,biology,Multiple Choice,19. BIOLOGY Multiple Choice Which of the following is the genus for the primary insect vector for African sleeping sickness? W) Cimex X) Musca Y) Glossina Z) Culex,"Y) GLOSSINA
TOSS UP
20. ENERGY Multiple Choice Which of the following states has the highest potential for wind
energy generation?
W) Illinois
X) Arkansas
Y) Michigan
Z) North Dakota
ANSWER: Z) NORTH DAKOTA"
