type,subject,format,question,answer
toss-up,physics,Short Answer,A monochromatic light source incident on a diffraction grating with slit separation d produces a pattern on the wall. What diffraction slit spacing would be required to produce the same pattern on the wall using light of twice the wavelength?,2d
bonus,physics,Short Answer,"A 10-gram bullet is shot with an initial velocity of 600 meters per second into a 2-kilogram ballistic pendulum and emerges from the pendulum with a speed of 200 meters per second. Given 10 meters per second squared as g, to what height in meters does the pendulum rise?","0.2
_______________________________________________________"
toss-up,,Multiple Choice,"2) EARTH AND SPACE Multiple Choice As described by the NOAA space weather scale, which of the following is NOT an effect of a weak geomagnetic storm? W) Power grid fluctuations X) Minor impact on satellite operations Y) Auroras visible at a 45° geomagnetic latitude Z) Migration pathways that may require animals to travel further than normal",Y) AURORAS VISIBLE AT A 45° GEOMAGNETIC LATITUDE
bonus,,Short Answer,2) EARTH AND SPACE Short Answer What two substances that provide evidence of the Mediterranean’s periods of shallow marine and arid desert environments compose the core material of a reflecting layer 325 to 650 feet beneath the Mediterranean Sea bottom?,"EVAPORITE (ACCEPT: ANHYDRITES OR CALCIUM SULFATE) AND
STROMATOLITES
Round 12 Page 1"
toss-up,physics,Multiple Choice,"Consider charges +Q and +4Q, separated by 3 meters. At which of the following points on a line between the two charges can a charge –Q be placed so that it will experience no electrostatic force? W) 1 meter from +Q X) 1 meter from +4Q Y) 0.6 meter from +Q Z) 0.6 meter from +4Q",W) 1 METER FROM +Q
bonus,physics,Short Answer,"A bucket is filled with water to a depth of 20 centimeters. A layer of oil 30 centimeters thick with a specific gravity of 0.7 is poured on top of the water. Given that 1 atmosphere is 1.01 × 105 pascals and providing your answer in scientific notation with three significant digits, what is the absolute pressure, in pascals, at the bottom of the container?","1.05 × 105
_______________________________________________________"
toss-up,energy,Multiple Choice,"A combination of technologies called the Sahara Forest Project with the potential to produce commercial quantities of food and energy crops, fresh water, and electricity in the desert, has all of the following components, EXCEPT: W) Seawater greenhouse X) Condensation collectors Y) Cultivation of switchgrass Z) Steam turbine generator",Y) CULTIVATION OF SWITCHGRASS
bonus,energy,Short Answer,"In electron energy-loss spectroscopy, at energies equal to the inner-shell binding energies, typically in hundreds to thousands of electron volts, inner-shell excitation of electrons gives rise to what kind of edges?","IONIZATION (ACCEPT: ABSORPTION)
Round 12 Page 2"
toss-up,math,Short Answer,"How many permutations consisting of four letters each, starting with the letter E, can be formed from the letters in the word ENERGY?",60
bonus,math,Short Answer,xsin(3x) 5) MATH Short Answer What is the limit as x goes to 0 of (read as: the quantity x 1 - cos(x) sine of 3x over the quantity 1 minus cosine of x)?,"6
_______________________________________________________"
toss-up,,Short Answer,6) EARTH AND SPACE Short Answer What is the name of the clockwise current which brings warm Caribbean waters into the Gulf of Mexico before joining the Gulf Stream?,LOOP
bonus,,Short Answer,"6) EARTH AND SPACE Short Answer By name or number, order the following five stars from most to least bright based on apparent visual magnitude as seen from Earth: 1) Vega, 2) Procyon (read as: PROH-see-ohn), 3) Achernar (read as: AH-kehr-nahr), 4) Canopus (read as: kah-NŌE-puhs), 5) Sirius (read as: SIR-ee-uhs).","SIRIUS, CANOPUS, VEGA, PROCYON, ACHERNAR (ACCEPT: 5, 4, 1, 2, 3)
Round 12 Page 3"
toss-up,physics,Multiple Choice,A common device used to study extreme forms of matter is the magneto-optical trap. Which of the following explains how the trap works? W) It heats magnetically contained matter with lasers X) It oscillates matter through dipole interactions Y) It uses both magnetic fields and lasers to cool matter Z) It magnetically accelerates matter through optical lens systems,Y) IT USES BOTH MAGNETIC FIELDS AND LASERS TO COOL MATTER
bonus,physics,Short Answer,"In an experiment, 200 grams of aluminum with a specific heat of 0.91 joules per kilogram Kelvin at 100° Celsius is mixed with 50.0 grams of water with a specific heat of 4.2 joules per kilogram Kelvin at 20° Celsius. The mixture is thermally isolated. What is the equilibrium temperature in degrees Celsius?","57°
_______________________________________________________"
toss-up,,Short Answer,8) EARTH AND SPACE Short Answer What is the name of the vesicular basaltic lava that sinks in water?,SCORIA
