type,subject,format,question,answer
bonus,,Short Answer,"1. EARTH AND SPACE Short Answer Arrange the following four layers of the Earth in order from the Earth’s surface to its center: 1) liquid core, 2) lithosphere, 3) asthenosphere, 4) solid core.","2, 3, 1, 4 (ACCEPT: LITHOSPHERE, ASTHENOSPHERE, LIQUID CORE, SOLID
CORE)
TOSS UP
2. BIOLOGY Multiple Choice A scorpionfish demonstrates which of the following types of
coloration?
W) Cryptic
X) Disruptive
Y) Aposematic
Z) Countershading
ANSWER: W) CRYPTIC"
bonus,biology,Short Answer,2. BIOLOGY Short Answer What is the term for the specialized communal fishing behavior used by humpback whales?,"BUBBLE NETTING (BUBBLE NET FEEDING, BUBBLE CLOUDS, LUNGE
FEEDING, TRUMPET CALLING)
Round Robin ~ Round 8 Page 1
TOSS UP
3. MATH Short Answer If y -x , what is the slope of the tangent line to the graph at x ?
2
ANSWER: -8 = = 4"
bonus,math,Short Answer,3. MATH Short Answer Evaluate [the summation from k equals 1 to 30 of the quantity 3 k plus 2]. 30 ∑𝑘𝑘=1(3𝑘𝑘+2),"1455
TOSS UP
4. PHYSICS Short Answer Given the speed of light in a vacuum to be 3 x 108 meters per
second, what is the index of refraction for a medium where the speed of light is found to be 2.5 x
108 meters per second?
ANSWER: 1.2"
bonus,physics,Short Answer,"4. PHYSICS Short Answer What is the exact speed in meters per second of an object with a mass of 2 kilograms, executing simple harmonic motion with amplitude of 2 meters, at the end of a spring with a spring constant of 8 newtons per meter, when the displacement of the object is half the maximum amplitude?","2√3
Round Robin ~ Round 8 Page 2
TOSS UP
5. ENERGY Multiple Choice Which of the following sectors consumes the most energy in the
US?
W) Motor vehicle transportation
X) Commercial and residential buildings
Y) Air travel
Z) Electronics
ANSWER: X) COMMERCIAL AND RESIDENTIAL BUILDINGS"
bonus,energy,Multiple Choice,"5. ENERGY Multiple Choice On a per gram basis, why do carbohydrates contain less energy than hydrocarbons? W) Carbohydrates contain oxygen and hydrocarbons do not X) Carbohydrates cannot be burned and hydrocarbons can Y) Hydrocarbons come from fossilized animals and plants but carbohydrates come from live or recently dead plants and animals Z) Carbohydrates can be eaten but hydrocarbons cannot","W) CARBOHYDRATES CONTAIN OXYGEN AND HYDROCARBONS DO NOT
TOSS UP
6. CHEMISTRY Multiple Choice Two reactants are mixed in a bomb calorimeter and a reaction
occurs. The temperature of the calorimeter rises. Which of the following statements regarding
the reaction is true?
W) The reaction is absorbing thermal energy
X) The reaction is endothermic
Y) The reaction is releasing thermal energy
Z) The reaction energy is equal to q∆T
ANSWER: Y) THE REACTION IS RELEASING THERMAL ENERGY"
bonus,chemistry,Short Answer,"6. CHEMISTRY Short Answer Determine the entropy change, including sign, in joules per mole Kelvin when one mole of nitrogen gas is added to hydrogen gas to form ammonia gas. Assume standard molar entropies to be 192 for dinitrogen, 131 for dihydrogen, and 193 for ammonia.","-199
Round Robin ~ Round 8 Page 3
TOSS UP
7. EARTH AND SPACE Multiple Choice Which of the following is NOT useful for dating
extremely old fossils?
W) Potassium-40
X) Carbon-14
Y) Uranium-238
Z) Thorium-232
ANSWER: X) CARBON-14"
bonus,,Short Answer,7. EARTH AND SPACE Short Answer What is the wavelength in kilometers of a shallow-water wave with a speed of 600 kilometers per hour and period of 15 minutes?,"150
TOSS UP
8. BIOLOGY Multiple Choice The demographic transition model helps explain why which of the
following occurs?
W) Birth rates fall before death rates
X) Death rates fall before birth rates
Y) Development requires large populations
Z) Industrialization begets large populations
ANSWER: X) DEATH RATES FALL BEFORE BIRTH RATES"
bonus,biology,Multiple Choice,"8. BIOLOGY Multiple Choice Which of these alternative breeding strategies results in an individual indirectly passing on its genes? W) Young male birds display in a lek with an older, unrelated male who takes all the copulations X) Young female birds sneak an egg into another female’s nest to be incubated Y) Non-breeding helpers are unrelated to offspring of a breeding pair Z) Non-breeding helpers are full siblings to offspring of a breeding pair","Z) NON-BREEDING HELPERS ARE FULL SIBLINGS TO OFFSPRING OF A
BREEDING PAIR
Round Robin ~ Round 8 Page 4
TOSS UP
9. MATH Multiple Choice If x [the absolute value of x greater than negative 5] is
graphed on a number line, which of the following could describe its graph?
| |>-5
W) Segment
X) Ray
Y) Line
Z) Two opposite rays, not sharing a common endpoint
ANSWER: Y) LINE"
bonus,math,Short Answer,9. MATH Short Answer Find the x-coordinates of every point on the graph of f x x x x where the tangent line is horizontal. 3 2 A(N)S =W E R+: 3 A –N 9D + 3 1 -3 TOSS UP 10. PHYSICS Multiple Choice An object is placed 20 centimeters in front of a positive lens with a focal length of 10 centimeters. Which of the following kinds of image will be produced behind this lens? W) Upright and virtual X) Upright and real Y) Inverted and virtual Z) Inverted and real,Z) INVERTED AND REAL
bonus,physics,Short Answer,"10. PHYSICS Short Answer A person weighs 300 pounds on a scale. Given g as 9.8 meters per second squared, find the person’s weight in newtons to two significant figures.","1300
Round Robin ~ Round 8 Page 5
TOSS UP
11. CHEMISTRY Multiple Choice If equal quantities by mass of gases A, B, C, and D are
added to a closed container of fixed volume, and the total pressure in the container is 760 torr,
the partial pressure of A is which of the following?
W) 25% of the total pressure
X) Dependent on the size of the container
Y) Directly related to its mole fraction
Z) A function of its molar mass
ANSWER: Y) DIRECTLY RELATED TO ITS MOLE FRACTION"
bonus,chemistry,Short Answer,"11. CHEMISTRY Short Answer At 25° Celsius, the standard reduction potential of Fe3+ to Fe2+ is +0.77 volts. Providing your answer to two significant figures, what is the potential, in volts, of a platinum electrode dipped in a solution of 0.0005 molar Fe3+ and 0.05 molar Fe2+?","0.89
TOSS UP
12. BIOLOGY Short Answer What compound is the final nitrogenous waste product that is
excreted by humans?
ANSWER: UREA"
bonus,biology,Multiple Choice,"12. BIOLOGY Multiple Choice Hundreds of fossils of an extinct quail species are found on a small Pacific island. The fossil femur is longer than that of modern quails from the mainland, and the fossil ulna is shorter. Why might these differences exist between the extinct quail and modern specimens? W) The extinct quail was adapted to jumping higher because of a higher concentration of predators on islands X) The extinct quail was likely evolving flightlessness Y) The extinct quail fossils were from juveniles Z) The extinct quail was a hybrid between the mainland species and another, so far undiscovered, island species","X) THE EXTINCT QUAIL WAS LIKELY EVOLVING FLIGHTLESSNESS
Round Robin ~ Round 8 Page 6
TOSS UP
13. EARTH AND SPACE Multiple Choice Scientific investigations in the Gulf of Mexico have
documented a large area of the Louisiana continental shelf with seasonally-depleted oxygen
levels. Which of the following is the term for this oxygen depletion?
W) Barotrauma
X) Hypoxia
Y) Hyperbaria
Z) The bends
ANSWER: X) HYPOXIA"
bonus,,Short Answer,"13. EARTH AND SPACE Short Answer What is the term for the apparent contradiction between an eternal, infinite universe and the observation that the night sky is dark?","OLBER'S PARADOX
TOSS UP
14. BIOLOGY Short Answer In the evolutionary tree of life, wings in birds and butterflies are an
example of what kind of structures?
ANSWER: HOMOPLASIES (ACCEPT: ANALOGOUS STRUCTURES; HOMOPLASTIC
STRUCTURES)"
bonus,biology,Multiple Choice,"14. BIOLOGY Multiple Choice Why is treatment of carbon monoxide poisoning with an oxygen mask NOT effective? W) Carbon monoxide binds up oxygen X) Carbon monoxide has a higher affinity for hemoglobin than oxygen does Y) The pressure at which the oxygen is delivered is approximately 25% higher than the effective pressure Z) Carbon monoxide changes the binding site of hemoglobin, making it unsuitable for binding oxygen","X) CARBON MONOXIDE HAS A HIGHER AFFINITY FOR HEMOGLOBIN THAN
OXYGEN DOES
Round Robin ~ Round 8 Page 7
TOSS UP
15. CHEMISTRY Multiple Choice A nimble minded Science Bowl contestant makes a
concentrated solution of sodium hydroxide which she adds to a solution of potassium
permanganate. The permanganate ion reacts to form which of the following?
W) MnO 2-
4
X) MnO -
4
Y) Mn O
2 3
Z) Mn2+
ANSWER: W) MnO 2-
4"
bonus,chemistry,Short Answer,"15. CHEMISTRY Short Answer Transition metals can have iodine atoms as ligands; however, the iodine atom is quite large in size. Based on this information, what is the point group of titanium (IV) iodide?","T (ACCEPT: TETRAHEDRAL)
d
TOSS UP
16. MATH Short Answer An acute angle has a measure of a b. What is the difference
between the degree measures of the supplement and complement of that angle?
2 + 2
ANSWER:
90"
bonus,math,Short Answer,16. MATH Short Answer What is the sum of the first terms of the arithmetic sequence with second term and fourth term 50,"35 55?
13,500
Round Robin ~ Round 8 Page 8
TOSS UP
17. PHYSICS Multiple Choice A small marble is placed at the bottom of a hemispherical bowl.
When the marble is displaced a small amount from the center, it oscillates about the bottom of
the bowl. Which of the following changes would increase the period of oscillation of the marble?
W) Using a marble of larger mass
X) Using a marble of smaller mass
Y) Using a bowl of larger radius
Z) Using a bowl of smaller radius
ANSWER: Y) USING A BOWL OF LARGER RADIUS"
bonus,physics,Multiple Choice,17. PHYSICS Multiple Choice A current of 100 milliamperes flows through an ohmic circuit element across which the potential drop is 5 volts. Which of the following is the resistance in ohms? W) 50 X) 20 Y) 0.2 Z) 0.05,"W) 50
TOSS UP
18. ENERGY Multiple Choice On average, which of the following consumes the most electricity
in an office building?
W) Space heating
X) Air cooling
Y) Lighting
Z) Office equipment
ANSWER: Y) LIGHTING"
bonus,energy,Multiple Choice,18. ENERGY Multiple Choice Which of the following is NOT a way of storing energy? W) Pumping water into a water tower on a hill X) Dynamic braking on a diesel-electric locomotive Y) Formation of NADPH in photosynthesis Z) Storing molten salt,"X) DYNAMIC BRAKING ON A DIESEL-ELECTRIC LOCOMOTIVE
Round Robin ~ Round 8 Page 9
TOSS UP
19. CHEMISTRY Multiple Choice Consider the following reaction:
Cl + 2NaOH → NaOCl +H O + NaCl . Which of the following is true?
2 (g) (aq) (aq) 2 (l) (aq)
W) This is a disproportionation reaction
X) The oxidation number of the oxygen changes
Y) The oxidation number of the sodium changes
Z) The oxidation number of the chlorine remains constant
ANSWER: W) THIS IS A DISPROPORTIONATION REACTION
[(G) = GAS; (AQ) = AQUEOUS; (L) = LIQUID]"
