type,subject,format,question,answer
toss-up,math,Short Answer,x y 1) MATH Short Answer What is the minimum possible value of 2 + 2 (read as: 2 to the power of x plus 2 to the power of y) if x + y = 2?,4
bonus,math,Short Answer,1 1 1 1 1) MATH Short Answer What is the value of the infinite sum: - + - +… (read as: 1 over 2 2! 3! 4! 5! factorial minus 1 over 3 factorial plus 1 over 4 factorial minus 1 over 5 factorial and so on)? 1,"e
_______________________________________________________"
toss-up,biology,Multiple Choice,Which of the following is a laboratory technique used to generate many copies of a gene? W) Polymerase (read as: poh-LIM-eh-rayz) chain reaction X) Gel electrophoresis (read as: i-lehk-trōe-foh-REE-sis) Y) Southern blot Z) Titration,W) POLYMERASE CHAIN REACTION
bonus,biology,Short Answer,"By name or number, identify all of the following four organisms that are endangered pinnipeds: 1) bearded seal, 2) Hawaiian monk seal, 3) ringed seal, 4) spotted seal.","HAWAIIAN MONK SEAL (ACCEPT: 2)
Round 10 Page 1"
toss-up,energy,Multiple Choice,"Biodiesel generally outperforms regular petro diesel in all of the following categories, EXCEPT: W) Cetane rating X) Flash point Y) Calorific value Z) Sulfur content",Y) CALORIFIC VALUE
bonus,energy,Short Answer,"The backup controls for a solar cell operate on a 4-volt lithium ion battery with resistance of 20 ohms and an initial capacity of 3000 milliampere hours. In watt hours, what is the electrical energy required to recharge the battery?","12
_______________________________________________________"
toss-up,physics,Short Answer,"A 4-kilogram ball is tossed at 5 meters per second. How fast, in meters per second, must a 1-kilogram ball be thrown to have the same kinetic energy?",10
bonus,physics,Short Answer,"A jogger is moving at a speed of 4 meters per second. When chased by a big dog, she accelerates at 1 meter per second squared for 4 seconds. How far has she travelled in meters since she started accelerating?","24
Round 10 Page 2"
toss-up,biology,Short Answer,"What is the term for the pastelike substance, which is also the least soluble nitrogenous waste, excreted by birds, reptiles, and insects?",URIC ACID
bonus,biology,Short Answer,What is the scientific name of the only member of the family Eschrichtiidae (read as: esh-rik-TIE-uh-dee)?,"ESCHRICHTIUS ROBUSTUS
_______________________________________________________"
toss-up,math,Short Answer,Consider the polar equation r = sin(2θ) (read as: r equals the sine of 2 theta). Its graph looks like a rose. How many petals would there be on the “rose” in this graph?,4
bonus,math,Short Answer,"Assuming that the probability of A is 0.3, the probability of B is 0.3, and the probability of A union B is 0.5, providing your answers as decimals to the nearest tenth, what are the probabilities, respectively, of A intersection B and the complement of the quantity A union B?","0.1 AND 0.5
Round 10 Page 3"
toss-up,chemistry,Multiple Choice,In which of the following compounds does nitrogen have an unpaired electron? W) Ammonia X) Nitrous oxide Y) Sodium nitrate Z) Nitric oxide,Z) NITRIC OXIDE
bonus,chemistry,Short Answer,"A saturated solution of calcium hydroxide is titrated with aqueous hydrochloric acid. Using proper chemical nomenclature and indicating the state of each substance, such as solid, liquid, aqueous, or gas, what is the balanced molecular equation for this reaction?","Ca(OH)
2(aq)
+ 2HCl
(aq)
→ CaCl
2(aq)
+ 2H
2
O(l)
[NOTE: AQ = AQUEOUS; L = LIQUID]
_______________________________________________________"
toss-up,,Multiple Choice,8) EARTH AND SPACE Multiple Choice Which of the following times of day BEST corresponds to a decrease in ionization of particles in the ionosphere? W) Morning X) Noon Y) Afternoon Z) Night,Z) NIGHT
bonus,,Short Answer,8) EARTH AND SPACE Short Answer Earth has a prograde rotation. Which two planets in our Solar System exhibit retrograde rotation?,"VENUS AND URANUS
Round 10 Page 4"
toss-up,chemistry,Multiple Choice,Which of the following is NOT a colligative property of a solution? W) Freezing point depression X) Osmotic pressure Y) Percent by mass Z) Boiling point elevation,Y) PERCENT BY MASS
bonus,chemistry,Short Answer,How many liters of 2 molar sulfuric acid are required to titrate three liters of 0.4 molar nitric acid?,"0.3
_______________________________________________________"
