type,subject,format,question,answer
toss-up,math,Short Answer,"Assuming that a and b are non-negative, simplify [the square root of the quantity 72 a to the fourth b cubed]. 4 3 √72𝑎 𝑏","2
6𝑎 𝑏√2𝑏"
bonus,math,Short Answer,"If x, y, and z are three consecutive integers with x < y < z, evaluate the product (x y x - z y - z [open parenthesis x minus y close parenthesis open parenthesis x minus z close parenthesis open parenthesis y minus z close parenthesis] . - )( )( )",−2
toss-up,,Multiple Choice,2) PHYSICAL SCIENCE Multiple Choice Light passes through a rectangular slit in a box and produces a small spot of light on a screen at the back of the box. What is located between the slit in the box and the screen? W) A concave lens X) A convex lens Y) A prism Z) A flat piece of glass,X) A CONVEX LENS
bonus,,Short Answer,2) PHYSICAL SCIENCE Short Answer A ball moving at an initial velocity of 10 meters per second strikes head-on a similar ball initially sitting at rest. Both balls have the same mass and the collision is perfectly elastic. What are the respective speeds of the initially moving and initially stationary ball in meters per second after the collision?,"0, 10
DOUBLE ELIMINATION – ROUND 3 ~"
toss-up,,Multiple Choice,3) GENERAL SCIENCE Multiple Choice Which of the following is forbidden by the Pauli exclusion principle? W) Neutrons in a nucleus out-numbering the protons X) Triple ionization of the lanthanide [LAN-thuh-nyd] series Y) The sharing of more than one electron by any two atoms Z) Two electrons in the exact same state in an atomic shell,Z) TWO ELECTRONS IN THE EXACT SAME STATE IN AN ATOMIC SHELL
bonus,energy,Multiple Choice,3) GENERAL SCIENCE Multiple Choice Which of the following electron configurations represents an excited state energy level? W) [He]2s22p5 X) [He]2s22p43s1 Y) [Ne]3s2 Z) [Ne]3s23p6,X) [He]2s22p43s1
toss-up,,Short Answer,"4) EARTH AND SPACE Short Answer What is the hottest planet in our solar system, by surface temperature?",VENUS
bonus,,Multiple Choice,4) EARTH AND SPACE Multiple Choice Consider ocean water underlying sea ice with cold air above the sea ice. The rate at which heat flows out of ocean water is which of the following? W) Directly proportional to the temperature difference between the air and the water X) Directly proportional to the thickness of the ice layer Y) Constant once ocean water reaches -5° Celsius Z) Increased by the snow cover on top of the ice,"W) DIRECTLY PROPORTIONAL TO THE TEMPERATURE DIFFERENCE
BETWEEN THE AIR AND THE WATER
DOUBLE ELIMINATION – ROUND 3 ~"
toss-up,,Multiple Choice,"5) LIFE SCIENCE Multiple Choice What is the ultimate purpose of the Calvin cycle? W) To convert carbon dioxide into sugars X) To convert waste products to oxygen Y) To convert sugars, fatty acids, and amino acids into ATP Z) To separate water into hydrogen and oxygen",W) TO CONVERT CARBON DIOXIDE INTO SUGARS
bonus,,Multiple Choice,5) LIFE SCIENCE Multiple Choice Which of the following fish exhibit protandry and are all male when hatched? W) Clownfish X) Platy Y) Tarpon Z) Indigo hamlet,W) CLOWNFISH
toss-up,energy,Multiple Choice,Who is considered the originator of alternating current in electricity transmission systems? W) Thomas Edison X) Nils Bohr Y) Albert Einstein Z) Nikola Tesla,Z) NIKOLA TESLA
bonus,energy,Short Answer,"Order from least to greatest the following four U.S. methane emissions by source for 2009: 1) natural gas systems, 2) landfills, 3) petrochemical production, 4) abandoned underground coal mines.","3, 4, 2, 1 (ACCEPT: PETROCHEMICAL PRODUCTION, ABANDONED
UNDERGROUND COAL MINES, LANDFILLS, NATURAL GAS SYSTEMS)
DOUBLE ELIMINATION – ROUND 3 ~"
toss-up,math,Short Answer,"Providing your answer in scientific notation, simplify the quotient 240,000 [240 thousand over open parenthesis 2 times 10 to the power of negative 6 close −6 2×10 parenthesis].","11
1.2×10"
bonus,math,Short Answer,The sum of six integers is what percentage of the average of the six integers?,600%
toss-up,,Multiple Choice,"8) PHYSICAL SCIENCE Multiple Choice At a particular temperature T and pressure P, carbon dioxide is in the vapor phase. Which of the following is NOT possible if the pressure of the vapor is increased while the temperature stays the same? W) The vapor remains a vapor X) The vapor enters the compressible liquid phase Y) The vapor enters the solid phase without entering the liquid phase first Z) The vapor enters the solid phase and then enters the liquid phase","Z) THE VAPOR ENTERS THE SOLID PHASE AND THEN ENTERS THE LIQUID
PHASE"
bonus,energy,Multiple Choice,"8) PHYSICAL SCIENCE Multiple Choice Which of the following is true of periodic trends? W) The smaller the atom, the greater the ionization energy X) The larger the electronegativity, the smaller the ionization energy Y) Elements with the highest metallic character are located at the upper left corner of the periodic table Z) The process of removing an electron from an atom is always exothermic","W) THE SMALLER THE ATOM, THE GREATER THE IONIZATION ENERGY
DOUBLE ELIMINATION – ROUND 3 ~"
toss-up,,Multiple Choice,9) GENERAL SCIENCE Multiple Choice Which of the following is the most usable form of nitrogen for non-leguminous [non li-GYOO-muh-nuhs] plants? W) Ammonia X) Nitrogen gas Y) Nitrites Z) Nitrates,Z) NITRATES
bonus,,Multiple Choice,9) GENERAL SCIENCE Multiple Choice A block is being pulled up a ramp by a rope. The block experiences friction against the surface of the ramp. How many forces in total are acting on the block? W) 2 X) 3 Y) 4 Z) 5,Y) 4
toss-up,,Multiple Choice,10) EARTH AND SPACE Multiple Choice The tails of comets always do which of the following? W) Point away from the Sun X) Point towards the Sun Y) Point away from their direction of travel Z) Point in their direction of travel,W) POINT AWAY FROM THE SUN
bonus,,Multiple Choice,"10) EARTH AND SPACE Multiple Choice Which of the following is true about the 2012 North Atlantic hurricane season? W) Two of the tropical storms occurred before the official June 1 beginning of hurricane season X) Four major hurricanes, categories 3 through 5, struck the East Coast Y) The exceptionally weak jet stream over the eastern portion of the nation could not push hurricanes off the East Coast Z) El Niño proved to be a major influence in suppressing overall storm activity","W) TWO OF THE TROPICAL STORMS OCCURRED BEFORE THE OFFICIAL
JUNE 1 BEGINNING OF HURRICANE SEASON
DOUBLE ELIMINATION – ROUND 3 ~"
