type,subject,format,question,answer
toss-up,,Short Answer,"1) General Science – Short Answer List the following four taxonomic levels in the correct order, from broadest to narrowest: 1) Species; 2) Kingdom; 3) Class; 4) Genus.","2, 3, 4, 1 (ALSO ACCEPT: KINGDOM, CLASS, GENUS, SPECIES)"
bonus,,Multiple Choice,"1) General Science – Multiple Choice When a measurement is made repeatedly and the results are constant, the measurement is which of the following? W) Accurate X) Precise Y) Significantly correct Z) Insignificantly different","X) PRECISE
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Short Answer,"2) Physical Science – Short Answer To the nearest gram, what is the mass of one-half liter of water at standard temperature?",500
bonus,,Short Answer,"2) Physical Science – Short Answer A cube has a density of 6 grams per centimeter cubed and a volume of 300 millimeters cubed. Rounded to the nearest tenth and in grams, what is the cube's mass?",1.8
toss-up,energy,Multiple Choice,3) Energy – Multiple Choice The power generated by a hydroelectric dam is proportional to all except which of the following? W) Acceleration due to gravity X) Water density Y) Water flow rate Z) Water temperature,Z) WATER TEMPERATURE
bonus,energy,Short Answer,3) Energy – Short Answer What group of pollutants is formed during combustion when nitrogen and oxygen react?,"NO (ACCEPT: NITROGEN OXIDES)
x
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,4) Life Science – Multiple Choice Which of the following cellular organelles is responsible for energy production in the eukaryotic cell? W) Golgi apparatus X) Nucleus Y) Mitochondrion Z) Vacuole,Y) MITOCHONDRION
bonus,,Multiple Choice,"4) Life Science – Multiple Choice In humans, which of the following is the name for the tube that makes up the complete digestive system? W) Alimentary canal X) Gastrovascular cavity Y) Gut Z) Gastric bypass",W) ALIMENTARY CANAL
toss-up,,Short Answer,5) Earth and Space – Short Answer What is the most abundant element in Earth's atmosphere?,NITROGEN
bonus,,Multiple Choice,5) Earth and Space – Multiple Choice Which of the following is a type of chemical weathering? W) Oxidation X) Abrasion Y) Erosion Z) Ice wedging,"W) OXIDATION
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,6) Math – Short Answer The radius of a sphere is tripled. By what factor is its surface area multiplied?,9
bonus,math,Short Answer,"6) Math – Short Answer Your scores on your first 3 math tests are 83, 88 and 91. What do you need to score on the fourth test in order to average 90 on the 4 tests?",98
toss-up,,Multiple Choice,7) Physical Science – Multiple Choice Electrodes are NOT found in which of the following? W) Electrophorus X) Battery Y) Permanent magnet Z) Capacitor,Y) PERMANENT MAGNET
bonus,,Short Answer,"7) Physical Science – Short Answer A railroad car with a mass of 250,000 kilograms travels 10 meters in 2 seconds before it crashes into an identical, stationary car. The first car comes to a stop and the second car begins to move. What is the speed, in meters per second, of the second car after the collision?","5
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,"8) Math – Short Answer If a line is perpendicular to the line with equation y = 3x + 5 at its y intercept, what is the slope of the perpendicular line?",-1/3
bonus,math,Short Answer,8) Math – Short Answer Identify all of the following 4 numbers that are divisible by 3: 1) 123; 2) 469; 3) 631; 4) 702.,"1, 4 (ACCEPT: 123 AND 702)"
toss-up,,Multiple Choice,9) General Science – Multiple Choice Which of the following instruments measures air pressure? W) Hygrometer X) Thermometer Y) Barometer Z) Anemometer,Y) BAROMETER
bonus,,Short Answer,9) General Science – Short Answer What is the term for the study of vital statistics of populations and how they change over time?,"DEMOGRAPHY (DO NOT ACCEPT: DEMOGRAPHICS)
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Multiple Choice,"10) Life Science – Multiple Choice In a bacterial culture, there are 2000 Escherichia coli per milliliter of tryptic soy broth. What is the term used to describe this number? W) Dispersion X) Density Y) Turbidity Z) Population",X) DENSITY
bonus,,Short Answer,10) Life Science – Short Answer What is the most common inhibitory neurotransmitter in the human nervous system?,GABA (ACCEPT: GAMMA AMINO BUTYRIC ACID)
