type,subject,format,question,answer
toss-up,,Short Answer,"1) EARTH AND SPACE Short Answer When saturated soil is shaken by an earthquake, the soil strength drops and can cause buildings to sink or collapse. What is the term for this phenomenon?",LIQUEFACTION
bonus,,Multiple Choice,1) EARTH AND SPACE Multiple Choice Which of the following is NOT the name of a river-sea interface? W) Delta X) Estuary Y) Cenote [suh-NOH-tee] Z) Slough [SLAOO],Y) CENOTE
toss-up,,Multiple Choice,"2) LIFE SCIENCE Multiple Choice In humans, freely hanging earlobes is completely dominant to attached earlobes. If you have attached earlobes but both of your biological parents have freely hanging earlobes, then which of the following statements is true? W) At least one of your parents is homozygous [hoh-muh-ZY-guhs] for the dominant trait X) Both of your parents must be homozygous for the dominant trait Y) Neither of your parents is homozygous for the dominant trait Z) Nothing can be said about the genotype of your parents because there is not enough information","Y) NEITHER OF YOUR PARENTS IS HOMOZYGOUS FOR THE DOMINANT
TRAIT"
bonus,,Multiple Choice,2) LIFE SCIENCE Multiple Choice Which of the following types of trees includes individuals that were saplings when the great pyramids were built and are still alive today? W) California redwood X) Bristlecone pine Y) Bald cypress Z) Norfolk pine,X) BRISTLECONE PINE
toss-up,math,Multiple Choice,"If x x and x are whole numbers, x may be which of the following? /2, /5, /7 W) 20 X) 70 Y) 100 Z) 8000",X) 70
bonus,math,Short Answer,Solve the following equation for x over the real numbers: ? 1 2 𝑥 = 25,1/5 AND -1/5 (ACCEPT: 0.2 AND -0.2)
toss-up,energy,Short Answer,"A battery produces 1.5 volts. If four of these batteries are hooked up in series, what is the voltage of the circuit?",6.0
bonus,energy,Multiple Choice,"Given that fuel cells operate on reduction-oxidation reaction pairs, which of the following occurs during the oxidation half-reaction? W) An electron is released X) An electron is gained Y) Oxygen is created by the reaction Z) Oxygen is removed from the reaction",W) AN ELECTRON IS RELEASED
toss-up,,Multiple Choice,5) PHYSICAL SCIENCE Multiple Choice Which of the following phases of matter has atoms or molecules that assume the shape of their container and are NOT easily compressible? W) Liquid only X) Liquid and solid Y) Liquid and gas Z) Gas only,W) LIQUID ONLY
bonus,,Short Answer,"5) PHYSICAL SCIENCE Short Answer On a sunny day, the inside of a vehicle will heat up while the Sun shines on it and the windows and doors are closed. To what macroscopic effect of our atmosphere is this analogous?",THE GREENHOUSE EFFECT
