type,subject,format,question,answer
toss-up,,Short Answer,1) Physical Science – Short Answer What is the term for the tendency of an object to resist changes in its motion?,INERTIA
bonus,,Short Answer,1) Physical Science – Short Answer Identify all of the following three properties that correctly describe a solid: 1) Definite shape; 2) Definite volume; 3) Ability to change shape to match its container.,"1 AND 2
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Short Answer,2) Earth and Space – Short Answer What is the Earth’s largest coral reef?,GREAT BARRIER REEF
bonus,,Multiple Choice,2) Earth and Space – Multiple Choice Extensional boundaries are typically associated with what type of faulting? W) Reverse X) Thrust Y) Normal Z) Recumbent,Y) NORMAL
toss-up,math,Short Answer,3) Math – Short Answer Solve the following equation for y: y – 16 = 16 – y.,16
bonus,math,Short Answer,"3) Math – Short Answer A circle with radius 7 is inscribed in a square. To the nearest 10, what is the area of the region inside the square but outside the circle?","40
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,4) Energy – Multiple Choice Scientists working at Ames Laboratory have devised a way to increase the catalytic activity of nanoparticles in fuel cell applications. What quantity related to the particles did scientists focus on increasing? W) Number X) Length Y) Surface area Z) Volume,Y) SURFACE AREA
bonus,energy,Short Answer,"4) Energy – Short Answer What reaction, in which the starting material is decomposed in the presence of high temperatures without oxygen, is used to make biochar?",PYROLYSIS
toss-up,,Short Answer,5) Earth and Space – Short Answer To what constellation does the star Sirius belong?,CANIS MAJOR
bonus,,Short Answer,5) Earth and Space – Short Answer What astronomical term comes from the Greek meaning “yoked together” and is used to describe the alignment of three celestial bodies?,"SYZYGY
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Short Answer,6) Life Science – Short Answer What is the term for alternative versions of the same gene?,ALLELE
bonus,,Short Answer,6) Life Science – Short Answer What is the name for the phase of mitosis in which chromosomes condense and the nuclear membrane breaks down?,PROPHASE
toss-up,energy,Short Answer,7) Energy – Short Answer Scientists at Princeton Plasma Physics Lab are hunting for a signature of the Big Bang in what light neutral class of leptons [LEP-tawns]?,NEUTRINO
bonus,energy,Short Answer,7) Energy – Short Answer What is the coolant used in most nuclear reactors in the United States?,"WATER (ACCEPT: LIGHT WATER, H O)
2
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Short Answer,8) Earth and Space – Short Answer What is the defining mineral for a Mohs hardness of 1?,TALC
bonus,,Multiple Choice,8) Earth and Space – Multiple Choice Where does peridotite [peh-RID-oh-tite] form? W) Bottom of the ocean X) Upper mantle Y) Convergent plate boundaries Z) Evaporite deposits,X) UPPER MANTLE
toss-up,math,Short Answer,"9) Math – Short Answer If the perimeter of a triangle is 42, and the lengths of two of its sides are 18 and 11, what is the length of its third side?",13
bonus,math,Short Answer,"9) Math – Short Answer The mean number of weekly work hours for 13 part-time employees at a store is 18. The mean number of hours for 5 of the employees is 13. To the nearest whole number, what is the mean number of hours for the rest of the store’s employees?","21
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Short Answer,10) Life Science – Short Answer What term describes an observable trait or traits of an organism?,PHENOTYPE
bonus,,Short Answer,10) Life Science – Short Answer Fermentation occurring in humans produces what molecule?,LACTIC ACID (ACCEPT: LACTATE)
toss-up,,Short Answer,11) Physical Science – Short Answer What is the general term for the substances that are used up in a chemical reaction?,REACTANTS
bonus,energy,Short Answer,11) Physical Science – Short Answer Identify all of the following three statements that are true of energy: 1) Energy from the Sun reaches the Earth via conduction; 2) Car engines convert chemical energy to both thermal and mechanical energy; 3) Absolute zero is the value zero on the Celsius scale.,"2
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,12) Energy – Short Answer Most megacities are surrounded by a brown haze. Researchers working with the Pacific Northwest National Laboratory investigated chemicals found in pollution that could be causing the brown haze. What chemicals found in most pollution caused by cars is responsible for the brown haze?,"NITROGEN OXIDES (ACCEPT: NO , NO and NO )
X 2"
bonus,energy,Short Answer,12) Energy – Short Answer Researchers at Brookhaven National Lab are studying quark-gluon plasma. What user facility at BNL are they using to produce this type of matter?,RELATIVISTIC HEAVY-ION COLLIDER (ACCEPT: RHIC)
toss-up,,Short Answer,13) Life Science – Short Answer What is the general term for a polymer composed of sugars?,POLYSACCHARIDE (ACCEPT: STARCH)
bonus,,Short Answer,13) Life Science – Short Answer During what phase of interphase is DNA actively being synthesized?,"S PHASE
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,14) Math – Short Answer What is 60% of 30 plus 60% of 40?,42
bonus,math,Short Answer,14) Math – Short Answer A cyclist travels 0.48 kilometers in one minute. What is the average speed of this cyclist in meters per second?,8
toss-up,energy,Multiple Choice,15) Physical Science – Multiple Choice Which of the following types of energy transformation occurs in a lightbulb? W) Kinetic to electrical X) Electrical to kinetic Y) Electrical to radiant Z) Electrical to chemical,Y) ELECTRICAL TO RADIANT
