type,subject,format,question,answer
toss-up,math,Multiple Choice,If  [theta sub 1] and  [theta sub 2] are complementary angles 1 2 then which of the following is always correct? W) tan = - tan [tangent of theta sub 1 equals negative tangent of theta sub 2] 1 2 X) sin = sin  [sine of theta sub 1 equals sine of theta sub 2] 1 2 Y) sin = cos  [sine of theta sub 1 equals cosine of theta sub 2] 1 2 Z) cos = cos  [cosine of theta sub 1 equals cosine of theta sub 2] 1 2,"Y) sin = cos 
1 2"
bonus,math,Short Answer,Evaluate the expression x2 – 6x + 9 when x = 3 − 27:,"28
_______________________________________________________"
toss-up,,Multiple Choice,2) LIFE SCIENCE Multiple Choice Which of the following organisms has a carapace [KAR-uh- pays]? W) Crayfish X) Jellyfish Y) Limpet Z) Starfish,W) CRAYFISH
bonus,,Multiple Choice,2) LIFE SCIENCE Multiple Choice Which of the following is NOT a main class of connective tissue in humans? W) Cellular X) Connective tissue proper Y) Cartilage Z) Osseous [OS-ee-uhs],W) CELLULAR
toss-up,,Short Answer,3) EARTH AND SPACE Short Answer What is the term for an earthquake’s initial rupture point?,FOCUS (ACCEPT: HYPOCENTER)
bonus,,Multiple Choice,3) EARTH AND SPACE Multiple Choice Which of the following is NOT a consequence of a drought? W) Increased electricity due to wind generation X) Snake migration and increases in snake bites Y) Diminished crop yields Z) Dust storms,"W) INCREASED ELECTRICITY DUE TO WIND GENERATION
_______________________________________________________"
toss-up,energy,Multiple Choice,4) GENERAL SCIENCE Multiple Choice Which of the following colors has the highest energy photons? W) Yellow X) Green Y) Blue Z) Red,Y) BLUE
bonus,,Short Answer,4) GENERAL SCIENCE Short Answer Performing electrolysis on water results in the production of which two diatomic gasses?,HYDROGEN AND OXYGEN
toss-up,,Multiple Choice,5) PHYSICAL SCIENCE Multiple Choice What happens to the wavelength and frequency of a wave when the amplitude of a wave increases? W) It stays the same X) It decreases then increases Y) It decreases Z) It increases,W) IT STAYS THE SAME
bonus,,Short Answer,5) PHYSICAL SCIENCE Short Answer What temperature in degrees Fahrenheit is equivalent to 10 degrees Celsius?,"50°
_______________________________________________________"
toss-up,math,Multiple Choice,"Jared has two standard 6-sided dice, one white and one red. If Jared tosses the dice, what is the probability he will get 4 on the white die and an odd number on the red die? W) 1/18 X) 1/12 Y) 1/6 Z) 5/18",X) 1/12
bonus,math,Short Answer,What fraction of the non-negative integers less than 30 are prime?,1/3
toss-up,energy,Multiple Choice,What is the amperage in the following circuit: 14 volt power source and four 7-ohm light bulbs in series? W) 14 amps X) 2 amps Y) 1/2 amp Z) None of these,Y) 1/2 AMP
bonus,energy,Short Answer,What is the name of the process by which humans extract energy from the chemical bonds in food?,"RESPIRATION (ACCEPT: DIGESTION)
_______________________________________________________"
toss-up,,Multiple Choice,8) LIFE SCIENCE Multiple Choice Which of the following types of interactions will NOT occur between enzymes and their substrates? W) Covalent bonding X) Ionic bonding Y) Hydrophobic interactions Z) Van der Walls interactions,W) COVALENT BONDING
bonus,,Short Answer,"8) LIFE SCIENCE Short Answer Until recently, it was thought that the ecologically significant process of nitrogen fixation could only happen in the absence of what oxidant?",OXYGEN
toss-up,,Multiple Choice,9) EARTH AND SPACE Multiple Choice Which of the following is a stratovolcano? W) Galapagos Islands X) Olympus Mons Y) Mount St. Helens Z) The Hawaiian Island chain,Y) MOUNT ST. HELENS
bonus,,Short Answer,9) EARTH AND SPACE Short Answer The United States hosts a geologic sword of Damocles [DAM-uh-kleez]: the supervolcano. Under what national park is this supervolcano located?,"YELLOWSTONE NATIONAL PARK
_______________________________________________________"
toss-up,,Short Answer,10) GENERAL SCIENCE Short Answer Which organelle is one of the defining characteristics of eukaryotic [yoo-KAR-ee-oh-tik] cells and is not present at all in prokaryotic cells [proh-KAR- ee-oh-tik]?,NUCLEUS
bonus,,Multiple Choice,10) GENERAL SCIENCE Multiple Choice Which of the following is NOT a trait of RNA which has been used to explain why it may have preceded DNA as the first information molecule? W) RNA can be replicated X) RNA can be catalytic Y) RNA is less stable than DNA Z) RNA is more stable than DNA,Z) RNA IS MORE STABLE THAN DNA
toss-up,,Multiple Choice,11) PHYSICAL SCIENCE Multiple Choice Stars are composed of a number of elements at their birth. Which of the following elements has the HIGHEST percent composition when a star is born? W) Hydrogen X) Neon Y) Oxygen Z) Helium,W) HYDROGEN
bonus,,Multiple Choice,11) PHYSICAL SCIENCE Multiple Choice Which of the following best describes chlorine at room temperature? W) A colorless gas X) Greenish-yellow gas Y) Reddish-brown liquid Z) Steel-gray solid,"X) GREENISH-YELLOW GAS
_______________________________________________________"
toss-up,math,Multiple Choice,"Which of the following CANNOT be the lengths of the sides of a triangle? W) 1, 1, 1 X) 1, 2, 4 Y) 1, 75, 75 Z) 2, 3, 4","X) 1, 2, 4"
bonus,math,Short Answer,"The average of a set of 6 numbers is 9. When one more number is added, the average increases by 2. What number was added?",23
toss-up,,Multiple Choice,13) LIFE SCIENCE Multiple Choice Which animal might live in a kelp forest? W) Beaver X) Otter Y) Seal Z) Oyster,X) OTTER
bonus,,Multiple Choice,13) LIFE SCIENCE Multiple Choice The seed coat of angiosperm seeds typically develops from which of the following? W) Integuments X) Polar nuclei [NOO-klee-eye] Y) Nucleus [NOO-klee-uhs] Z) Cotyledons [kat-uhl-EED-uhns],"W) INTEGUMENTS
_______________________________________________________"
toss-up,,Multiple Choice,14) EARTH AND SPACE Multiple Choice Which of the following is NOT an important component of the hydrologic cycle? W) Transpiration X) Condensation Y) Runoff Z) Respiration,Z) RESPIRATION
bonus,,Short Answer,14) EARTH AND SPACE Short Answer What kind of tide should be expected on June 10 if the last full moon was May 21?,SPRING TIDE
toss-up,,Short Answer,15) GENERAL SCIENCE Short Answer Endoplasmic reticulum [EN-duh-plaz-mik ri-TIK-yuh- luhm] is the site inside the cell where proteins and membranes are formed. There are two types: smooth and rough. What is the name of the structures present only on rough but absent on smooth endoplasmic reticulum?,RIBOSOMES
bonus,,Short Answer,15) GENERAL SCIENCE Short Answer What is another name for hurricanes or tropical cyclones in the western Pacific area and China seas?,"TYPHOON
_______________________________________________________"
toss-up,energy,Multiple Choice,Which of the following represents a typical rechargeable battery? W) Carbon zinc X) Alkaline Y) Magnesium aluminum Z) Nickel cadmium,Z) NICKEL CADMIUM
bonus,energy,Multiple Choice,Some devices use electricity even after they are turned off. What is the term for this phenomenon? W) Efficiency load X) Phantom load Y) Voltage drop Z) Wattage reduction,X) PHANTOM LOAD
toss-up,,Multiple Choice,17) PHYSICAL SCIENCE Multiple Choice Which of the following loses its valence electrons the most readily? W) Active nonmetal X) Active metal Y) Inactive nonmetal Z) Inactive metal,X) ACTIVE METAL
bonus,,Short Answer,"17) PHYSICAL SCIENCE Short Answer What is happening when an atom gives up an electron to another atom, thus forming two ions of opposite charge and greater stability?","FORMATION OF AN IONIC BOND (ACCEPT: IONIZATION, OXIDATION, REDOX)
_______________________________________________________"
toss-up,math,Multiple Choice,"At what point do the lines x = 4 and y = x – 4 intersect when graphed in the coordinate plane? W) (0, 4) X) (4, 0) Y) (0,-4) Z) (-4,0)","X) (4, 0)"
bonus,math,Short Answer,"What is the 21st term of the arithmetic sequence with first three terms -18, -12, -6?",102
toss-up,,Multiple Choice,19) LIFE SCIENCE Multiple Choice Which of the following is a major reason for “dead zones” in the ocean? W) Too many predators X) Use of fertilizers Y) Lack of upwelling Z) Recreational ocean use,X) USE OF FERTILIZERS
bonus,,Short Answer,"19) LIFE SCIENCE Short Answer In an experiment, you expect a plant to photosynthesize optimally with 440 nm of light. Instead you observe optimal photosynthesis at 460 nm. This is most likely due to the presence of what pigment?","CHLOROPHYLL B (DO NOT ACCEPT: CHLOROPHYLL ALONE)
_______________________________________________________"
toss-up,energy,Short Answer,What type of highly efficient battery is used for electric vehicles?,LITHIUM-ION BATTERY
bonus,energy,Multiple Choice,"In watts, how much power is consumed by a circuit that has a resistance of 10 ohms at a current of 3 amperes? W) 30 X) 45 Y) 90 Z) 180",Y) 90
toss-up,,Multiple Choice,21) EARTH AND SPACE Multiple Choice Which of the following is NOT associated with active margins? W) Earthquakes X) Subduction zones Y) Transform faults Z) Hot spot volcanism,Z) HOT SPOT VOLCANISM
bonus,,Multiple Choice,21) EARTH AND SPACE Multiple Choice A long straight shoreline faces northeast. Waves approach the beach from the north and wave refraction bends the waves to the shore. In what direction will the resulting long shore current flow? W) Southeast X) Southwest Y) Northeast Z) Northwest,"W) SOUTHEAST
_______________________________________________________"
toss-up,,Short Answer,22) GENERAL SCIENCE Short Answer What is a common example of a seasonal immune system response?,ALLERGIES
bonus,,Multiple Choice,22) GENERAL SCIENCE Multiple Choice How many phases does the Moon have? W) 4 X) 6 Y) 8 Z) 10,Y) 8
toss-up,energy,Multiple Choice,23) PHYSICAL SCIENCE Multiple Choice Thermal energy spontaneously flows from which of the following? W) Gas to a liquid X) A liquid to a solid Y) A warmer region to a cooler region Z) A freezing material to a boiling material,Y) A WARMER REGION TO A COOLER REGION
bonus,,Multiple Choice,23) PHYSICAL SCIENCE Multiple Choice The penultimate fate of most low mass stars is which of the following? W) Blue dwarf X) Neutrino Y) Black hole Z) White dwarf,Z) WHITE DWARF
