type,subject,format,question,answer
toss-up,,Multiple Choice,1) LIFE SCIENCE Multiple Choice Which of the following accounts for the largest increase in cancer death rate in the USA between the years 1900 and 1990: W) lung X) breast Y) colon Z) stomach,W) LUNG
bonus,,Multiple Choice,1) LIFE SCIENCE Multiple Choice The structure of DNA proposed by Watson and Crick was partly based on the x-ray work of: W) Louis Pasteur X) Rosalind Franklin Y) Linus Pauling Z) Eleonore Rubinstein,X) ROSALIND FRANKLIN
toss-up,,Multiple Choice,"2) PHYSICAL SCIENCE Multiple Choice If light is passed through two pin holes and the patterns allowed to overlap on a wall, the pattern produced by the intersection of waves is called: W) an intersection pattern X) an interference pattern Y) an arcing pattern Z) a construction pattern",X) AN INTERFERENCE PATTERN
bonus,,Short Answer,2) PHYSICAL SCIENCE Short Answer Add a second proton and two neutrons to the hydrogen nucleus and you have which element?,HELIUM (ACCEPT: He)
toss-up,,Multiple Choice,"*3) GENERAL SCIENCE Multiple Choice To guard against sparks causing a fire, mechanics aboard submarines during World War II often used tools made from which of the following: W) chrome plated steel X) vanadium Y) cold rolled steel Z) bronze",Z) BRONZE
bonus,,Multiple Choice,"*3) GENERAL SCIENCE Multiple Choice The shape of galaxies, stars, planets and their orbits is mostly attributed to: w) light x) matter y) electricity z) gravity",Z) GRAVITY
toss-up,math,Short Answer,What is the sum of the internal angles of a pentagon:,540°
bonus,math,Multiple Choice,"46 MATH Multiple Choice Assuming a year in a dog’s life is equivalent to 7 years of a human’s life, what is 1 hour of a dog’s life approximately equivalent to in a human’s life? W) 3 ½ hours X) 7 hours Y) 5 hours Z) 4 ½ days",X) 7 HOURS
toss-up,math,Multiple Choice,The longest straight line that can be drawn inside a circle is called its: W) radius X) vector Y) tangent Z) diameter,Z) DIAMETER
bonus,math,Short Answer,"If you walk north for 3 miles along 1st street and make a 90 degree right turn east onto B street and then walk for another 4 miles what would be the shortest distance back to where you started, if you could walk in a straight line?","5 MILES
(Solution : 3, 4, 5 right triangle)"
toss-up,earth science,Multiple Choice,"If air masses move toward mountains from the west, most of the moisture will fall on the W) north side of the mountains X) south side of the mountains Y) west side of the mountains Z) east side of the mountains",Y) WEST SIDE OF THE MOUNTAINS
bonus,earth science,Short Answer,"Order the following periods of geological time from oldest to youngest: Jurassic, Cambrian, Triassic,",CAMBRIAN; TRIASSIC; JURASSIC
toss-up,,Short Answer,7) PHYSICAL SCIENCE Short Answer Which planet is the brightest when viewed from Earth?,VENUS
bonus,,Short Answer,"7) PHYSICAL SCIENCE Short Answer If an atom of carbon has an atomic number of 6 and an atomic mass of 12.01, how many protons and neutrons are in the nucleus?","6 PROTONS, 6 NEUTRONS"
toss-up,,Short Answer,"8) LIFE SCIENCE Short Answer In the traditional 5 Kingdom classification of organisms, four of the 5 Kingdoms are Animalia, Plantae, Fungi, and Protista. What is the fifth?",MONERA
bonus,,Short Answer,2) LIFE SCIENCE Short Answer Give the scientific names for the four chambers of the human heart:,"LEFT VENTRICLE, RIGHT VENTRICLE, LEFT ATRIUM, RIGHT ATRIUM
(ACCEPT IN ANY ORDER)"
toss-up,earth science,Multiple Choice,"Which of the following dominates the gasses in the Earth’s atmosphere, making up some 78% of the air by volume: W) nitrogen X) oxygen Y) helium Z) hydrogen",W) NITROGEN
bonus,earth science,Multiple Choice,Metamorphism transforms limestone into a metamorphic rock called: W) quartzite X) marble Y) hornfel Z) granite,X) MARBLE
toss-up,,Short Answer,"10) GENERAL SCIENCE Short Answer This powerful telescope weighs about 11 tons, has a primary mirror 7.9 feet in diameter, and orbits about 380 miles above the earth:",THE HUBBLE TELESCOPE
bonus,,Multiple Choice,10) GENERAL SCIENCE Multiple Choice Which of the following is NOT commonly thought of as an input device: W) scanner X) printer Y) touch-screen video screen Z) speaker,X) PRINTER
toss-up,,Multiple Choice,11) LIFE SCIENCE Multiple Choice Which of the following is a feeding structure in arachnids: W) dentipalps X) radula Y) proboscis Z) chelicerae (PRONOUNCED Chill-iss-er-ah),Z) CHELICERAE
bonus,,Multiple Choice,"11) LIFE SCIENCE Multiple Choice In humans, ovulation usually occurs how many days before the start of the next menstrual period: W) 4 X) 9 Y) 14 Z) 21",Y) 14
toss-up,,Short Answer,"10) PHYSICAL SCIENCE Short Answer What color light is produced by adding equal amounts of red, green, and blue light?",WHITE
bonus,,Short Answer,"10) PHYSICAL SCIENCE Short Answer Name the most common disaccharide, known as milk sugar, that is found in milk.",LACTOSE
