type,subject,format,question,answer
toss-up,energy,Short Answer,1) Energy – Short Answer Scientists at Fermi National Accelerator Lab are studying what substance that is thought to be the reason that the expansion of the universe is accelerating?,DARK ENERGY (do not accept: DARK MATTER)
bonus,energy,Multiple Choice,"1) Energy – Multiple Choice Scientists supported by the Department of Energy are studying matter whose properties can be described using the Dirac [dih-RAHK] equation. In that sense, this matter is similar to which of the following elementary particles? W) Photon X) Up quark Y) Gluon Z) W boson",X) UP QUARK
toss-up,,Multiple Choice,2) Life Science – Multiple Choice Root nodules are commonly found in legumes. Which of the following types of plants is an example of a legume? W) Pineapple X) Tomato Y) Maple Z) Soybean,Z) SOYBEAN
bonus,,Multiple Choice,2) Life Science – Multiple Choice Base substitutions that occur in coding regions that result in the change from one amino acid to another in the resulting protein are referred to as what type of mutation? W) Silent X) Nonsense Y) Missense Z) Insertion,Y) MISSENSE
toss-up,math,Short Answer,3) Math – Short Answer What is the second-smallest positive multiple of 13 with at least three digits?,117
bonus,math,Short Answer,3) Math – Short Answer Find the y-coordinates of all points of intersection of the parabola y = x2 – 2x – 15 and the line y = 2x – 3.,–7 AND 9
toss-up,,Multiple Choice,"4) Physical Science – Multiple Choice Jan tosses a football to Nick by exerting a force on the ball with her arm. According to Newton’s Third Law, what is the reaction force that opposes Jan’s exertion? W) Jan’s arm exerts a force on her body X) The football exerts a force on Jan’s arm Y) The football exerts a force on Nick’s arm when he catches it Z) Nick’s arm exerts a force on his body when he catches it","X) THE FOOTBALL EXERTS A FORCE ON JAN’S
ARM"
bonus,,Short Answer,4) Physical Science – Short Answer Rank the following three objects in terms of increasing de Broglie [da-BROY] wavelength: 1) one-kilogram block moving at one meter per second; 2) 10-kilogram block moving at one meter per second; 3) one-kilogram block traveling at 5 meters per second,"2, 3, 1"
toss-up,,Multiple Choice,5) Earth and Space – Multiple Choice Which of the following layers of the Sun has the lowest density? W) Chromosphere X) Corona Y) Photosphere Z) Radiation zone,X) CORONA
bonus,,Short Answer,5) Earth and Space – Short Answer What type of star is thought to be the progenitor star of Type IA [one-ay] supernovae?,WHITE DWARF
toss-up,energy,Multiple Choice,"6) Energy – Multiple Choice Lawrence Berkeley National Lab scientists are studying the ability of a pill, originally designed to treat radiation poisoning, to remove MRI contrast dyes from the body. Which of the following lanthanide [LAN-tha-nide] elements used in these dyes are they hoping to remove? W) Lead X) Gadolinium [GAD-oh-LIN-ee-um] Y) Plutonium Z) Uranium",X) GADOLINIUM
bonus,energy,Short Answer,6) Energy – Short Answer Scientists at Argonne National Lab are developing lithium-ion batteries that do not contain cobalt. Identify all of the following three features that are advantages of these batteries: 1) Higher energy density; 2) Cheaper raw materials; 3) They are primary cells.,2
toss-up,,Short Answer,"7) Life Science – Short Answer What peripheral nervous system structures contain neuronal cell bodies and satellite glia, and are often considered nerve relays?",GANGLIA (ACCEPT: GANGLION)
bonus,,Short Answer,7) Life Science – Short Answer Mycorrhizae [MY-koh-RYE-zee] is an example of a mutualistic relationship between organisms from what two kingdoms?,"PLANTAE AND FUNGI (ACCEPT: PLANTS AND
FUNGUSES, in either order)"
