type,subject,format,question,answer
toss-up,math,Short Answer,"Three points on a graph are connected by lines to form a triangle. If the center of dilation is the origin and one of the points is (4, 6), what is the new point for a dilation factor of 2?","(8, 12)"
bonus,math,Short Answer,"Giving your answer in terms of π, what is the length of a 36º arc in a circle that has a circumference of 50π?","5π
(Solution: C = 50π; 1/10th of 50π = 5π)"
toss-up,,Multiple Choice,"2) GENERAL SCIENCE Multiple Choice Which of the following is NOT true of the Moon: W) the Moon rotates on its axis at the same rate that it takes to orbit the Earth X) over long periods of time, we can see more than 50% of the Moon’s surface from Earth Y) the Moon is gradually getting closer to the Earth by about 4 centimeters each year Z) the Moon’s orbit is elliptical","Y) THE MOON IS GRADUALLY GETTING CLOSER TO THE EARTH BY
ABOUT 4 CENTIMETERS EACH YEAR"
bonus,,Short Answer,2) GENERAL SCIENCE Short Answer Name all of the following 3 skin infections that are caused by mold-like fungi called dermatophytes (read as: derr-mat-oh-fights): ringworm; jock itch; athletes foot,"RINGWORM; JOCK ITCH; ATHLETES FOOT (ACCEPT: ALL OF THEM)
2007 Middle School Regional Science Bowl - Round 14 Page 1"
toss-up,,Multiple Choice,3) LIFE SCIENCE Multiple Choice Antibodies are composed of: W) lipids X) nucleic acids Y) glucose Z) amino acids,Z) AMINO ACIDS
bonus,,Multiple Choice,"3) LIFE SCIENCE Multiple Choice Consider a cross of a pea plant having white flowers with a pea plant having red flowers. Of 50 seedlings from this cross, 25 produce white flowers and 25 produce red flowers. If white is dominant, which of the following is the BEST description for the genetic makeup of the white flowering parent plant: W) homozygous for white flowers X) heterozygous Y) homozygous for red flowers Z) co-dominant for white and red",X) HETEROZYGOUS
toss-up,,Multiple Choice,4) PHYSICAL SCIENCE Multiple Choice Which of the following is NOT true: W) the temperature of a substance changes during a phase change X) a compound can be broken down by chemical means Y) some known elements are unstable and only last for fractions of seconds Z) the opposite of vaporization is condensation,"W) THE TEMPERATURE OF A SUBSTANCE CHANGES DURING A PHASE
CHANGE"
bonus,,Short Answer,4) PHYSICAL SCIENCE Short Answer Name all of the following 4 substances that are bases: MgCl; NaOH; HCl; H SO 2 4,"NaOH (ACCEPT: SODIUM HYDROXIDE)
2007 Middle School Regional Science Bowl - Round 14 Page 2"
toss-up,earth science,Multiple Choice,"Except for birds, dinosaurs became extinct after which of the following periods: W) Jurassic X) Triassic Y) Cretaceous Z) Permian",Y) CRETACEOUS
bonus,earth science,Multiple Choice,"Which of the following dinosaurs is NOT correctly matched with its description: W) Hadrosaurus had a beak, web-feet, and a pelvis very similar to modern ducks X) Iguanodon was a mid-sized herbivore Y) Brachiosaurus had tail spikes and bony plates along the length of its back Z) Tyrannosaurus rex was a large carnivorous dinosaur","Y) BRACHIOSAURUS HAD TAIL SPIKES AND BONY PLATES ALONG THE
LENGTH OF ITS BACK"
