type,subject,format,question,answer
toss-up,,Multiple Choice,1) LIFE SCIENCE Multiple Choice Which species of tuna is in immediate danger of extinction due to overfishing? W) Big eye tuna X) Albacore Y) Yellowfin tuna Z) Southern bluefin tuna,Z) SOUTHERN BLUEFIN TUNA
bonus,,Short Answer,1) LIFE SCIENCE Short Answer What four categories of biological macromolecules make up cells?,"PROTEINS, NUCLEIC ACIDS, CARBOHYDRATES, AND LIPIDS (DO NOT
ACCEPT: FATS)
_______________________________________________________"
toss-up,,Multiple Choice,"2) PHYSICAL SCIENCE Multiple Choice Which of the following best describes how a chemical change occurs in a substance? W) It changes state X) It gains, loses, or shares electrons Y) It reaches its boiling point Z) It is ground into a powder","X) IT GAINS, LOSES, OR SHARES ELECTRONS"
bonus,energy,Short Answer,2) PHYSICAL SCIENCE Short Answer Every ocean wave is generated by an energy source. What is the most likely cause of waves that reach over 100 feet in amplitude?,EARTHQUAKES
toss-up,energy,Multiple Choice,In which of the following states would you be more likely to find a methane digester on a farm or ranch? W) Missouri X) Wisconsin Y) Utah Z) Maryland,X) WISCONSIN
bonus,energy,Multiple Choice,"The amount of CO produced from burning natural gas will be what 2 percent of the CO produced from burning coal, for the same amount of energy output? 2 W) 30% X) 50% Y) 65% Z) 80%","X) 50%
_______________________________________________________"
toss-up,,Multiple Choice,"4) GENERAL SCIENCE Multiple Choice If you have a parent flower that has red petals and the other parent has white petals and they have offspring that are pink, which of the following genetic terms best applies? W) Co-dominance X) Expressivity Y) Pleiotropy [play-O-truh-pee] Z) Incomplete dominance",Z) INCOMPLETE DOMINANCE
bonus,,Short Answer,"4) GENERAL SCIENCE Short Answer What organ system, unique to aquatic vertebrae, is used to detect movements and pressure changes in water?",LATERAL LINE
toss-up,,Short Answer,5) EARTH AND SPACE Short Answer What is the spectral class of the Sun?,"G (ACCEPT: G2, G2V)"
bonus,,Multiple Choice,"5) EARTH AND SPACE Multiple Choice Which of the following accurately describes the structure of the Sun? W) Convective core, convective envelope X) Radiative core, radiative envelope Y) Convective core, radiative envelope Z) Radiative core, convective envelope","Z) RADIATIVE CORE, CONVECTIVE ENVELOPE
_______________________________________________________"
toss-up,math,Multiple Choice,"A couple bought a house and calculated that they would pay 30% of their combined monthly income of $5,700 toward the monthly mortgage payment on the house. How much will the couple pay for their monthly mortgage payment? W) $1,650 X) $1,710 Y) $1,900 Z) $2,400","X) $1,710"
bonus,math,Short Answer,"The perimeter of your garden is 10 4/5 [10 and four-fifths] yards. You purchased wooden planks to edge the garden, but you accidentally bought 12 1/3 [12 and one- third] yards of wood. How many yards of wood will be unused?",1 8/15 (ACCEPT: 23/15)
toss-up,,Multiple Choice,"7) LIFE SCIENCE Multiple Choice In the spring of 2013, scientists from the University of Michigan and Louisiana State University predicted that a particular coastal region of the US would experience a record breaking dead-zone. For what region was this prediction made? W) Gulf of Mexico X) Puget Sound Y) Gulf of California Z) George’s Bank",W) GULF OF MEXICO
bonus,,Short Answer,"7) LIFE SCIENCE Short Answer What is the MOST common term for the general type of nourishment characteristic of mushrooms, in which the organism derives its nutrients by absorbing the biological products of a dead or dying organism?","SAPROPHYTIC (ACCEPT: SAPROBE, SAPROPHAGE, SAPROPHYTE,
SAPROZOIC, OR SAPROTROPH)
_______________________________________________________"
toss-up,energy,Multiple Choice,8) PHYSICAL SCIENCE Multiple Choice Which of the following is NOT correct about the gravitational force between two objects? W) It behaves independently of the law of conservation of energy X) It is a form of potential energy Y) It is directly proportional to the mass of the two objects Z) It is related to the distance between the objects,"W) IT BEHAVES INDEPENDENTLY OF THE LAW OF CONSERVATION OF
ENERGY"
bonus,,Multiple Choice,"8) PHYSICAL SCIENCE Multiple Choice What substances, by definition, produce ions when dissolved in water? W) Electrolytes X) Elements Y) Molecules Z) Nonpolar",W) ELECTROLYTES
toss-up,,Short Answer,"9) GENERAL SCIENCE Short Answer What term refers to the tip of a plant shoot or root that produces auxin [AWK-sin], causing the shoot or root to increase in length?",APICAL MERISTEM (DO NOT ACCEPT: APICAL OR MERISTEM ALONE)
bonus,,Multiple Choice,9) GENERAL SCIENCE Multiple Choice Which of these trees does NOT belong to the family Juglandaceae [joo-gluhn-DAH-cee-ee]? W) Pecan X) Butternut Y) Tree of heaven Z) Walnut,"Y) TREE OF HEAVEN
_______________________________________________________"
toss-up,,Multiple Choice,10) EARTH AND SPACE Multiple Choice The dark low-lying areas of the Moon are composed of which type of rock? W) Basalt X) Gabbro Y) Rhyolite [RY-uh-lyt] Z) Granite,W) BASALT
bonus,,Short Answer,10) EARTH AND SPACE Short Answer Nephrite is a metamorphic rock that is better known as what green ornamental stone?,JADE
