type,subject,format,question,answer
toss-up,,Short Answer,1) Earth and Space – Short Answer What event occurs when the Earth passes through the orbital path of a comet?,METEOR SHOWER
bonus,,Short Answer,"1) Earth and Space – Short Answer What type of stellar remnant, such as the Ring Nebula, is formed when a red giant expels its outer layers of gas?","PLANETARY NEBULA
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Short Answer,2) Life Science – Short Answer Plants and bacteria possess what component that provides structural support to the plasma membrane?,CELL WALL
bonus,,Short Answer,2) Life Science – Short Answer The duodenum [dew-AW-den-um] is a region of what organ?,SMALL INTESTINE
toss-up,math,Short Answer,"3) Math – Short Answer A car travels 250 miles in 8 hours. To the nearest mile per hour, over the eight- hour period, what is the average speed of the car?",31
bonus,math,Short Answer,"3) Math – Short Answer Assuming that the following numbers represent measurements, and giving your answer with the correct number of significant figures, simplify the following expression: 2.6 + 0.53 + 0.025.","3.2
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,"4) Energy – Short Answer Scientists at the National Renewable Energy Laboratory will test small, energy dense inverters for the Little Box Challenge. These devices convert direct current power produced by solar panels to what type of current that can be used in homes and business?",ALTERNATING CURRENT (ACCEPT: AC)
bonus,energy,Short Answer,"4) Energy – Short Answer Scientists are using the Advanced Photon Source to study the structure of cellulose, a polymer composed of what monomer?",GLUCOSE (ACCEPT: BETA-GLUCOSE)
toss-up,,Short Answer,5) Physical Science – Short Answer What is the term for the process in which matter changes state from a gas to a liquid?,CONDENSATION
bonus,energy,Short Answer,5) Physical Science – Short Answer Identify all of the following three statements that are true of energy: 1) Kinetic energy depends on speed; 2) Objects must be moving to have energy; 3) Thermal energy depends on temperature.,"1 AND 3
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Short Answer,6) Earth and Space – Short Answer What compositional layer of the Earth is the thinnest?,CRUST
bonus,,Short Answer,6) Earth and Space – Short Answer Identify all of the following three fossils for which Carbon-14 dating would be useful 1) Jurassic amber-trapped insect; 2) Cambrian [KAM-bree-un] shale with trilobite fossil; 3) Paleogene [PAY-leo-jeen] coral.,NONE
toss-up,math,Short Answer,7) Math – Short Answer Give one of the linear factors of x2 + 4x – 21.,x – 3 OR x + 7 (must give at least one)
bonus,math,Short Answer,"7) Math – Short Answer If an 8-by-11 rectangle has its linear dimensions increased by 50%, what is the area of the new larger rectangle?","198
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Short Answer,"8) Physical Science – Short Answer Bases, when dissolved in water, have a pH value above what number?",7
bonus,,Short Answer,8) Physical Science – Short Answer How many carbon atoms are present in one molecule of isopropyl alcohol?,3
toss-up,energy,Short Answer,9) Energy – Short Answer Scientists at Argonne National Lab are studying green rust as a potential stabilizing element for radionuclides. What is the major metal center in green rust?,IRON
bonus,energy,Short Answer,"9) Energy – Short Answer Cancer researchers at SLAC [slack] are studying the interaction of the peripheral protein Axl [ax-one] with serum protein Gas6, which signals to the cancer cell to break free of the original neoplasm and seed new tumors. What is the term for this process of migration and clonal expansion?","METASTASIS
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Short Answer,10) Earth and Space – Short Answer What is the name of the bright red supergiant in the constellation Orion?,BETELGEUSE [BEE-tle-jews]
bonus,,Short Answer,"10) Earth and Space – Short Answer Telescope A has a diameter of 36 centimeters, while telescope B has a diameter of 4 centimeters. What is the ratio of the light-gathering power of telescope A to that of telescope B?",81 (ACCEPT: 81 TO 1)
toss-up,,Multiple Choice,11) Life Science – Multiple Choice The conversion of glucose to carbon dioxide and water is an example of what type of reaction? W) Condensation X) Esterification [es-TARE-ih-fih-KAY-shun] Y) Anabolic Z) Catabolic,Z) CATABOLIC
