type,subject,format,question,answer
toss-up,,Multiple Choice,"1) Earth and Space – Multiple Choice As you are swimming in a river, you find two cobbles made of the same rock, but one is angular and one is rounded. Which of the following best explains this observation? W) The angular cobble was transported further X) The rounded cobble was transported further Y) The rounded cobble was formed in shallower water than the angular cobble Z) The angular cobble was formed in shallower water than the rounded cobble",X) THE ROUNDED COBBLE WAS TRANSPORTED FURTHER
bonus,,Short Answer,1) Earth and Space – Short Answer How many well-defined planes of cleavage does the mineral quartz have?,"0
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Multiple Choice,2) Life Science – Multiple Choice In what cellular component does a plant cell store water? W) Lysosome [LYE-soh-sohm] X) Central vacuole [VAK-yu-ole] Y) Golgi [GOAL-jee] complex Z) Chloroplast,X) CENTRAL VACUOLE
bonus,,Multiple Choice,2) Life Science – Multiple Choice Which of the following organs is responsible for maintaining blood sugar 4 hours after a meal? W) Skeletal muscle X) Kidney Y) Fat Z) Liver,Z) LIVER
toss-up,math,Multiple Choice,3) Math – Multiple Choice Which of the following numbers is largest? W) 104 + 105 X) 103 + 106 Y) 102 + 107 Z) 101 + 108,Z) 101 + 108
bonus,math,Short Answer,"3) Math – Short Answer What is the area of the triangle formed by the x-axis, the y-axis, and the line passing through the point (0, 8) with slope –2?","16
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,4) Energy – Multiple Choice Concentrated solar power stores the sun's radiation in what form of energy? W) Thermal X) Chemical Y) Kinetic Z) Acoustic,W) THERMAL
bonus,energy,Multiple Choice,4) Energy – Multiple Choice Researchers at Lawrence Berkeley National Lab are examining organic carbon in soil as a potential source of greenhouse gases. Which of the following best describes their finding? W) Soil carbon cannot be converted to carbon dioxide X) Organisms release more carbon dioxide in cold soil than in warm soil Y) Organisms release more carbon dioxide in warm soil than in cold soil Z) Soil is a relatively static carbon sink,"Y) ORGANISMS RELEASE MORE CARBON DIOXIDE IN WARM SOIL THAN IN COLD
SOIL"
toss-up,,Short Answer,5) Life Science – Short Answer Photosynthesis produces sugar and what gaseous [gah-shus] byproduct?,"OXYGEN (ACCEPT: O )
2"
bonus,,Short Answer,5) Life Science – Short Answer Catalase [CAT-ah-lace] is an enzyme that catalyzes the transformation of hydrogen peroxide to water and oxygen gas. Identify all of the following three terms that apply to hydrogen peroxide in this reaction: 1) Substrate; 2) Inhibitor; 3) Reactant.,"1 AND 3
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
