type,subject,format,question,answer
toss-up,,Multiple Choice,"1) GENERAL SCIENCE Multiple Choice Naked mole rats are mammals, but they differ from every other species of mammal in one defining characteristic. What is this characteristic? W) They lack mammary glands X) They lack fur or hair Y) They are nearly poikilothermic (read as: pohi-KEE-loh-thehr-mik) Z) They do not give live birth",Y) THEY ARE NEARLY POIKILOTHERMIC
bonus,,Short Answer,1) GENERAL SCIENCE Short Answer In what class of fish do sharks belong?,"CHONDRICHTHYES
_______________________________________________________"
toss-up,math,Short Answer,"A tic-tac-toe game is played by placing Xs or Os at consecutive lattice points of a coordinate system. If your opponent had marks at (-1, -2) and (1, -4), what are the coordinates of the point where you would place your mark in order to block your opponent?","(0, -3)"
bonus,math,Short Answer,Solve the inequality 33x – 2 > 1 (read as: 3 to the power of the quantity 3x minus 2 is greater than 1).,x > 2/3
toss-up,energy,Short Answer,3) PHYSICAL SCIENCE Short Answer What is the name of the change in energy of an atom in the gaseous state when an electron is added to the neutral atom to form a negative ion?,ELECTRON AFFINITY
bonus,,Short Answer,"3) PHYSICAL SCIENCE Short Answer By number, identify all of the following three statements that are TRUE about Lewis acids and bases: 1) Lewis acids accept an electron pair; 2) Lewis bases donate an electron pair; 3) Lewis acids and bases do not require the presence of water.","1, 2, AND 3 (ACCEPT: ALL)
_______________________________________________________"
toss-up,,Short Answer,4) LIFE SCIENCE Short Answer What are the common names of the two main groups of cetaceans (read as: si-TAY-shehns)?,BALEEN WHALES AND TOOTHED WHALES
bonus,,Multiple Choice,4) LIFE SCIENCE Multiple Choice What effect does the wobble position in a codon have on protein synthesis? W) The 1st and 2nd bases are interchangeable X) The 2nd base can change and have no effect Y) The 3rd base is an absolute determinant Z) The 3rd base is often irrelevant,Z) THE 3RD BASE IS OFTEN IRRELEVANT
toss-up,,Multiple Choice,5) GENERAL SCIENCE Multiple Choice Which of the following functional groups does NOT contain an oxygen atom? W) Carboxyl X) Amine Y) Hydroxyl Z) Carbonyl,X) AMINE
bonus,,Multiple Choice,5) GENERAL SCIENCE Multiple Choice Which of the following countries is most likely to experience droughts during an El Niño event? W) Peru X) India Y) Kenya Z) South Africa,"Z) SOUTH AFRICA
_______________________________________________________"
toss-up,,Short Answer,"6) PHYSICAL SCIENCE Short Answer For a given pair of atoms, which of the following kinds of bonds are the shortest: single, double, or triple?",TRIPLE
bonus,,Multiple Choice,6) PHYSICAL SCIENCE Multiple Choice Which of the following ions has a noble gas configuration? W) P2 − X) N3 − Y) Ca3+ Z) F2 −,"X) N3
−"
toss-up,,Short Answer,"7) EARTH AND SPACE SCIENCE Short Answer Give the name of the most frequently occurring iron-bearing oxide mineral in soil that has a characteristic yellowish brown color and often forms under cool temperatures, moist soil conditions, and in the presence of comparatively large amounts of organic matter.",GEOTHITE
bonus,,Multiple Choice,7) EARTH AND SPACE SCIENCE Multiple Choice Stromatolites were once very common but are now quite rare. Which of the following is a plausible explanation? W) Light conditions are no longer favorable for the photosynthetic organisms that form stromatolites X) Ocean acidification makes the formation of stromatolites difficult Y) Few places are warm enough for the organisms that form stromatolites Z) The organisms that produce stromatolites were not able to compete effectively enough with other organisms,"Z) THE ORGANISMS THAT PRODUCE STROMATOLITES WERE NOT ABLE TO
COMPETE EFFECTIVELY ENOUGH WITH OTHER ORGANISMS
_______________________________________________________"
toss-up,,Short Answer,"8) PHYSICAL SCIENCE Short Answer As electrons are gained by an element in a redox reaction, what happens to the oxidation state of that element?",IT DECREASES (ACCEPT: BECOMES MORE NEGATIVE)
bonus,,Short Answer,8) PHYSICAL SCIENCE Short Answer What is the oxidation state of tin in (NH ) SnCl ? 4 2 6,+4
toss-up,energy,Multiple Choice,In which of the following years did the U.S. have the highest energy consumption per person? W) 1949 X) 1959 Y) 1979 Z) 1989,Y) 1979
bonus,energy,Short Answer,What is the adjective for a material that generates an electric charge when mechanically deformed?,"PIEZOELECTRIC
_______________________________________________________"
toss-up,math,Multiple Choice,"If f(x) = 1/x, then f 1 (x) (read as: f inverse of x) equals which of the − following? W) x – 1 X) x 1 Y) x2 1 Z) x 1","Z)
x"
bonus,math,Short Answer,"If local sales tax is 9%, and tax is rounded to the nearest cent, what is the most a purchase can cost, before tax, to not exceed a total of $25 including tax?",$22.94
toss-up,,Short Answer,"11) EARTH AND SPACE SCIENCE Short Answer As sea ice melts, the Earth reflects less sunlight back into space, resulting in further warming and more loss of ice. What kind of feedback relationship is this?",POSITIVE
bonus,,Multiple Choice,11) EARTH AND SPACE SCIENCE Multiple Choice Which of the following rocks likely formed from the lowest temperature melt? W) Granite X) Basalt Y) Diorite Z) Andesite (read as: AHN-di-zyt),"W) GRANITE
_______________________________________________________"
toss-up,,Multiple Choice,12) PHYSICAL SCIENCE Multiple Choice Which of the following reactions is NOT an example of oxidation-reduction? W) CuSO + 2NaOH → (read as: yields) Cu(OH) +Na SO 4(aq) (aq) 2(s) 2 4(aq) X) 3CuS + 8HNO → 3CuSO + 8NO + 4H O (s) 3(aq) 4(aq) (g) 2 (l) Y) Fe + CuSO → FeSO + Cu (s) 4(aq) 4(aq) (s) Z) Cu + HNO → Cu(NO ) + NO (s) 3(aq) 3 2(aq) 2(g),"W) CUSO + 2NAOH → CU(OH) +NA SO
4(AQ) (AQ) 2(S) 2 4(AQ)
[NOTE: AQ = AQUEOUS; S = SOLID; L = LIQUID]"
bonus,,Multiple Choice,"12) PHYSICAL SCIENCE Multiple Choice John and Michael look from their 80 meter high balcony to a swimming pool with a 20 meter horizontal distance from the base of their building. If they were to jump off the balcony into the pool, how fast in meters per second would they have to jump horizontally to succeed in reaching the pool? W) 4 X) 5 Y) 9.8 Z) 12",X) 5
toss-up,,Multiple Choice,"13) EARTH AND SPACE SCIENCE Multiple Choice Which of the following types of geologic folds are pointed, not curved, around the axial plane? W) Recumbent X) Chevron Y) Isoclinal Z) Symmetrical",X) CHEVRON
bonus,,Short Answer,"13) EARTH AND SPACE SCIENCE Short Answer On a topographic map, a river runs from east to west. If a north-south-trending contour line crosses the river and forms a V that points to the right, in which direction is the river likely flowing?","WEST
_______________________________________________________"
toss-up,energy,Short Answer,"If you live near a nuclear power plant, you may be issued tablets of what compound, which, in the event of a release of radioactive iodine, can prevent it from being collected in your thyroid?",POTASSIUM IODIDE
bonus,energy,Short Answer,"By number, rank the following four sources of radiation from least to greatest annual relative millirem doses: 1) diagnostic radiology, 2) natural radioactivity in the body, 3) radon in the average home, 4) living near a normally operating nuclear power station.","4, 2, 1, 3"
toss-up,,Short Answer,15) LIFE SCIENCE Short Answer What is the common name of the land bird with the largest wingspan of any North American bird?,CALIFORNIA CONDOR
bonus,,Short Answer,"15) LIFE SCIENCE Short Answer What is the stage of the insect life cycle, lacking in hemimetabolous (read as: heh-mi-meh-TAH-boh-luhs) insects, during which many tissues degenerate and are reorganized?","PUPA
_______________________________________________________"
toss-up,math,Short Answer,What is the degree of the polynomial 6x2y + 3yx4 – 2x?,5
bonus,math,Short Answer,Consider the system of two equations: 3x (cid:0) 4y = 23 and 2x (cid:0) 5y = 20. What is the value of x + y?,3
toss-up,,Short Answer,"17) LIFE SCIENCE Short Answer What small, regularly-shaped cell fragments circulate in the blood of mammals and lead to the formation of blood clots?",PLATELETS
bonus,,Multiple Choice,17) LIFE SCIENCE Multiple Choice Which of the following processes is MOST under the influence of the hormone aldosterone? W) Sodium and potassium electrolyte balance X) Spermatogenesis Y) Heart rate Z) Gastric motility,"W) SODIUM AND POTASSIUM ELECTROLYTE BALANCE
_______________________________________________________"
toss-up,energy,Multiple Choice,About what fraction of the petroleum consumed in the United States is used for transportation? W) 1/4 X) 1/2 Y) 3/4 Z) 7/8,Y) 3/4
bonus,energy,Short Answer,"By name or number, rank the following five renewable energy sources in order from least to greatest according to their contribution to U.S. energy production in 2009: 1) geothermal, 2) biofuels, 3) wind, 4) hydropower, 5) solar.","SOLAR, GEOTHERMAL, WIND, BIOFUELS, HYDROPOWER (ACCEPT: 5, 1, 3, 2,
4)"
toss-up,,Multiple Choice,19) PHYSICAL SCIENCE Multiple Choice The Aufbau principle is used to determine which of the following? W) Spin of an electron X) Electron configuration of an atom Y) Position and momentum of an electron Z) Relative mass of an atom,X) ELECTRON CONFIGURATION OF AN ATOM
bonus,,Short Answer,19) PHYSICAL SCIENCE Short Answer What is the chemical name for the compound HC H O 1? 8 4 4−,"HYDROGEN PHTHALATE
_______________________________________________________"
toss-up,,Multiple Choice,20) LIFE SCIENCE Multiple Choice Which of the following is NOT a characteristic of regular echinoids (read as: i-KY-nohids)? W) Pentamerism X) Tube feet Y) Globoid shape Z) Branched tentacles,Z) BRANCHED TENTACLES
bonus,,Short Answer,20) LIFE SCIENCE Short Answer Identify the term used to describe the process of humans purposely ingesting insects.,ENTOMOPHAGY
toss-up,math,Short Answer,"If a 20 meter tree casts a 20 3 meter shadow, what is the angle of elevation, in degrees, of the Sun?",30°
bonus,math,Short Answer,Solve the inequality: 15x2 – 2 > x.,"x < -1/3 OR x > 2/5
(NOTE: STUDENTS MUST GIVE BOTH ANSWERS)
_______________________________________________________"
toss-up,,Short Answer,"22) GENERAL SCIENCE Short Answer What rare earth element with atomic number 73 is used in GPS systems, laptop computers, cellular phones, hearing aids, and some video game systems?",TANTALUM
bonus,,Short Answer,"22) GENERAL SCIENCE Short Answer For many types of bees, fertilized eggs become females while unfertilized eggs become males, and females have two sets of chromosomes while males only have one set. For sister bees that have the same parents, what is the average percentage of DNA that they share?",75%
toss-up,,Short Answer,23) EARTH AND SPACE SCIENCE Short Answer What is the name of the common point around which both the Earth and the Moon revolve?,BARYCENTER
bonus,,Short Answer,23) EARTH AND SPACE SCIENCE Short Answer Earth is nearest the Sun around January 3rd. What is the term for this point in Earth’s orbit?,"PERIHELION
_______________________________________________________"
toss-up,,Multiple Choice,"24) LIFE SCIENCE Multiple Choice In eukaryotic cells, which of the following portions of an mRNA molecule is translated? W) Poly (A) tail X) Exon Y) Intron Z) Guanosine (read as: GWAH-noh-seen) triphosphate cap",X) EXON
bonus,,Short Answer,24) LIFE SCIENCE Short Answer Which group of amphibians is characterized by their surficial resemblance to earthworms or snakes?,CAECILIANS (ACCEPT: AMPHISBAENIDS)
toss-up,,Multiple Choice,25) GENERAL SCIENCE Multiple Choice Which of the following molecular formulas corresponds to an organic acid? W) CH Cl 3 X) CH OH 3 Y) CH COOH 3 Z) CH COOCH 3 3,"Y) CH COOH
3"
bonus,,Multiple Choice,"25) GENERAL SCIENCE Multiple Choice A segment of unlabeled DNA undergoes replication in a solution containing all necessary materials and in which the nitrogenous bases in the solution are radioactively labeled. Two complete, double-stranded DNA segments form. Following replication, which of the following is likely to be observed? W) One strand on each of the two DNA segments is radioactively labeled, while the other strand on each of the two segments is unlabeled X) Both strands of one DNA segment are radioactively labeled, while both strands of the other segment are unlabeled Y) Both strands on each segment of DNA contain a mixture of radioactively labeled and unlabeled base pairs Z) Both segments of DNA have all their nitrogenous bases in both strands labeled","W) ONE STRAND ON EACH OF THE TWO DNA SEGMENTS IS RADIOACTIVELY
LABELED, WHILE THE OTHER STRAND ON EACH OF THE TWO SEGMENTS IS
UNLABELED"
