type,subject,format,question,answer
toss-up,,Multiple Choice,"1) Earth and Space – Multiple Choice What type of nebula consists primarily of hot, ionized gas that radiates light? W) Planetary nebula X) Emission nebula Y) Reflection nebula Z) H1 [H-1] region",X) EMISSION NEBULA
bonus,,Short Answer,1) Earth and Space – Short Answer Order the following three gases from least common to most common in the atmosphere of Mars: 1) Oxygen; 2) Argon; 3) Carbon dioxide.,"1, 2, 3
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,2) Energy – Multiple Choice Which of the following sectors in the United States uses the most petroleum? W) Industry X) Residential Y) Transportation Z) Construction,Y) TRANSPORTATION
bonus,energy,Short Answer,"2) Energy – Short Answer What form of energy provides about 14% of the world's electricity, with France, Belgium, and Hungary having a much greater proportion?",NUCLEAR
toss-up,math,Short Answer,3) Math – Short Answer What is the x-intercept of the line with the equation 4x – 3y = 48?,12
bonus,math,Short Answer,"3) Math – Short Answer A right triangle has sides of length 7, 24, and 25. What is the length of the altitude to the hypotenuse?","168/25 (ACCEPT: 6 18/25, 6.72)
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Short Answer,"4) Life Science – Short Answer What network of microtubules, microfilaments, and intermediate filaments extends throughout the cytoplasm and provides structural and functional properties to the cell?",CYTOSKELETON
bonus,,Short Answer,"4) Life Science – Short Answer In humans, what organ is responsible for producing glucagon?",PANCREAS
toss-up,,Multiple Choice,"5) Physical Science – Multiple Choice As a solid undergoes a phase change to a liquid state, it: W) Releases heat while remaining at a constant temperature X) Absorbs heat while remaining at a constant temperature Y) Releases heat as the temperature increases Z) Absorbs heat as the temperature increases",X) ABSORBS HEAT WHILE REMAINING AT A CONSTANT TEMPERATURE
bonus,,Short Answer,5) Physical Science – Short Answer What is the chemical name of Al O ? 2 3,"ALUMINUM OXIDE
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Multiple Choice,6) General Science – Multiple Choice Which of the following compartments is responsible for the large amount of greenhouse gas emissions from cattle? W) Rumen X) Reticulum Y) Abomasum Z) Omasum,W) RUMEN
bonus,,Short Answer,6) General Science – Short Answer What phenomenon do noise-cancelling headphones use in order to cancel out repetitive sound waves?,DESTRUCTIVE INTERFERENCE (ALSO ACCEPT: SUPERPOSITION OF WAVES)
toss-up,,Short Answer,"7) Physical Science – Short Answer When solutions of silver nitrate and potassium chloride are reacted, a solid precipitate forms. What is the precipitate?",SILVER CHLORIDE
bonus,,Short Answer,"7) Physical Science – Short Answer Using the appropriate units, what is the momentum of a 14 kilogram bicycle traveling at 2 meters per second?","28 KILOGRAM-METERS PER SECOND
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Multiple Choice,8) Math – Multiple Choice Which of the following types of quadrilaterals may have some opposite sides that are not congruent? W) Parallelogram X) Square Y) Trapezoid Z) Rectangle,Y) TRAPEZOID
bonus,math,Short Answer,"8) Math – Short Answer What is the y-intercept of the line that contains the points (1, 4) and (5, 10)?","5/2 (ACCEPT: 2.5, 2 ½)"
toss-up,,Short Answer,9) Earth and Space – Short Answer The Fujita scale is used to measure the intensity of what weather phenomena?,TORNADOES
bonus,,Short Answer,9) Earth and Space – Short Answer Rank the following three minerals from least to most in terms of the Mohs scale of hardness: 1) Feldspar; 2) Calcite; 3) Topaz.,"2, 1, 3
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Multiple Choice,10) General Science – Multiple Choice Human skin is mostly composed of what tissue type? W) Connective X) Nervous Y) Muscular Z) Epithelial,Z) EPITHELIAL
bonus,,Multiple Choice,10) General Science – Multiple Choice Alkenes and radical initiators are generally used for forming which of the following? W) Aromatic rings X) Saturated hydrocarbons Y) Polymers Z) Diamines,Y) POLYMERS
toss-up,,Multiple Choice,11) Life Science – Multiple Choice Which of the following would be the best outgroup when building a phylogenetic tree of cats? W) Leopard X) Lion Y) Domestic cat Z) Wolf,Z) WOLF
bonus,energy,Multiple Choice,11) Life Science – Multiple Choice Which of the following is the most important function of fiber tracheids [tray-key-ids] in woody plants? W) Energy storage X) Structural support Y) Sugary sap movement Z) Absorption of nutrients from the soil,"X) STRUCTURAL SUPPORT
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,12) Energy – Short Answer Ribulose bisphosphate is part of what bioenergetics cycle that takes place in plants?,CALVIN CYCLE
bonus,energy,Multiple Choice,12) Energy – Multiple Choice Which of the following correctly explains why electrolysis is not used for the industrial production of hydrogen? W) Hydrogen gas produced by electrolysis is relatively impure X) Hydrogen gas is produced very slowly by electrolysis Y) Hydrogen gas produced by electrolysis is relatively expensive Z) Hydrogen gas produced by electrolysis is unreactive,Y) Hydrogen gas produced by electrolysis is relatively expensive
toss-up,,Multiple Choice,13) Life Science – Multiple Choice Honeybees and other pollinators transfer pollen from the: W) Anther to the Stigma of the Flower X) Stigma to the Anther of the Flower Y) Filament to the Sepal of the Flower Z) Sepal to the Filament of the Flower,W) ANTHER TO THE STIGMA OF THE FLOWER
bonus,,Short Answer,"13) Life Science – Short Answer During what time in geological history did many present-day phyla of animals appear in the fossil record and the first large, hard-bodied animals emerge?","CAMBRIAN EXPLOSION
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Multiple Choice,14) Physical Science – Multiple Choice When do water molecules move back and forth between the liquid and the gaseous state? W) Only when the air is saturated X) Only at the boiling point Y) Only when the outward movement of vapor molecules produces a pressure equal to the atmospheric pressure Z) At all times,Z) AT ALL TIMES
bonus,,Short Answer,14) Physical Science – Short Answer What type of bond between atoms is defined to be an equal sharing of electrons?,COVALENT BOND (ACCEPT: NONPOLAR COVALENT BOND)
toss-up,math,Short Answer,15) Math – Short Answer How many points of intersection do the graphs of the functions f(x) = x2 and g(x) = x4 have?,3
bonus,math,Short Answer,15) Math – Short Answer Marc is flying a kite in the shape of a rhombus with one diagonal measuring 10 and the other measuring 5. What is the area of the kite?,"25
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Short Answer,16) Earth and Space – Short Answer The moons of what planet are named for Shakespearean characters?,URANUS
bonus,,Multiple Choice,"16) Earth and Space – Multiple Choice During perihelion, the Earth is approximately what percent closer to the Sun than average? W) 30% X) 10% Y) 2% Z) 0.50%",Y) 2%
toss-up,,Multiple Choice,17) General Science – Multiple Choice An object's weight is a relationship between the object's mass and its: W) Density X) Molecular structure Y) Gravitational acceleration Z) Gravitational force,Y) GRAVITATIONAL ACCELERATION
bonus,,Short Answer,17) General Science – Short Answer Identify all of the following three pairings where the species is NOT paired with the correct domain of life: 1) Archaea and Methanosarcina [meth-an-o-sar-sin-ah] barkeri [bar-ker-ee]; 2) Bacteria and Caenorhabditis [see-no-rab-die-tis] elegans [el-ah-gahns]; 3) Eukarya and Saccharomyces [sack-ah-row-my-seas] cerevisiae [sara-vis-ee-eye].,"2
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
