type,subject,format,question,answer
toss-up,earth science,Multiple Choice,Which of the following is a coastal morphology most characteristic of the west coast of the U.S.: W) numerous estuaries X) depositional coast Y) extensive barrier islands Z) rocky coast with small spits and pocket beaches,Z) ROCKY COAST WITH SMALL SPITS AND POCKET BEACHES
bonus,earth science,Multiple Choice,Which of the following best describes how a sedimentary rock can form: W) compaction and cementation X) slow cooling and hardening of magma Y) fast cooling and hardening of magma Z) high temperature and pressure causing recrystalization,W) COMPACTION AND CEMENTATION
toss-up,math,Short Answer,What is the degree measure of a semicircle?,180
bonus,math,Short Answer,"How many degrees are in the 4th angle of a quadrilateral whose other 3 angles are 85º, 95º, and 100º?",80
toss-up,,Multiple Choice,"3) GENERAL SCIENCE Multiple Choice Which of the following does the prefix “ambi” (spell out the letters a, m, b, i) mean, as in the word ambidextrous: W) equal X) both Y) neither Z) always",X) BOTH
bonus,,Short Answer,3) GENERAL SCIENCE Short Answer Arrange the following 4 choices from the one with the LOWEST mass to the HIGHEST mass: decigram; microgram; centigram; hectogram,MICROGRAM; CENTIGRAM; DECIGRAM; HECTOGRAM
toss-up,,Short Answer,4) LIFE SCIENCE Short Answer What is the most common term for the biological polymer found in chromosomes that stores genetic information?,DNA (ACCEPT: DEOXYRIBONUCLEIC ACID)
bonus,,Short Answer,4) LIFE SCIENCE Short Answer Inside what human cell organelle does replication of the chromosomal DNA in preparation for mitosis occur?,NUCLEUS
toss-up,,Short Answer,"5) PHYSICAL SCIENCE Short Answer What is the mass, in grams to the nearest whole number, of one cubic centimeter of pure water at standard temperature and pressure?",1
bonus,,Short Answer,5) PHYSICAL SCIENCE Short Answer Name all of the following 3 choices that a physicist would consider to be simple machines: bicycle; lever; ramp,LEVER; RAMP
toss-up,earth science,Multiple Choice,The greatest geophysical impacts from the movement of Earth’s lithospheric plates are most often seen and felt in which of the following areas: W) at the center of the plates X) at plate boundaries Y) evenly distributed throughout the entire plate Z) along riverbeds within the plates,X) AT PLATE BOUNDARIES
bonus,earth science,Short Answer,What layer of Earth’s interior contains over 60% of the Earth’s mass and is composed of iron- and magnesium-rich silicates?,MANTLE
toss-up,math,Short Answer,The equation (2 + x) + y = 2 + (x + y) best illustrates what basic property of addition?,ASSOCIATIVE
bonus,math,Short Answer,Change the decimal 0.88 to a fraction in lowest terms: 22,25
toss-up,,Short Answer,8) GENERAL SCIENCE Short Answer One quintillion contains how many zeroes?,18
bonus,,Short Answer,"8) GENERAL SCIENCE Short Answer A single U.S. quarter is 2 millimeters thick. Find the height, in centimeters, of a stack of 50 quarters:","10
(Solution: 2 mm × 50 = 100 mm = 10 cm)"
toss-up,,Short Answer,9) LIFE SCIENCE Short Answer What specific structure is most directly responsible for the motility of bacteria?,FLAGELLA (ACCEPT: FLAGELLUM)
bonus,,Multiple Choice,"9) LIFE SCIENCE Multiple Choice If an animal has 42 chromosomes in its normal, non-gamete or somatic cells, what term would be given to the gametes that have 21 chromosomes: W) somatic X) unigentic Y) haploid Z) solitary",Y) HAPLOID
toss-up,energy,Multiple Choice,10) PHYSICAL SCIENCE Multiple Choice Which of the following BEST describes how the SI unit called the Newton is derived: W) the product of force times time X) the energy in one kilogram traveling at one meter per second Y) the force needed to accelerate 1 kilogram at one meter per second squared Z) the power needed to accelerate 1 kilogram at one kilometer per hour,"Y) THE FORCE NEEDED TO ACCELERATE 1 KILOGRAM AT ONE METER
PER SECOND SQUARED"
bonus,,Short Answer,10) PHYSICAL SCIENCE Short Answer A car is traveling at a constant speed of 20 kilometers per hour on a long straight road. How many minutes will it take to travel a distance of 5 kilometers?,15
