type,subject,format,question,answer
toss-up,,Multiple Choice,1) Earth and Space – Multiple Choice What water cycle process causes water molecules to move from a lake and into the atmosphere? W) Precipitation X) Evaporation Y) Transpiration Z) Condensation,X) EVAPORATION
bonus,,Short Answer,1) Earth and Space – Short Answer What reflecting space telescope has the largest collecting area?,"HUBBLE
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,chemistry,Short Answer,2) General Science – Short Answer Chemistry emerged from efforts to transmute lead into gold. What was the name of this practice?,ALCHEMY
bonus,,Multiple Choice,"2) General Science – Multiple Choice When a measurement is close to the theoretically correct value for that measurement, it is considered which of the following? W) Accurate X) Precise Y) Significantly correct Z) Insignificantly different",W) ACCURATE
toss-up,,Multiple Choice,3) Life Science – Multiple Choice Which of the following is the general relationship between the availability of soil nutrients and bacterial populations? W) Increased bacterial populations are predicted as soil nutrients increase X) Decreased bacterial populations are predicted as soil nutrients increase Y) Bacterial populations are not impacted by nutrient availability Z) There are no bacteria in soil,"W) INCREASED BACTERIAL POPULATIONS ARE PREDICTED AS SOIL
NUTRIENTS INCREASE"
bonus,,Multiple Choice,3) Life Science – Multiple Choice Some scientists believe that humans have possibly caused the sixth mass extinction on Earth. Which of the following is a major consequence of mass extinction? W) Loss of biodiversity X) Increased fitness Y) Increased environmental health Z) Stabilizing population flux within a specific environment,"W) LOSS OF BIODIVERSITY
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,4) Physical Science – Short Answer What fundamental law states that “energy can be neither created nor destroyed?”,"CONSERVATION OF ENERGY (DO NOT ACCEPT: 1ST LAW OF
THERMODYNAMICS)"
bonus,,Short Answer,"4) Physical Science – Short Answer What is the name of the SI unit of measure for electric charge, equivalent to an ampere-second?",COULOMB
toss-up,energy,Short Answer,"5) Energy – Short Answer A renewable energy source generates 7 kilowatts. If the power lost due to transmission is 1 kilowatt, what is the efficiency, to the nearest whole percentage, of the distribution system?",86
bonus,energy,Multiple Choice,5) Energy – Multiple Choice What thermal property of home insulation does the R-value represent? W) Transmissibility X) Resistance per unit area Y) Flux resistance Z) Insolance per unit area,"X) RESISTANCE PER UNIT AREA
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,6) Math – Short Answer Evaluate the following expression: 27 minus 19 minus open parenthesis 19 minus 27 close parenthesis.,16
bonus,math,Short Answer,6) Math – Short Answer Identify all of the following four statements about angles that are true: 1) Two angles that form a linear pair must be supplementary; 2) Supplementary angles must form a linear pair; 3) An exterior angle of a triangle must be obtuse; 4) An exterior angle of a triangle must have greater measure than either of its remote interior angles.,1 and 4
toss-up,,Short Answer,7) Life Science – Short Answer The family Mephitidae is characterized by having contrasting black and white fur patterns and modified anal glands that expel a highly irritating fluid when faced with danger. What is the common name of species found in this family?,SKUNK
bonus,,Multiple Choice,"7) Life Science – Multiple Choice In a cell, the presence or absence of a nucleus distinguishes between: W) plant and animal cells X) gymnosperms and angiosperms Y) bacteria and viruses Z) prokaryotes and eukaryotes","Z) PROKARYOTES AND EUKARYOTES
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Short Answer,8) General Science – Short Answer One of the qualitative characteristics used in evaluating minerals by their scratch resistance was invented by a mineralogist in 1812 and is used today. What is that scale called?,"MOHS SCALE OF HARDNESS (ALSO ACCEPT: MOHS SCALE, MOHS HARDNESS
SCALE)"
