type,subject,format,question,answer
toss-up,,Multiple Choice,1) GENERAL SCIENCE Multiple Choice Which of the following terms characterizes DNA replication? W) Conservative X) Parallel Y) Dispersive Z) Semiconservative,Z) SEMICONSERVATIVE
bonus,,Short Answer,1) GENERAL SCIENCE Short Answer What is the maximum number of hydrogen bonds that a molecule of water can form with neighboring water molecules?,"4
_______________________________________________________"
toss-up,math,Short Answer,How many x-intercepts are there in the parabola with the equation: y = 7x2 + 4x + 12?,0
bonus,math,Short Answer,What is the greatest integer less than or equal to log (200)? 3,4
toss-up,,Multiple Choice,3) PHYSICAL SCIENCE Multiple Choice Which of the following BEST describes electrostatic induction? W) It is caused by the influence of nearby charged objects X) It occurs between two charged objects Y) It transfers electrons from a charged object to a neutral object Z) It produces voltage across a conductor by means of a magnetic field,W) IT IS CAUSED BY THE INFLUENCE OF NEARBY CHARGED OBJECTS
bonus,,Short Answer,3) PHYSICAL SCIENCE Short Answer What two natural amino acids contain sulfur?,"CYSTEINE AND METHIONINE
_______________________________________________________"
toss-up,,Multiple Choice,4) LIFE SCIENCE Multiple Choice Which of the following elements is responsible for stimulating muscle contractions? W) Iron X) Potassium Y) Calcium Z) Phosphorus,Y) CALCIUM
bonus,,Multiple Choice,"4) LIFE SCIENCE Multiple Choice What makes the phosphorus cycle unique from the nitrogen, carbon, or oxygen cycles? W) It does not involve animals X) It is very short Y) It only occurs in rocks or soils Z) It does not significantly involve the atmosphere",Z) IT DOES NOT SIGNIFICANTLY INVOLVE THE ATMOSPHERE
toss-up,,Multiple Choice,5) GENERAL SCIENCE Multiple Choice Which of the following characterizes a muscle fiber? W) A multinucleate cell X) A single nucleus cell Y) A bundle of single nucleus cells Z) Non-cellular tissue,W) A MULTINUCLEATE CELL
bonus,,Short Answer,"5) GENERAL SCIENCE Short Answer In a tidal river, during which phase or phases of the Moon will the salt water travel the furthest up river?","NEW MOON AND FULL MOON
_______________________________________________________"
toss-up,chemistry,Short Answer,"6) PHYSICAL SCIENCE Short Answer In chemistry, what is the term for the settling of particles or sediment from a solution, suspension, or mixture onto a pre-existing surface?",DEPOSITION
bonus,,Short Answer,6) PHYSICAL SCIENCE Short Answer Name the four elements found in all amino acids.,"CARBON, HYDROGEN, OXYGEN, AND NITROGEN"
toss-up,,Multiple Choice,7) LIFE SCIENCE Multiple Choice Which of the following is the site where small and large subunits of ribosomes (read as: RY-boh-sōems) are assembled? W) Nucleolus (read as: n(y)uh-KLEE-oh-lus) X) Nucleoplasm Y) Golgi (read as: GOHL-jee) body Z) Nucleus,W) NUCLEOLUS
