type,subject,format,question,answer
toss-up,math,Short Answer,Factor completely over the integers: x . 3,"x x x – 27
2
( – 3)( + 3 + 9)"
bonus,math,Short Answer,"Three fair six sided dice are rolled. Providing your answer as a fraction in lowest terms, what is the probability they will sum to ?","4
3/216"
toss-up,,Multiple Choice,2) EARTH AND SPACE Multiple Choice Which of the following is considered a low latitude climate? W) Taiga X) Savannah Y) Deciduous forest [di-SIJ-oo-uhs] Z) Chaparral,X) SAVANNAH
bonus,,Short Answer,2) EARTH AND SPACE Short Answer What type of galaxy is the Milky Way?,SPIRAL (ACCEPT: BARRED SPIRAL)
toss-up,,Multiple Choice,"3) PHYSICAL SCIENCE Multiple Choice For a graph of a sinusoidal [sy-nuh-SOID-l] sound wave function, which of the following quantities can be on the x axis? W) Position X) Wavelength Y) Amplitude Z) Frequency",W) POSITION
bonus,energy,Multiple Choice,"3) PHYSICAL SCIENCE Multiple Choice Which of the following is closest to the potential energy in joules of a 50 pound boulder on top of a 100 foot cliff relative to the base of the cliff and given 9.8 meters per second squared as g? W) 1,500 X) 1,700 Y) 6,800 Z) 11,000","Y) 6,800"
toss-up,energy,Multiple Choice,Which of the following is closest to the maximum efficiency of a DC/DC converter? W) 60% X) 70% Y) 80% Z) 90%,Z) 90%
bonus,energy,Multiple Choice,"In October 2011, astrophysicists announced surprising findings from the Crab pulsar. Which of the following statements is NOT true? W) They used the VERITAS array to make the discovery X) They detected gamma-ray emissions far beyond what was expected Y) They can explain their results based on curvature radiation Z) They hope to test the Lorentz invariance in the future",Y) THEY CAN EXPLAIN THEIR RESULTS BASED ON CURVATURE RADIATION
toss-up,,Short Answer,5) LIFE SCIENCE Short Answer What is the final electron acceptor in the Krebs cycle before the electron transport chain and oxidative phosphorylation [FOS-fohr-uh-lay-shuhn]?,NAD+
bonus,,Short Answer,"5) LIFE SCIENCE Short Answer Identify the specific stage at which nondisjunction most likely occurred if one meiotic cell produces four gametes, two of which do not have any copies of chromosome 3, but the other two of which have an extra copy of chromosome 3.",ANAPHASE I (DO NOT ACCEPT: ANAPHASE II)
toss-up,math,Short Answer,"Providing your answer as a fraction in lowest terms, square inches is equal to how many square feet? 32","2
9"
bonus,math,Short Answer,"What are the vertex, axis of symmetry, and maximum value, respectively, of f x x x ? 2","VERT(E)X =: -(61, 2 +); 1A2X I–S 4 OF SYMMETRY: x = 1; MAXIMUM VALUE: 2"
toss-up,,Short Answer,"7) GENERAL SCIENCE Short Answer Identify which of the following four choices are characteristics of a monocot: 1) single cotyledon [kot-uhl-EED-uhn], 2) flower parts in multiples of four or five, 3) parallel leaf veins, 4) pollen has a single pore.","1, 3, 4 (ACCEPT: SINGLE COTYLEDON, PARALLEL LEAF VEINS, POLLEN HAS
A SINGLE PORE)"
bonus,,Multiple Choice,"7) GENERAL SCIENCE Multiple Choice If fluorine undergoes free radical halogenation at a faster rate than bromine, how fast would chlorine be expected to undergo the reaction based on periodic trends? W) Faster than both fluorine and bromine X) Faster than fluorine but slower than bromine Y) Faster than bromine but slower than fluorine Z) Slower than both fluorine and bromine",Y) FASTER THAN BROMINE BUT SLOWER THAN FLUORINE
toss-up,,Short Answer,8) EARTH AND SPACE Short Answer During which month is the Earth farthest from the Sun?,JULY
bonus,,Short Answer,8) EARTH AND SPACE Short Answer Sunspots occur when the magnetic field lines at the Sun’s surface become twisted up over time and reconnect. What process on the surface of the Sun causes this twisting?,DIFFERENTIAL ROTATION
toss-up,,Short Answer,9) PHYSICAL SCIENCE Short Answer What is the name of the conjugate base of sulfuric acid?,"HYDROGEN SULFATE (ALSO ACCEPT: HYDROGEN SULFATE ION OR
BISULFATE)"
bonus,,Short Answer,9) PHYSICAL SCIENCE Short Answer Calculate the volume in milliliters of a solution necessary to make 2 liters of a 1 millimolar solution from a 0.1 molar solution.,20
toss-up,energy,Multiple Choice,"In nuclear power plants, the heat released from nuclear fissions is used in which of the following? W) Steam power cycle X) Sterling cycle Y) Rankine engine Z) Uranium enclosure",W) STEAM POWER CYCLE
bonus,energy,Multiple Choice,Which of the following is the effect of a low pass filter on the output power of a circuit? W) The power is doubled X) The power is halved Y) The circuit resonates and the power is maximized Z) The circuit resonates diminishing the power to zero,X) THE POWER IS HALVED
toss-up,,Multiple Choice,11) LIFE SCIENCE Multiple Choice Which of the following is NOT a characteristic of heterokonts? W) They are eukaryotic [yoo-KAR-ee-oh-tik] X) Most species prefer salt water Y) Many are algae Z) Many have two unequal flagella,X) MOST SPECIES PREFER SALT WATER
bonus,,Short Answer,"11) LIFE SCIENCE Short Answer During a car accident, a passenger received an injury, severing the connection between his left and right brain hemispheres. What is the most likely brain structure that was damaged?",CORPUS CALLOSUM
toss-up,math,Short Answer,"If θ[theta] is an acute angle in a right triangle andtanθ [tangent of theta equals 3 over 4], what is the θ [cosecant of theta] as a fraction in lowe 3 st terms? = 4 csc","5
3"
bonus,math,Short Answer,"Two coins are removed at random and without replacement from a box that contains dimes, nickels, and 1 token coin whose value is 0. Providing your answer as a fraction in lowest terms, what is the probability that the value of one of the two removed coins is five cents 2more tha3n the value of the other removed coin?",3/5
toss-up,,Multiple Choice,13) EARTH AND SPACE Multiple Choice Which of the following is the most common type of galaxy in the universe? W) Irregular X) Elliptical Y) Spiral Z) Barred spiral,X) ELLIPTICAL
bonus,,Multiple Choice,13) EARTH AND SPACE Multiple Choice Which of the following groups contains the most stars on a Hertzsprung-Russell diagram? W) White dwarfs X) Blue supergiants Y) Red dwarfs Z) Hypergiants,Y) RED DWARFS
toss-up,,Multiple Choice,14) LIFE SCIENCE Multiple Choice Which of the following vitamins is produced by bacteria in the human colon? W) A X) B Y) D Z) K,Z) K
bonus,,Short Answer,"14) LIFE SCIENCE Short Answer During the 19th century, soldiers and prisoners in the Dutch East Indies developed a disease called beriberi that was characterized by fatigue, loss of appetite, and nervous disorders. Deficit of which dietary vitamin caused this disease?",B1 (ACCEPT: THIAMINE)
toss-up,,Short Answer,"15) GENERAL SCIENCE Short Answer Twenty grams of the following gases are each added to a container: oxygen, helium, water vapor, and xenon. Which of these gases would have the largest partial pressure under conditions of standard temperature and pressure?",HELIUM
