type,subject,format,question,answer
toss-up,,Short Answer,1) Earth and Space – Short Answer What is the term for a body that is so massive that light and information cannot escape its gravitational pull?,BLACK HOLE
bonus,,Multiple Choice,1) Earth and Space – Multiple Choice What parameter of a planet’s orbit is a measure of how closely the orbit approximates a perfect circle? W) Inclination X) Semi-major axis Y) Radial velocity Z) Eccentricity,"Z) ECCENTRICITY
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Short Answer,2) Life Science – Short Answer What element composes the largest percentage of the dry weight of a human being?,CARBON
bonus,,Short Answer,2) Life Science – Short Answer What specialized type of adipose tissue is found in mammalian infants and is solely used for heat production?,BROWN FAT
toss-up,,Short Answer,3) Physical Science – Short Answer What vector quantity includes both the speed of an object and the direction of its motion?,VELOCITY
bonus,,Short Answer,"3) Physical Science – Short Answer A solid composed of an unknown material has a mass of 10 grams and a volume of 4.6 centimeters cubed. To two significant figures and in grams per centimeters cubed, what is the density of this solid?","2.2
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,4) Energy – Short Answer What type of nuclear-energy-producing reaction uses hydrogen isotopes like deuterium [doo-TEER-ee-um] and tritium [TRIH-tee-um]?,FUSION (ACCEPT: NUCLEAR FUSION)
bonus,energy,Short Answer,4) Energy – Short Answer Scientists across the nation use the Advanced Light Source to study the structures of various samples. At what national lab is this facility located?,LAWRENCE BERKELEY NATIONAL LAB (ACCEPT: LBNL)
toss-up,math,Short Answer,"5) Math – Short Answer Round 5,137.58 to the nearest ten.","5,140"
bonus,math,Short Answer,5) Math – Short Answer A rhombus has diagonals of length 9 and 32. What is its area?,"144
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,,Multiple Choice,"6) Earth and Space – Multiple Choice Materials that compose the Earth's crust have densities that are different from the bulk density of the Earth. Which of the following is closest to the average density, in grams per cubic centimeter, of Earth's continental crust? W) 2.7 X) 3.3 Y) 4.5 Z) 5.5",W) 2.7
