type,subject,format,question,answer
toss-up,,Multiple Choice,"1) PHYSICAL SCIENCE Multiple Choice When magnesium and zinc bromide are combined, zinc and magnesium bromide are formed according to the reaction, Mg + ZnBr à Zn + MgBr . Which 2 2 of the following types of reactions has occurred: W) synthesis X) combustion Y) single replacement Z) double replacement",Y) SINGLE REPLACEMENT
bonus,,Short Answer,"1) PHYSICAL SCIENCE Short Answer By number or words, order the following 3 choices from the one that travels the SLOWEST to the FASTEST: 1) sound in 0ºC air; 2) electromagnetic radiation; 3) a spaceship at 5,000 meters per second","1, 3 , 2 (ACCEPT: SOUND IN 0ºC AIR; A SPACESHIP AT 5,000 METERS PER
SECOND; ELECTROMAGNETIC RADIATION)"
toss-up,earth science,Multiple Choice,"Which of the following is the general term for metamorphic rocks whose mineral crystals are oriented in parallel layers, such as in a high-grade metamorphic rock: W) clastic X) foliated Y) intrusive Z) extrusive",X) FOLIATED
bonus,earth science,Multiple Choice,Which of the following is a high-grade foliated metamorphic rock: W) geode X) marble Y) gneiss Z) slate,"Y) GNEISS
2007 Middle School Regional Round 17 Page 1"
toss-up,math,Short Answer,Provide the prime factors over the integers for the following expression: x3 + 8,(x + 2) and (x2 – 2x + 4) (DO NOT ACCEPT (x + 2) times (x2 – 2x + 4))
bonus,math,Short Answer,In how many different ways can a team of 6 students be selected from a group of 10 students?,"210
(Solution: C = n!/[r!(n-r)!] = 10!/[6!(10 – 6)!] = 210)
n r"
toss-up,,Multiple Choice,4) GENERAL SCIENCE Multiple Choice Which of the following types of scientists would most likely use interferometry in their experiments: W) astronomer X) plastics engineer Y) chemical engineer Z) microbiologist,W) ASTRONOMER
bonus,,Multiple Choice,4) GENERAL SCIENCE Multiple Choice Which of the following is currently the MOST popular method of making very large telescopes with immense abilities to detect very faint light sources in deep outer space: W) launching large parts of telescopes and assembling them in outer space X) linking multiple telescopes on Earth by computers Y) using a new form of ceramic glass to pour mirrors with diameters greater than 15 meters Z) using ultra-light carbon-fiber reinforced mirrors,"X) LINKING MULTIPLE TELESCOPES ON EARTH BY COMPUTERS
2007 Middle School Regional Round 17 Page 2"
toss-up,,Multiple Choice,5) LIFE SCIENCE Multiple Choice Gary the gardener raises a species of annual flowers that can produce pink or white flowers. Gary buys a pot of white flowers and plants them in his garden and each successive year saves only that year’s generation of seeds to plant the next year. Over many generations of years of flowers Gary only ever sees white flowers. Which of the following is the BEST explanation for this breeding pattern: W) the original plant was homozygous dominant X) the original plant was homozygous recessive Y) the original plant was heterozygous for both colors Z) the original plant was homozygous but Gary cannot know for sure whether it is a dominant or recessive color,"Z) THE ORIGINAL PLANT WAS HOMOZYGOUS BUT GARY CANNOT KNOW
FOR SURE WHETHER IT IS A DOMINANT OR RECESSIVE COLOR"
bonus,,Short Answer,"5) LIFE SCIENCE Short Answer If 2n is the content of chromosomes in a normal non-sex cell and 2s is the DNA content of the same cell, what would be the values of n and s at the beginning of metaphase in mitosis?",2n AND 4s
toss-up,,Multiple Choice,6) PHYSICAL SCIENCE Multiple Choice Which of the following statements is TRUE of buffers: W) all neutral pH solutions have equal numbers of buffers X) hydronium ions are present in large amounts in most buffers Y) certain buffers will absorb hydrogen ions to prevent a change in a solution’s pH Z) buffers are artificial chemicals rarely found in nature,"Y) CERTAIN BUFFERS WILL ABSORB HYDROGEN IONS TO PREVENT A
CHANGE IN A SOLUTION’S PH"
bonus,,Short Answer,"6) PHYSICAL SCIENCE Short Answer Considering that the atomic mass of sodium is 23 and the atomic mass of chlorine is 35, what is the molarity of a solution where 116 grams of sodium chloride are added to 1,000 milliliters of water?","2
(Solution: 35 + 23 à 116 = 2 moles of NaCl in 1 liter = 2 molar)
2007 Middle School Regional Round 17 Page 3"
toss-up,earth science,Multiple Choice,What type of data ultimately convinced geologists that Wegener’s theory of continental drift was correct: W) paleomagnetic data X) well-preserved dinosaur fossils in Antarctica Y) detailed sonar imaging of the mid-Atlantic ridge Z) direct sampling and analysis of mantle material,W) PALEOMAGNETIC DATA
bonus,earth science,Multiple Choice,"Which of the following seismic waves causes rock particles to move back and forth in the same direction as the wave is moving, much like the wave propagation in an outstretched spring that is hit on one end: W) L-waves X) P-waves Y) S-waves Z) T-waves",X) P-WAVES
toss-up,math,Short Answer,"In what quadrant will a 1135º angle lie, assuming it is in standard position?",ONE (ACCEPT: FIRST)
bonus,math,Short Answer,"Consider a smaller circle drawn within a larger circle. If the diameter of the larger circle is 10 centimeters and the diameter of the smaller circle is 6 centimeters, what is the area of the space between the two circles, giving your answer in square centimeters to the nearest whole number?","50
2007 Middle School Regional Round 17 Page 4"
toss-up,,Multiple Choice,9) GENERAL SCIENCE Multiple Choice Which of the following must occur for total internal reflection to occur: W) the angle of incidence equals the angle of reflection X) dispersion of all wavelengths of light Y) the critical angle of refraction is exceeded Z) polarized light must be used,Y) THE CRITICAL ANGLE OF REFRACTION IS EXCEEDED
bonus,,Short Answer,9) GENERAL SCIENCE Short Answer Which one of the following 5 materials has the smallest critical angle causing light entering it to be more likely to undergo total internal reflection: pure water; a near perfect vacuum; diamond; Lucite; 100% ethanol,DIAMOND
toss-up,,Short Answer,10) LIFE SCIENCE Short Answer In the wall of the human heart’s right atrium is an area which sets the rate of heart beats. What is the common name for this area?,PACEMAKER
bonus,,Multiple Choice,10) LIFE SCIENCE Multiple Choice Which of the following is the BEST description for the location of the human spleen: W) lower right abdomen just above the hip bone X) upper right abdomen just under the lower right ribs Y) lower left abdomen just above the hip bone Z) upper left abdomen just under the lower left ribs,"Z) UPPER LEFT ABDOMEN JUST UNDER THE LOWER LEFT RIBS
2007 Middle School Regional Round 17 Page 5"
toss-up,,Multiple Choice,11) PHYSICAL SCIENCE Multiple Choice Which of the following is the BEST description of a colloid: W) a homogeneous mixture of uniform particles in solution X) a mixture of different substances that never settle out of solution Y) ionized particles in suspension Z) unfilterable suspended solutions,"X) A MIXTURE OF DIFFERENT SUBSTANCES THAT NEVER SETTLE OUT OF
SOLUTION"
bonus,,Short Answer,11) PHYSICAL SCIENCE Short Answer An alpha particle is made of how many protons and how many neutrons?,2 AND 2
toss-up,earth science,Short Answer,"An alpine glacier generally has 2 areas, an accumulation zone and an area of net loss where the previous winter’s snow melts away. What is the specific name for this zone?",ABLATION (ACCEPT: ABLATION ZONE or ABLATION AREA)
bonus,earth science,Multiple Choice,Which of the following is NOT true about Earth’s atmosphere: W) carbon monoxide is found in trace amounts in Earth’s atmosphere at sea level X) nitrogen and oxygen make up nearly 99% of Earth’s atmosphere at sea level Y) temperatures in parts of the stratosphere are nearly as warm as they are on Earth Z) the tropopause is lower at the equator than at the north pole,"Z) THE TROPOPAUSE IS LOWER AT THE EQUATOR THAN AT THE NORTH
POLE
2007 Middle School Regional Round 17 Page 6"
toss-up,math,Short Answer,1 13) MATH Short Answer Solve the following logarithmic equation for x: log = –2 x 25,5
bonus,math,Short Answer,"Find the surface area, in terms of pi in inches squared, of a closed right circular cylinder given that its radius is 3 inches and its length or height is 10 inches:","78π
(Solution: SA = 2πr2 + 2πrh; SA = 2(π)(32) + 2(π)(3)(10) = 78π)"
toss-up,,Multiple Choice,14) GENERAL SCIENCE Multiple Choice Which of the following BEST describes the position of a waxing nearly half Moon just after an April sunset in Mississippi: W) low in the east X) low in the west Y) high in the southern sky Z) high in the northern sky,Y) HIGH IN THE SOUTHERN SKY
bonus,,Multiple Choice,14) GENERAL SCIENCE Multiple Choice Which of the following stars would have the hottest surface temperature: W) Blue Giant X) Red Supergiant Y) red dwarf Z) brown dwarf,"W) BLUE GIANT
2007 Middle School Regional Round 17 Page 7"
toss-up,,Multiple Choice,15) LIFE SCIENCE Multiple Choice Which of the following are the sugar transporting cells of the phloem in flowering plants: W) tracheids X) collenchyma Y) vessel elements Z) sieve tube cells,Z) SIEVE TUBE CELLS
bonus,,Short Answer,15) LIFE SCIENCE Short Answer Name all of the following 5 plants or plant groups that produce true flowers: sphagnum moss; fern; monocots; pine tree; cactus,MONOCOTS AND CACTUS
toss-up,energy,Multiple Choice,16) PHYSICAL SCIENCE Multiple Choice Which of the following is NOT true about phase changes in substances: W) energy is exchanged during a phase change X) sublimation is a type of phase change involving solids Y) freezing is an exothermic phase change Z) a phase change cannot be reversed,Z) A PHASE CHANGE CANNOT BE REVERSED
bonus,,Short Answer,"16) PHYSICAL SCIENCE Short Answer Of the following 3 forms of radioactive decay, which one is the MOST penetrating in human tissue and which one is the LEAST penetrating, respectively: alpha; beta; gamma","MOST = GAMMA; LEAST = ALPHA
2007 Middle School Regional Round 17 Page 8"
toss-up,earth science,Multiple Choice,There are 4 new statues in a park in New York city. The statue composed of which of the following materials will most likely deteriorate by chemical weathering the quickest: W) granite X) marble Y) slate Z) schist,X) MARBLE
bonus,earth science,Short Answer,"If you could dive from the ocean surface to the abyssal plain, name all of the following 4 choices that would typically be INCREASED at the abyssal plain: pressure; density; salinity; temperature",PRESSURE; DENSITY; SALINITY (ACCEPT: ALL BUT TEMPERATURE)
toss-up,math,Multiple Choice,Which of the following is the equation of a parabola whose graph opens downward: W) y = –x2 X) y = x3 Y) y = x2 + 2 Z) y = x2 – 2,W) y = –x2
bonus,math,Short Answer,"A rectangular water storage tank measures 30 meters long, 10 meters wide and 12 meters deep. If water is leaking out at a constant rate of 0.5 cubic meters per minute, how many hours will it take for the water level to drop one meter?","10
(Solution: 300m3/(0.5m3/min) = 600 min/(60 min/hr) = 10 hrs)
2007 Middle School Regional Round 17 Page 9"
toss-up,,Multiple Choice,19) GENERAL SCIENCE Multiple Choice Which of the following household objects is an example of a heat pump: W) electric baseboard heater X) plasma TV Y) microwave Z) refrigerator,Z) REFRIGERATOR
bonus,,Short Answer,"19) GENERAL SCIENCE Short Answer Of the following 4 choices, name all that are amino acids: tryptophan; testosterone; cholesterol; niacin",TRYPTOPHAN
toss-up,,Multiple Choice,20) LIFE SCIENCE Multiple Choice Differentiation of cells during plant development is MOST commonly associated with: W) cellular maturation into specialized cells X) enlargement of cells without specialization Y) division of cells without specialization Z) allowing cells to recognize other cells,W) CELLULAR MATURATION INTO SPECIALIZED CELLS
bonus,,Short Answer,"20) LIFE SCIENCE Short Answer During early metaphase of mitosis, how many chromatids will be present in a single human cell?","92
(Solution: 2 chromatids/chromosome à 46 x 2 = 92)
2007 Middle School Regional Round 17 Page 10"
toss-up,,Short Answer,21) PHYSICAL SCIENCE Short Answer What gas law states that the volume of a gas is inversely proportional to its pressure as long as the temperature and number of particles are constant?,BOYLE’S (LAW)
bonus,,Short Answer,21) PHYSICAL SCIENCE Short Answer Name all of the following 3 chemical compounds that are substituted hydrocarbons: CH ; CO ; CH Br 4 2 3,"CH Br
3"
toss-up,earth science,Short Answer,"From the following list of 4 scales, name all that are NOT used by geologists to measure earthquakes: Beaufort scale; Richter scale; Modified Mercalli scale; Saffir-Simpson scale",BEAUFORT SCALE; SAFFIR-SIMPSON SCALE
bonus,earth science,Short Answer,Order the following 3 stages of a stars development from the EARLIEST to the LATEST: Red Giant; white dwarf; main sequence star,"MAIN SEQUENCE; RED GIANT; WHITE DWARF
2007 Middle School Regional Round 17 Page 11"
toss-up,math,Short Answer,"If the discriminant, of a quadratic equation is negative, how many real solutions does the equation have?",0
bonus,math,Short Answer,Find the 21st term in the arithmetic sequence whose second term is –5 and fourth term is 7:,109
toss-up,,Short Answer,"24) GENERAL SCIENCE Short Answer Your boat shows a compass direction of 61 degrees and your navigation chart shows a variation of 12 degrees east. If you know your deviation is zero, what is your true course, in degrees?",73
bonus,,Short Answer,"24) GENERAL SCIENCE Short Answer The time aboard a ship at sea is 12 noon. If at the same time, the time at the Prime Meridian time is 4 PM, what is the ship’s most likely longitude, in degrees and as east or west?","60º WEST
2007 Middle School Regional Round 17 Page 12"
toss-up,,Short Answer,25) LIFE SCIENCE Short Answer Which one of the following 5 molecules is a fibrous molecule that is very common in locations in between cells of the human body: cellulose; albumin; insulin; collagen; hemoglobin,COLLAGEN
bonus,,Short Answer,25) LIFE SCIENCE Short Answer Which 2 of the following 5 molecules are most directly involved in muscle contraction in mammals: cellulose; albumin; actin; collagen; myosin,"ACTIN; MYOSIN
2007 Middle School Regional Round 17 Page 13"
